Hour_of_Year,Time_(HH:MM),Hr_of_Day,Day_of_Year,Day_of_Week,Day_Name,Month,Mains_Temp_C
1,1,1,1,1,Sunday,1,8.822222222
2,1.041666667,2,1,1,Sunday,1,8.822222222
3,1.083333333,3,1,1,Sunday,1,8.827777778
4,1.125,4,1,1,Sunday,1,8.827777778
5,1.166666667,5,1,1,Sunday,1,8.833333333
6,1.208333333,6,1,1,Sunday,1,8.833333333
7,1.25,7,1,1,Sunday,1,8.838888889
8,1.291666667,8,1,1,Sunday,1,8.844444444
9,1.333333333,9,1,1,Sunday,1,8.85
10,1.375,10,1,1,Sunday,1,8.85
11,1.416666667,11,1,1,Sunday,1,8.855555556
12,1.458333333,12,1,1,Sunday,1,8.861111111
13,1.5,13,1,1,Sunday,1,8.861111111
14,1.541666667,14,1,1,Sunday,1,8.861111111
15,1.583333333,15,1,1,Sunday,1,8.861111111
16,1.625,16,1,1,Sunday,1,8.861111111
17,1.666666667,17,1,1,Sunday,1,8.861111111
18,1.708333333,18,1,1,Sunday,1,8.861111111
19,1.75,19,1,1,Sunday,1,8.861111111
20,1.791666667,20,1,1,Sunday,1,8.861111111
21,1.833333333,21,1,1,Sunday,1,8.861111111
22,1.875,22,1,1,Sunday,1,8.866666667
23,1.916666667,23,1,1,Sunday,1,8.866666667
24,1.958333333,24,1,1,Sunday,1,8.866666667
25,2,1,2,2,Monday,1,8.866666667
26,2.041666667,2,2,2,Monday,1,8.866666667
27,2.083333333,3,2,2,Monday,1,8.872222222
28,2.125,4,2,2,Monday,1,8.872222222
29,2.166666667,5,2,2,Monday,1,8.872222222
30,2.208333333,6,2,2,Monday,1,8.872222222
31,2.25,7,2,2,Monday,1,8.872222222
32,2.291666667,8,2,2,Monday,1,8.872222222
33,2.333333333,9,2,2,Monday,1,8.872222222
34,2.375,10,2,2,Monday,1,8.877777778
35,2.416666667,11,2,2,Monday,1,8.877777778
36,2.458333333,12,2,2,Monday,1,8.877777778
37,2.5,13,2,2,Monday,1,8.883333333
38,2.541666667,14,2,2,Monday,1,8.883333333
39,2.583333333,15,2,2,Monday,1,8.883333333
40,2.625,16,2,2,Monday,1,8.883333333
41,2.666666667,17,2,2,Monday,1,8.888888889
42,2.708333333,18,2,2,Monday,1,8.888888889
43,2.75,19,2,2,Monday,1,8.894444444
44,2.791666667,20,2,2,Monday,1,8.894444444
45,2.833333333,21,2,2,Monday,1,8.894444444
46,2.875,22,2,2,Monday,1,8.894444444
47,2.916666667,23,2,2,Monday,1,8.894444444
48,2.958333333,24,2,2,Monday,1,8.9
49,3,1,3,3,Tuesday,1,8.9
50,3.041666667,2,3,3,Tuesday,1,8.9
51,3.083333333,3,3,3,Tuesday,1,8.905555556
52,3.125,4,3,3,Tuesday,1,8.905555556
53,3.166666667,5,3,3,Tuesday,1,8.905555556
54,3.208333333,6,3,3,Tuesday,1,8.905555556
55,3.25,7,3,3,Tuesday,1,8.911111111
56,3.291666667,8,3,3,Tuesday,1,8.911111111
57,3.333333333,9,3,3,Tuesday,1,8.911111111
58,3.375,10,3,3,Tuesday,1,8.911111111
59,3.416666667,11,3,3,Tuesday,1,8.911111111
60,3.458333333,12,3,3,Tuesday,1,8.911111111
61,3.5,13,3,3,Tuesday,1,8.911111111
62,3.541666667,14,3,3,Tuesday,1,8.911111111
63,3.583333333,15,3,3,Tuesday,1,8.911111111
64,3.625,16,3,3,Tuesday,1,8.911111111
65,3.666666667,17,3,3,Tuesday,1,8.911111111
66,3.708333333,18,3,3,Tuesday,1,8.911111111
67,3.75,19,3,3,Tuesday,1,8.911111111
68,3.791666667,20,3,3,Tuesday,1,8.911111111
69,3.833333333,21,3,3,Tuesday,1,8.911111111
70,3.875,22,3,3,Tuesday,1,8.911111111
71,3.916666667,23,3,3,Tuesday,1,8.911111111
72,3.958333333,24,3,3,Tuesday,1,8.911111111
73,4,1,4,4,Wednesday,1,8.911111111
74,4.041666667,2,4,4,Wednesday,1,8.911111111
75,4.083333333,3,4,4,Wednesday,1,8.911111111
76,4.125,4,4,4,Wednesday,1,8.911111111
77,4.166666667,5,4,4,Wednesday,1,8.905555556
78,4.208333333,6,4,4,Wednesday,1,8.911111111
79,4.25,7,4,4,Wednesday,1,8.911111111
80,4.291666667,8,4,4,Wednesday,1,8.911111111
81,4.333333333,9,4,4,Wednesday,1,8.911111111
82,4.375,10,4,4,Wednesday,1,8.911111111
83,4.416666667,11,4,4,Wednesday,1,8.911111111
