Hour_of_Year,Time_(HH:MM),Hr_of_Day,Day_of_Year,Day_of_Week,Day_Name,Month,Heat_EZ_Sch_1,Heat_EZ_Sch_2,Cool_EZ_Sch_1,Cool_EZ_Sch_2,DHW_EZ_Sch_1,DHW_EZ_Sch_2,Misc_Elec_EZ_Sch_1,Misc_Elec_EZ_Sch_2,Misc_Gas_EZ_Sch_1,Misc_Gas_EZ_Sch_2,SITE_00650-2021-MISC,SITE_00650-2020-MISC,SITE_00650-2020-HVAC,SITE_00650-2021-HVAC
1,1900-01-01 00:00:00,1,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,24.72222222388889,53.33333333333333,48.888888888888886,1,0.5,1,0.5,0.1778508661943967,0.19715946330506529,24.722222220555555,23.611111109444444
2,1900-01-01 01:00:00,2,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,24.72222222388889,53.33333333333333,48.888888888888886,1,0.5,1,0.5,0.15511027170193672,0.17195000832006174,24.722222220555555,23.611111109444444
3,1900-01-01 02:00:00,3,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,24.72222222388889,53.33333333333333,48.888888888888886,1,0.5,1,0.5,0.15085335948426964,0.16723093921384413,24.722222220555555,23.611111109444444
4,1900-01-01 03:00:00,4,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,24.72222222388889,53.33333333333333,48.888888888888886,1,0.5,1,0.5,0.14318314114649114,0.1587279942281496,24.722222220555555,23.611111109444444
5,1900-01-01 04:00:00,5,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,24.72222222388889,53.33333333333333,48.888888888888886,1,0.5,1,0.5,0.14316759562418863,0.15871076098717898,24.722222220555555,23.611111109444444
6,1900-01-01 05:00:00,6,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,24.72222222388889,53.33333333333333,48.888888888888886,1,0.5,1,0.5,0.1442572088818545,0.15991866944266367,24.722222220555555,23.611111109444444
7,1900-01-01 06:00:00,7,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.1575232071926345,0.17462490710754208,24.722222220555555,23.611111109444444
8,1900-01-01 07:00:00,8,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.1854576654863826,0.2055921040785885,24.722222220555555,23.611111109444444
9,1900-01-01 08:00:00,9,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.22524140649427343,0.2496950156540093,24.722222220555555,23.611111109444444
10,1900-01-01 09:00:00,10,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.2871975152406949,0.3183774652270301,24.722222220555555,23.611111109444444
11,1900-01-01 10:00:00,11,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.3476016063265424,0.3853394004413281,24.722222220555555,23.611111109444444
12,1900-01-01 11:00:00,12,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.3870965280936746,0.4291221367613869,24.722222220555555,23.611111109444444
13,1900-01-01 12:00:00,13,1,1,Sunday,1,17.499999998333333,20.27777777611111,30.277777779444442,26.94444444611111,53.33333333333333,48.888888888888886,1,0.75,1,0.75,0.4133471295596432,0.45822266692584773,24.722222220555555,23.611111109444444
