Foundation & Floor Construction,main_floor_construction,foundation_surface,int_horiz_ins_mat_name,int_horiz_ins_depth,int_horiz_ins_width,int_vert_ins_mat_name,int_vert_ins_depth,ext_vert_ins_mat_name,ext_vert_ins_depth,wall_ht_above_grade,wall_ht_below_slab,floor_insulation_layer,floor_main_outside_boundary_condition,floor_main_outside_boundary_condition_object,foundation_zone_name
Vented Crawlspace - R0 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.5,1,Fiberglass_Batt_R0,Zone,crawlspace,crawlspace
Vented Crawlspace - R13 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.5,1,Fiberglass_Batt_R13,Zone,crawlspace,crawlspace
Vented Crawlspace - R19 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.5,1,Fiberglass_Batt_R19,Zone,crawlspace,crawlspace
Vented Crawlspace - R30 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.5,1,Fiberglass_Batt_R30,Zone,crawlspace,crawlspace
Vented Crawlspace - R38 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.5,1,Fiberglass_Batt_R38,Zone,crawlspace,crawlspace
Slab - Uninsulated,Slab Construction,floor_main,$,$,$,$,$,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Slab - R5 Perimeter with No Thermal Break,Slab Construction,floor_main,XPS_R5,0,2,$,$,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Slab - R10 Perimeter with No Thermal Break,Slab Construction,floor_main,XPS_R10,0,2,$,$,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Slab - R5 Perimeter with R5 Thermal Break,Slab Construction,floor_main,XPS_R5,0,2,XPS_R5,0.5,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Slab - R10 Perimeter with R5 Thermal Break,Slab Construction,floor_main,XPS_R10,0,2,XPS_R5,0.5,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Slab - R5 Under Full Slab with R5 Thermal Break,Slab Construction w Full R5 Insulation,floor_main,$,$,$,XPS_R5,0.25,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Slab - R10 Under Full Slab with R5 Thermal Break,Slab Construction w Full R10 Insulation,floor_main,$,$,$,XPS_R5,0.25,$,$,0,0,Fiberglass_Batt_R0,Foundation,Kiva Foundation,$
Heated Basement - Uninsulated,Interior Floor,floor_foundation,$,$,$,$,$,$,$,0.2,0.3,Fiberglass_Batt_R0,Adiabatic,$,living
Heated Basement - R5 Exterior Insulation,Interior Floor,floor_foundation,$,$,$,$,$,XPS_R5,2.9,0.2,0.3,Fiberglass_Batt_R0,Adiabatic,$,living
Heated Basement - R10 Exterior Insulation,Interior Floor,floor_foundation,$,$,$,$,$,XPS_R10,2.9,0.2,0.3,Fiberglass_Batt_R0,Adiabatic,$,living
Heated Basement - R15 Exterior Insulation,Interior Floor,floor_foundation,$,$,$,$,$,XPS_R15,2.9,0.2,0.3,Fiberglass_Batt_R0,Adiabatic,$,living
Unheated Basement - Uninsulated,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.2,0.3,Fiberglass_Batt_R0,Zone,unheatedbsmt,unheatedbsmt
Unheated Basement - R13 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.2,0.3,Fiberglass_Batt_R13,Zone,unheatedbsmt,unheatedbsmt
Unheated Basement - R19 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.2,0.3,Fiberglass_Batt_R19,Zone,unheatedbsmt,unheatedbsmt
Unheated Basement - R30 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.2,0.3,Fiberglass_Batt_R30,Zone,unheatedbsmt,unheatedbsmt
Unheated Basement - R38 Cavity Insulation,Exterior Floor,floor_foundation,$,$,$,$,$,$,$,0.2,0.3,Fiberglass_Batt_R38,Zone,unheatedbsmt,unheatedbsmt
