Wall Construction Name,exterior_wall_layer,next_wall_layer_1,next_wall_layer_2,next_wall_layer_3,next_wall_layer_4,next_wall_layer_5,next_wall_layer_6,next_wall_layer_7,next_wall_layer_8,next_wall_layer_9,next_wall_layer_10
Wall with Custom R-Value,syn_stucco,sheathing_consol_layer,OSB_7/16in,Custom_Wall_Layer,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x4 - 16 in OC - R-0 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x4_16inOC_w_No_Insulation,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x4 - 16 in OC - R-11 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x4_16inOC_w_R11_Cavity,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x4 - 16 in OC - R-13 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x4_16inOC_w_R13_Cavity,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x4 - 16 in OC - R-15 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x4_16inOC_w_R15_Cavity,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x6 - 24 in OC - R-0 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x6_24inOC_w_No_Insulation,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x6 - 24 in OC - R-19 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x6_24inOC_w_R19_Cavity,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x6 - 24 in OC - R-19 Cavity - R-10 Header,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x6_24inOC_w_R19_Cavity_R10_Header,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x6 - 24 in OC - R-21 Cavity,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x6_24inOC_w_R21_Cavity,Drywall_1/2in,!-,!-,!-,!-,!-,!-
Wood-Framed - 2x6 - 24 in OC - R-21 Cavity - R-10 Header,syn_stucco,sheathing_consol_layer,OSB_7/16in,2x6_24inOC_w_R21_Cavity_R10_Header,Drywall_1/2in,!-,!-,!-,!-,!-,!-
