Category,Intercept,coeff_footprint,coeff_height,coeff_ACH50
Slab_Low,1.206285615,0.104222657,-0.186698735,0.031121308
Slab_Med,0.836341163,0.107221501,-0.109468611,0.143759197
Slab_High,0.210021808,0.115380561,-0.007188667,0.284454563
Crawlspace_Low,1.581021345,0.05682517,-0.176513997,0.025514757
Crawlspace_Med,1.189369434,0.06403584,-0.099932579,0.131563522
Crawlspace_High,0.541665795,0.074856476,0.005478992,0.269358365
Unheated Basement_Low,1.605463612,0.053998643,-0.177196677,0.025990857
Unheated Basement_Med,1.195063016,0.063620577,-0.100186946,0.130811075
Unheated Basement_High,0.549378964,0.074516241,0.004815694,0.268146867
Heated Basement_Low,1.231292268,0.095489141,-0.16748392,0.048116192
Heated Basement_Med,0.855140824,0.092057004,-0.091966601,0.202647584
Heated Basement_High,0.38913984,0.096817468,-0.024270969,0.326247837
