Category,Intercept,coeff_footprint,coeff_height,coeff_ACH50
Slab_Low,-5.479462741,0.449575949,0.340049847,1.187181579
Slab_Med,-5.411973217,0.357699043,0.374275258,1.54427322
Slab_High,-5.770216756,0.386814979,0.438267289,1.549630305
Crawlspace_Low,-4.564559004,0.375134782,0.283151524,1.084193931
Crawlspace_Med,-4.951898052,0.323089235,0.357954845,1.478376664
Crawlspace_High,-5.565869884,0.376293528,0.418430812,1.524399194
Unheated Basement_Low,-4.004921123,0.293340068,0.308470009,1.024495895
Unheated Basement_Med,-4.893519182,0.319198072,0.35736961,1.466615562
Unheated Basement_High,-5.535204829,0.375588619,0.416030213,1.518470615
Heated Basement_Low,-7.507609258,0.827974952,0.003160634,1.400273938
Heated Basement_Med,-5.805621247,0.518230623,0.067265068,1.754113323
Heated Basement_High,-5.450207198,0.481827544,0.093315899,1.700458839
