report_fieldname,mapping_fieldname,conversion_ID
ASHP Compressor Heat [W],DX_HEATING_COIL:Heating Coil Electricity Rate [W],Elec
ASHP Resistance Backup Heat [W],HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W],Elec
ASHP Defrost [W],DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W],Elec
ASHP Crankcase Heater [W],DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W],Elec
Primary Elec Furnace Heat [W],HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W],Elec
Gas Furnace Gas Use [Btu/h],MAIN FUEL HEATING COIL_UNIT1:Heating Coil NaturalGas Rate [W],Gas
Gas Furnace Electric Use [W],MAIN FUEL HEATING COIL_UNIT1:Heating Coil Electricity Rate [W],Elec
Cooling[W],DX_COOLING_COIL:Cooling Coil Electricity Rate [W],Elec
Fan [W],FAN:Fan Electricity Rate [W],Elec
Living Zone Air Temperature [F],LIVING:Zone Mean Air Temperature [C],Temp
Attic Zone Air Temperature [F],ATTIC:Zone Mean Air Temperature [C],Temp
Crawlspace Zone Air Temperature [F],CRAWLSPACE:Zone Mean Air Temperature [C],Temp
Outdoor Air Temperature [F],Environment:Site Outdoor Air Drybulb Temperature [C],Temp
Interior Lighting [W],INTERIOR LIGHTS:Lights Electricity Rate [W],Elec
Exterior Lighting [W],EXTERIOR LIGHTS:Lights Electricity Rate [W],Elec
Electric Water Heater [W],WATER HEATER:Water Heater Electricity Rate [W],Elec
Gas Water Heater [Btu/h],WATER HEATER:Water Heater NaturalGas Rate [W],Gas
Mains Water Temp[F],Environment:Site Mains Water Temperature [C],Temp
Dishwasher [W],DISHWASHER1:Electric Equipment Electricity Rate [W],Elec
Refrigerator [W],REFRIGERATOR1:Electric Equipment Electricity Rate [W],Elec
Clothes Washer [W],CLOTHESWASHER1:Electric Equipment Electricity Rate [W],Elec
Electric Dryer [W],ELECTRIC_DRYER1:Electric Equipment Electricity Rate [W],Elec
Electric Range [W],ELECTRIC_RANGE1:Electric Equipment Electricity Rate [W],Elec
Miscellaneous Electric Loads [W],ELECTRIC_MELS1:Electric Equipment Electricity Rate [W],Elec
Gas Dryer Electric Use [W],GAS_DRYER1:Electric Equipment Electricity Rate [W],Elec
Gas Dryer Gas Use [Btu/h],GAS_DRYER1:Gas Equipment NaturalGas Rate [W],Gas
Gas Range [Btu/h],GAS_RANGE1:Gas Equipment NaturalGas Rate [W],Gas
Miscellaneous Gas Loads [Btu/h],GAS_MELS1:Gas Equipment NaturalGas Rate [W],Gas
