report_fieldname,mapping_fieldname,conversion_ID
Primary Furnace Heat Elec [W],HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W],Elec
Primary Furnace Heat Gas [Btu/h],HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W],Gas
Primary Furnace Heat Propane [Btu/h],HEATING_FUEL_MAIN:Heating Coil Propane Rate [W],Propane
ASHP Compressor Heat Elec [W],DX_HEATING_COIL:Heating Coil Electricity Rate [W],Elec
ASHP Backup Heat Elec [W],HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W],Elec
ASHP Backup Heat Gas [Btu/h],HEATING_FUEL_BACKUP:Heating Coil NaturalGas Rate [W],Elec
ASHP Defrost Elec [W],DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W],Elec
ASHP Crankcase Heater Elec [W],DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W],Elec
Supplemental Heat Elec [W],SUPPLEMENTALHEATER_ELECTRICRESISTANCE:Baseboard Electricity Rate [W],Elec
Supplemental Heat Gas [Btu/h],SUPPLEMENTALHEATER_NATURALGAS:Baseboard Electricity Rate [W],Gas
Supplemental Heat Propane [Btu/h],SUPPLEMENTALHEATER_PROPANE:Baseboard Electricity Rate [W],Propane
Supplemental Heat Wood [Btu/h],SUPPLEMENTALHEATER_WOOD:Baseboard Electricity Rate [W],Wood
Cooling Elec [W],DX_COOLING_COIL:Cooling Coil Electricity Rate [W],Elec
Fans Elec [W],FAN:Fan Electricity Rate [W],Elec
Living Zone Air Temperature [F],LIVING:Zone Mean Air Temperature [C],Temp
Outdoor Air Temperature [F],Environment:Site Outdoor Air Drybulb Temperature [C],Temp
UnmetHours Heating,Facility:Facility Heating Setpoint Not Met Time [hr],NA
UnmetHours Cooling,Facility:Facility Cooling Setpoint Not Met Time [hr],NA
