report_fieldname,mapping_fieldname,conversion_ID
ASHP Compressor Heat [W],DX_HEATING_COIL:Heating Coil Electricity Rate [W],Elec
ASHP Resistance Backup Heat [W],HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W],Elec
ASHP Defrost [W],DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W],Elec
ASHP Crankcase Heater [W],DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W],Elec
Primary Elec Furnace Heat [W],HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W],Elec
Gas Furnace Gas Use [Btu/h],MAIN FUEL HEATING COIL_UNIT1:Heating Coil NaturalGas Rate [W],Gas
Gas Furnace Electric Use [W],MAIN FUEL HEATING COIL_UNIT1:Heating Coil Electricity Rate [W],Elec
Propane Furnace Propane Use [Btu/h],MAIN FUEL HEATING COIL_UNIT1:Heating Coil Propane Rate [W],Propane
Propane Furnace Electric Use [W],MAIN FUEL HEATING COIL_UNIT1:Heating Coil Electricity Rate [W],Elec
Fan [W],FAN:Fan Electricity Rate [W],Elec
Living Zone Air Temperature [F],LIVING:Zone Mean Air Temperature [C],Temp
Attic Zone Air Temperature [F],ATTIC:Zone Mean Air Temperature [C],Temp
Crawlspace Zone Air Temperature [F],CRAWLSPACE:Zone Mean Air Temperature [C],Temp
Outdoor Air Temperature [F],Environment:Site Outdoor Air Drybulb Temperature [C],Temp
