report_fieldname,mapping_fieldname,conversion_ID
Dishwasher [W],DISHWASHER1:Electric Equipment Electricity Rate [W],Elec
Refrigerator [W],REFRIGERATOR1:Electric Equipment Electricity Rate [W],Elec
Clothes Washer [W],CLOTHESWASHER1:Electric Equipment Electricity Rate [W],Elec
Electric Dryer [W],ELECTRIC_DRYER1:Electric Equipment Electricity Rate [W],Elec
Electric Range [W],ELECTRIC_RANGE1:Electric Equipment Electricity Rate [W],Elec
Miscellaneous Electric Loads [W],ELECTRIC_MELS1:Electric Equipment Electricity Rate [W],Elec
Gas Dryer Electric Use [W],GAS_DRYER1:Electric Equipment Electricity Rate [W],Elec
Gas Dryer Gas Use [Btu/h],GAS_DRYER1:Gas Equipment NaturalGas Rate [W],Gas
Gas Range [Btu/h],GAS_RANGE1:Gas Equipment NaturalGas Rate [W],Gas
Miscellaneous Gas Loads [Btu/h],GAS_MELS1:Gas Equipment NaturalGas Rate [W],Gas
