report_fieldname,mapping_fieldname,conversion_ID
Run Label,Run_Label,Run_Label
Primary Furnace Heat Elec [kWh],HEATING_RESISTANCE_MAIN:Heating Coil Electricity Energy [J],Elec
Primary Furnace Heat Gas [therm],HEATING_FUEL_MAIN:Heating Coil NaturalGas Energy [J],Gas
Primary Furnace Heat Propane [kBtu],HEATING_FUEL_MAIN:Heating Coil Propane Energy [J],Propane
ASHP Compressor Heat Elec [kWh],DX_HEATING_COIL:Heating Coil Electricity Energy [J],Elec
ASHP Backup Heat Elec [kWh],HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Energy [J],Elec
ASHP Backup Heat Gas [therm],HEATING_FUEL_BACKUP:Heating Coil NaturalGas Energy [J],Elec
ASHP Defrost Elec [kWh],DX_HEATING_COIL:Heating Coil Defrost Electricity Energy [J],Elec
ASHP Crankcase Heater Elec [kWh],DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Energy [J],Elec
Supplemental Heat Elec [kWh],SUPPLEMENTALHEATER_ELECTRICRESISTANCE:Baseboard Electricity Energy [J],Elec
Supplemental Heat Gas [therm],SUPPLEMENTALHEATER_NATURALGAS:Baseboard Electricity Energy [J],Gas
Supplemental Heat Propane [kBtu],SUPPLEMENTALHEATER_PROPANE:Baseboard Electricity Energy [J],Propane
Supplemental Heat Wood [kBtu],SUPPLEMENTALHEATER_WOOD:Baseboard Electricity Energy [J],Wood
Cooling Elec [kWh],Cooling:Electricity [J],Elec
Fans Elec [kWh],Fans:Electricity [J],Elec
Pumps Elec [kWh],Pumps:Electricity [J],Elec
DHW Elec [kWh],WaterSystems:Electricity [J],Elec
DHW Nat Gas [therm],WaterSystems:NaturalGas [J],Gas
Interior Lights Elec [kWh],InteriorLights:Electricity [J],Elec
Exterior Lights Elec [kWh],ExteriorLights:Electricity [J],Elec
Interior Equip Range Elec [kWh],electric_range:InteriorEquipment:Electricity [J],Elec
Interior Equip Range Nat Gas [therm],gas_range:InteriorEquipment:NaturalGas ,Gas
Interior Equip Dryer Elec [kWh],electric_dryer:InteriorEquipment:Electricity [J],Elec
Interior Equip Dryer Nat Gas [therm],gas_dryer:InteriorEquipment:NaturalGas [J],Gas
Interior Equip Clotheswasher Elec [kWh],clotheswasher:InteriorEquipment:Electricity [J],Elec
Interior Equip Dishwasher Elec [kWh],dishwasher:InteriorEquipment:Electricity [J],Elec
Interior Equip Refrigerator Elec [kWh],refrigerator:InteriorEquipment:Electricity [J],Elec
Interior Equip Misc Elec [kWh],electric_mels:InteriorEquipment:Electricity [J],Elec
Interior Equip Misc Nat Gas [therm],gas_mels:InteriorEquipment:NaturalGas [J],Gas
Heat Recovery Elec [kWh],HeatRecovery:Electricity [J],Elec
UnmetHours Heating,Facility:Facility Heating Setpoint Not Met Time [hr],NA
UnmetHours Cooling,Facility:Facility Cooling Setpoint Not Met Time [hr],NA
Infiltration Living [ACH],LIVING:AFN Zone Infiltration Air Change Rate [ach],NA
Infiltration Attic [ACH],ATTIC:AFN Zone Infiltration Air Change Rate [ach],NA
Infiltration Crawlspace [ACH],CRAWLSPACE:AFN Zone Infiltration Air Change Rate [ach],NA
Infiltration UnheatedBasement [ACH],UNHEATEDBSMT:AFN Zone Infiltration Air Change Rate [ach],NA
