Hour_of_Year,Time_(HH:MM),Hr_of_Day,Day_of_Year,Day_of_Week,Day_Name,Month,Heat_Sch_1,Heat_Sch_2,Cool_Sch_1,Cool_Sch_2,DHW_Sch_1,DHW_Sch_2,Custom_1,Custom_2,Custom_3
1,1900-01-01 00:00:00,1,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
2,1900-01-01 01:00:00,2,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
3,1900-01-01 02:00:00,3,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
4,1900-01-01 03:00:00,4,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
5,1900-01-01 04:00:00,5,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6,1900-01-01 05:00:00,6,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
7,1900-01-01 06:00:00,7,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
8,1900-01-01 07:00:00,8,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
9,1900-01-01 08:00:00,9,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
10,1900-01-01 09:00:00,10,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
11,1900-01-01 10:00:00,11,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
12,1900-01-01 11:00:00,12,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
13,1900-01-01 12:00:00,13,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
14,1900-01-01 13:00:00,14,1,1,Sunday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
15,1900-01-01 14:00:00,15,1,1,Sunday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
16,1900-01-01 15:00:00,16,1,1,Sunday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
17,1900-01-01 16:00:00,17,1,1,Sunday,1,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
18,1900-01-01 17:00:00,18,1,1,Sunday,1,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
19,1900-01-01 18:00:00,19,1,1,Sunday,1,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
20,1900-01-01 19:00:00,20,1,1,Sunday,1,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
21,1900-01-01 20:00:00,21,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
22,1900-01-01 21:00:00,22,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
23,1900-01-01 22:00:00,23,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
24,1900-01-01 23:00:00,24,1,1,Sunday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
25,1900-01-02 00:00:00,1,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
26,1900-01-02 01:00:00,2,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
27,1900-01-02 02:00:00,3,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
28,1900-01-02 03:00:00,4,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
29,1900-01-02 04:00:00,5,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
30,1900-01-02 05:00:00,6,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
31,1900-01-02 06:00:00,7,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
32,1900-01-02 07:00:00,8,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
33,1900-01-02 08:00:00,9,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
34,1900-01-02 09:00:00,10,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
35,1900-01-02 10:00:00,11,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
36,1900-01-02 11:00:00,12,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
37,1900-01-02 12:00:00,13,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
38,1900-01-02 13:00:00,14,2,2,Monday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
39,1900-01-02 14:00:00,15,2,2,Monday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
40,1900-01-02 15:00:00,16,2,2,Monday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
41,1900-01-02 16:00:00,17,2,2,Monday,1,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
42,1900-01-02 17:00:00,18,2,2,Monday,1,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
43,1900-01-02 18:00:00,19,2,2,Monday,1,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
44,1900-01-02 19:00:00,20,2,2,Monday,1,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
45,1900-01-02 20:00:00,21,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
46,1900-01-02 21:00:00,22,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
47,1900-01-02 22:00:00,23,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
48,1900-01-02 23:00:00,24,2,2,Monday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
49,1900-01-03 00:00:00,1,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
50,1900-01-03 01:00:00,2,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
51,1900-01-03 02:00:00,3,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
52,1900-01-03 03:00:00,4,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
53,1900-01-03 04:00:00,5,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
54,1900-01-03 05:00:00,6,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
55,1900-01-03 06:00:00,7,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
56,1900-01-03 07:00:00,8,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
57,1900-01-03 08:00:00,9,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
58,1900-01-03 09:00:00,10,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
59,1900-01-03 10:00:00,11,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
60,1900-01-03 11:00:00,12,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
61,1900-01-03 12:00:00,13,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
62,1900-01-03 13:00:00,14,3,3,Tuesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
63,1900-01-03 14:00:00,15,3,3,Tuesday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
64,1900-01-03 15:00:00,16,3,3,Tuesday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
65,1900-01-03 16:00:00,17,3,3,Tuesday,1,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
66,1900-01-03 17:00:00,18,3,3,Tuesday,1,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
67,1900-01-03 18:00:00,19,3,3,Tuesday,1,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
68,1900-01-03 19:00:00,20,3,3,Tuesday,1,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
69,1900-01-03 20:00:00,21,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
70,1900-01-03 21:00:00,22,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
71,1900-01-03 22:00:00,23,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
72,1900-01-03 23:00:00,24,3,3,Tuesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
73,1900-01-04 00:00:00,1,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
74,1900-01-04 01:00:00,2,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
75,1900-01-04 02:00:00,3,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
76,1900-01-04 03:00:00,4,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
77,1900-01-04 04:00:00,5,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
78,1900-01-04 05:00:00,6,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
79,1900-01-04 06:00:00,7,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
80,1900-01-04 07:00:00,8,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
81,1900-01-04 08:00:00,9,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
82,1900-01-04 09:00:00,10,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
83,1900-01-04 10:00:00,11,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
84,1900-01-04 11:00:00,12,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
85,1900-01-04 12:00:00,13,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
86,1900-01-04 13:00:00,14,4,4,Wednesday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
87,1900-01-04 14:00:00,15,4,4,Wednesday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
88,1900-01-04 15:00:00,16,4,4,Wednesday,1,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
89,1900-01-04 16:00:00,17,4,4,Wednesday,1,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
90,1900-01-04 17:00:00,18,4,4,Wednesday,1,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
91,1900-01-04 18:00:00,19,4,4,Wednesday,1,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
92,1900-01-04 19:00:00,20,4,4,Wednesday,1,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
93,1900-01-04 20:00:00,21,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
94,1900-01-04 21:00:00,22,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
95,1900-01-04 22:00:00,23,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
96,1900-01-04 23:00:00,24,4,4,Wednesday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
97,1900-01-05 00:00:00,1,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
98,1900-01-05 01:00:00,2,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
99,1900-01-05 02:00:00,3,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
100,1900-01-05 03:00:00,4,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
101,1900-01-05 04:00:00,5,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
102,1900-01-05 05:00:00,6,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
103,1900-01-05 06:00:00,7,5,5,Thursday,1,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
104,1900-01-05 07:00:00,8,5,5,Thursday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
105,1900-01-05 08:00:00,9,5,5,Thursday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
106,1900-01-05 09:00:00,10,5,5,Thursday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
107,1900-01-05 10:00:00,11,5,5,Thursday,1,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
