Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 12/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552588304679757,16.111340182387769,-4.834248619320528,0.0,0.0,0.0,0.34629006281973187,0.463626702872178,0.09948579639206158,8858.584471775515 
 12/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10249787920999,16.11154229627108,-4.832679527969179,0.0,0.0,0.0,0.3459766812462958,0.4635781189167649,0.09935503204708536,8858.584471775515 
 12/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.818489863306962,16.100049148993663,-4.840446764407878,0.0,0.0,0.0,0.3451031859041592,0.4636182945747018,0.09968829776085586,8858.584471775515 
 12/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.553055713708952,16.088720481091408,-4.847154272650055,0.0,0.0,0.0,0.3444293204122651,0.46354839418764046,0.09980252790827993,8858.584471775515 
 12/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3192096659006,16.075118677140485,-4.855753131868931,0.0,0.0,0.0,0.3438153137943318,0.46347409901614869,0.09993356842487453,8858.584471775515 
 12/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.10502011086391,16.06000588114092,-4.864809850380461,0.0,0.0,0.0,0.34325845339678937,0.4633758734524951,0.10002106105279532,8858.584471775515 
 12/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.906937745116922,16.043518616962908,-4.874562717732043,0.0,0.0,0.0,0.34274178262546109,0.4632618730458736,0.1001014152976935,8858.584471775515 
 12/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.721900648782662,16.025894071813505,-4.88474510416475,0.0,0.0,0.0,0.3422576327399106,0.46313374348057359,0.1001688827144867,8858.584471775515 
 12/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.547887144400333,16.007336036865497,-4.89531208678915,0.0,0.0,0.0,0.3418003619330798,0.46299406764361158,0.10022969463802435,8858.584471775515 
 12/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.383370456668095,15.988026681777674,-4.906164497727152,0.0,0.0,0.0,0.34136607470125326,0.4628448726007516,0.10028394233248546,8858.584471775515 
 12/21  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.227174626151366,15.968124457426667,-4.917240811314917,0.0,0.0,0.0,0.3409518520658738,0.4626879675194261,0.10033310341825055,8858.584471775515 
 12/21  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.078360280625385,15.947765113729169,-4.928479749192205,0.0,0.0,0.0,0.3405554319195354,0.46252488667959137,0.10037771432058607,8858.584471775515 
 12/21  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.936159117724726,15.92706458030917,-4.939831534685943,0.0,0.0,0.0,0.340175000904657,0.46235694129812557,0.10041842191490509,8858.584471775515 
 12/21  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.799930300708886,15.906121486089769,-4.95125216653555,0.0,0.0,0.0,0.3398090681507074,0.4621852447384676,0.10045569187651719,8858.584471775515 
 12/21  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.669130968509578,15.885019754991518,-4.962704246158207,0.0,0.0,0.0,0.33945638297644417,0.46201074398458938,0.1004899582220866,8858.584471775515 
 12/21  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.543295415911505,15.863830806016287,-4.9741556013300649,0.0,0.0,0.0,0.3391158791256934,0.4618342447719808,0.10052158906526468,8858.584471775515 
 12/21  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.422019928189929,15.842615464546443,-4.985578840878917,0.0,0.0,0.0,0.33878663561879227,0.4616564338360061,0.10055091079204212,8858.584471775515 
 12/21  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.304951432470018,15.821425556318732,-4.996950669634936,0.0,0.0,0.0,0.3384678483083848,0.46147789724383467,0.10057820669708097,8858.584471775515 
 12/21  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.191778805530218,15.800305241854636,-5.008251382430617,0.0,0.0,0.0,0.3381588086440995,0.4612991357396543,0.10060372383232616,8858.584471775515 
 12/21  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.082226086435308,15.779292126511204,-5.01946437815888,0.0,0.0,0.0,0.3378588874298011,0.46112057742950615,0.10062767618367769,8858.584471775515 
 12/21  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.976047087710601,15.758418187541525,-5.030575747004571,0.0,0.0,0.0,0.3375675221471869,0.4609425883186279,0.1006502491071397,8858.584471775515 
 12/21  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.873021055944767,15.737710550587594,-5.041573904912275,0.0,0.0,0.0,0.33728420689060309,0.46076548108868017,0.10067160272842645,8858.584471775515 
 12/21  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.772949134231745,15.717192143668825,-5.052449278176305,0.0,0.0,0.0,0.33700848425973958,0.46058952244438808,0.1006918754413062,8858.584471775515 
 12/21  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.675651447207733,15.696882251036467,-5.063194029633268,0.0,0.0,0.0,0.33673993874569876,0.46041493929171137,0.10071118672636093,8858.584471775515 
 07/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.780125354555154,32.55428704209721,19.32650057817214,0.0,0.0,0.0,0.637437835828151,0.3843729142038548,4.336255236195227,252.7075028724915 
 07/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.414897565898003,31.49967359708158,18.21497993482775,0.0,0.0,0.0,0.6379611485384501,0.3821037497740746,4.334401887622456,252.7075028724915 
 07/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.10825627397647,30.462581402521445,17.299435884236357,0.0,0.0,0.0,0.6380955359403358,0.3785045880609199,4.3329169327236249,252.7075028724915 
 07/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.828199537804467,29.466191454268665,16.50806624843282,0.0,0.0,0.0,0.6383213849264809,0.3752635444396501,4.33374228189099,252.7075028724915 
