Time,CENTRAL SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,6.786920E-02,2.008240E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:30:00,5.423076E-02,1.604668E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:45:00,4.094575E-02,1.211561E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:00:00,2.791815E-02,8.260766E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:15:00,3.090777E-02,9.145348E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:30:00,3.371994E-02,9.977501E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:45:00,3.642009E-02,1.077652E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,3.904465E-02,1.155317E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:15:00,4.102192E-02,1.213829E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,4.288994E-02,1.269107E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:45:00,4.468162E-02,1.322126E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,4.641673E-02,1.373471E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:15:00,4.783105E-02,1.415323E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,4.917950E-02,1.455225E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:45:00,5.048204E-02,1.493769E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,5.175013E-02,1.531293E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:15:00,5.282521E-02,1.563106E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
