Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.116666666666667,8.175000000000002,0.0,0.0,0.0,25.696347360258816,5.805599548543718,11.050641615359702,48.88351816345906,4079.8202545089657
 01/01  02:00:00,4.141666666666667,8.200000000000001,0.0,0.0,0.0,25.596626079929948,6.974398245300143,11.052145801209415,61.326336823812085,5118.298365350777
 01/01  03:00:00,3.983333333333333,5.4750000000000005,0.0,0.0,0.0,25.181541188359684,5.897459032529317,11.876171211777963,0.0,0.0
 01/01  04:00:00,3.9583333333333335,6.116666666666666,0.0,0.0,0.0,25.19750794499988,6.730880211646496,11.59627613500711,40.32695156636069,3365.6888862394894
 01/01  05:00:00,3.8249999999999997,8.133333333333333,0.0,0.0,0.0,25.6451470039507,6.979590821482568,10.36052221277989,48.289894024266395,4030.276361646236
 01/01  06:00:00,3.9333333333333336,7.283333333333334,0.0,0.0,0.0,25.09773076015773,6.752017498332619,10.66040440104485,47.358468621753246,3952.5395627106413
 01/01  07:00:00,4.041666666666667,7.366666666666667,0.0,0.0,0.0,25.40807679265235,6.073482207876816,9.96825781235903,0.0,0.0
 01/01  08:00:00,4.058333333333334,9.133333333333333,3.2938493099933814,0.0,0.0,25.198064933414354,6.2091741340117155,9.469750076230644,47.88410160325094,3996.408911008801
 01/01  09:00:00,3.75,8.283333333333333,9.479823496541842,0.0,0.0,25.20794173664427,6.383906342879989,9.541966936376404,48.386191105574284,4038.3133196543786
 01/01  10:00:00,3.85,8.133333333333333,3.597259121915212,0.0,0.0,25.48533241849437,6.000666332354997,9.109615952249685,0.0,0.0
 01/01  11:00:00,4.391666666666667,9.674999999999999,5.036276124749031,0.0,0.0,25.479742227458292,6.920911464036373,9.093804993120742,46.3452318899841,3867.9747871750224
 01/01  12:00:00,4.891666666666666,9.424999999999999,5.427025465289407,0.0,0.0,25.07536312519845,6.8005884591656525,9.077149736087618,14.565666786118909,1215.6510948276523
 01/01  13:00:00,5.333333333333333,8.450000000000001,12.349742037441786,0.0,0.0,26.043880513606485,7.497247005764816,9.569811519184226,28.04658970105037,2340.769425588966
 01/01  14:00:00,5.733333333333334,7.908333333333334,14.088444820007135,0.0,0.0,24.82220928044247,7.462570518074648,9.817385541702341,12.934180917751126,1079.4872232246548
 01/01  15:00:00,6.541666666666667,8.341666666666667,25.883266968054517,0.0,0.0,25.47843178458182,8.786485759248299,10.12721128483035,25.49529493657926,2127.8382691098764
 01/01  16:00:00,6.4750000000000005,7.575,4.54820135585659,0.0,0.0,24.84427911324504,8.33648073331675,10.374058865663462,28.57362329251185,2384.755668847096
 01/01  17:00:00,5.75,6.408333333333334,0.0,0.0,0.0,25.2263358767362,7.131864525109371,10.057875231412483,0.0,0.0
 01/01  18:00:00,4.683333333333334,5.908333333333334,0.0,0.0,0.0,25.028869010353606,6.923454004882398,10.334598327522395,44.418545273443975,3707.1734500869825
 01/01  19:00:00,3.75,6.575,0.0,0.0,0.0,25.73361913467799,5.544789203580847,9.095692159307928,0.0,0.0
 01/01  20:00:00,3.0333333333333337,6.325,0.0,0.0,0.0,24.921129436191478,5.239591354616476,9.185148600081748,39.37556543253417,3286.2861639218095
 01/01  21:00:00,2.4083333333333337,5.991666666666667,0.0,0.0,0.0,25.17594012348424,4.576030276403909,8.56583721022658,0.0,0.0
 01/01  22:00:00,1.9083333333333332,5.908333333333334,0.0,0.0,0.0,25.69919021997281,5.300719956909211,8.891815059295629,44.40517050699048,3706.0571915784635
 01/01  23:00:00,1.6416666666666666,5.991666666666667,0.0,0.0,0.0,25.246493850465253,4.081037381262006,8.350317482319923,0.0,0.0
 01/01  24:00:00,1.5999999999999999,5.616666666666667,0.0,0.0,0.0,25.701841582085226,5.262884934546361,8.982914015484075,49.193342928536964,4105.678240991988
