Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.241666666666667,8.822222222,0.0,507.711555128243,0.0,18.763406684466194,1.5343959223891197,18.3706202723594,225.36280814853515,0.0,2473.3500569906146,86.42628148729558,0.0,605.7620088204413
 01/01  02:00:00,-6.700000000000002,8.822222222,0.0,484.30644386217415,0.0,18.76230923599741,2.1996510541214906,18.315716033438598,225.36280814853515,0.0,2459.623592562775,89.33070120905897,0.0,774.0517579939034
 01/01  03:00:00,-6.991666666666667,8.827777778,0.0,454.594882008797,0.0,18.761446334397863,2.720120969791053,18.207753759970107,225.36280814853515,0.0,2448.7617897585424,92.70809583552337,0.0,963.4469648354938
 01/01  04:00:00,-8.191666666666666,8.827777778,0.0,464.45563678786567,0.0,18.76044108148354,2.6358615122429225,17.97343602452148,225.36280814853515,0.0,2432.726881736186,86.10921205508726,0.0,1311.7393465290447
 01/01  05:00:00,-8.9,8.833333333,0.0,467.8191491276453,0.0,18.759283207983795,2.4100777514749,17.84059684067056,225.36280814853515,0.0,2419.1174273388447,85.12902955886729,0.0,1594.2402499580157
 01/01  06:00:00,-9.191666666666666,8.833333333,0.0,483.4977077836332,0.0,18.75802958133715,2.154265371634727,17.479710657158993,225.36280814853515,0.0,2411.3000672419707,86.2311601583533,0.0,1868.6593326253762
 01/01  07:00:00,-9.4,8.838888889000001,0.0,538.6780045913603,0.0,18.756732152428633,1.7357874661973625,16.82460384047931,225.36280814853515,0.0,2409.218842592095,84.41785249831013,0.0,2150.9591456984786
 01/01  08:00:00,-9.4,8.844444444000002,0.0,693.6862231684427,0.0,18.758708331667552,1.5946768646571232,16.902095020419296,225.36280814853515,0.0,2409.326506009785,84.35968280497788,0.0,2075.9266008501295
 01/01  09:00:00,-9.4,8.85,0.0,820.2706939794133,0.0,18.765231610570382,2.046797267014648,16.938929296230786,223.8933953175384,0.0,2399.6328798971726,83.92349489984635,0.8401367233999665,929.6061117840533
 01/01  10:00:00,-9.4,8.85,0.0,835.1386547774658,0.0,18.76669896757305,3.9740625922178445,16.45549752111241,179.97644661656878,0.0,1952.7006750004857,68.24141063035084,37.9651418419272,0.0
