Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.183333333333334,8.822222222,0.0,306.0858098525064,0.0,18.919509540477524,5.6195566645248975,144.9027291311293,0.0,1459.2454606662561,82.13158735927247,0.9709886458782865,371.07231959352407
 01/01  02:00:00,-5.458333333333333,8.822222222,0.0,283.2530533683641,0.0,18.919178866687663,5.451592325236672,145.9033968450626,0.0,1453.269153906447,89.92002681069971,0.0,978.5834553706168
 01/01  03:00:00,-4.650000000000001,8.827777778,0.0,279.3429003957838,0.0,18.919202126211157,5.390519507958758,145.9033968450626,0.0,1453.232923616138,96.71768922042686,0.0,1109.2329161190378
 01/01  04:00:00,-5.1000000000000005,8.827777778,0.0,275.56228472870765,0.0,18.917541016403394,5.607783783771851,145.9033968450626,0.0,1464.353472000639,84.78626185028777,0.0,1352.5144300334684
 01/01  05:00:00,-4.608333333333333,8.833333333,0.0,381.8850901730046,0.0,18.918203204254745,5.729494830208839,145.9033968450626,0.0,1462.5712738902666,91.21570183643352,0.0,1386.9359019351407
 01/01  06:00:00,-2.908333333333333,8.833333333,0.0,558.3388706839543,0.0,18.91999830376199,5.867632060093041,145.9033968450626,0.0,1466.2862996358724,104.30671715505837,0.0,1097.0686102757863
 01/01  07:00:00,-1.9083333333333332,8.838888889000001,0.0,979.9103947507618,0.0,18.92238320481417,6.652195821168707,145.9033968450626,0.0,1488.4980393031344,99.48390105199832,0.0,699.8599776515854
 01/01  08:00:00,-1.3500000000000003,8.844444444000002,0.0,800.6656512006526,0.0,18.923043296758475,7.319987830503691,145.9033968450626,0.0,1500.0233572239392,98.64530862839376,0.0,467.4698042571549
 01/01  09:00:00,-1.0999999999999999,8.85,0.0,560.6340907050563,0.0,18.924985484537018,8.835987029473081,144.91975618805057,0.0,1502.2837198161853,100.51928884810353,0.6911752233647762,130.8627874541953
 01/01  10:00:00,-0.4583333333333333,8.85,0.0,604.9079290393552,0.0,18.92576979875466,11.191181632986607,122.38076888798177,0.0,1287.4924655152074,90.39516290424903,30.499667063774762,0.0
