Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-4.4,20.323423144788874,2.2692643748437666,13.073393768032716,140.2093857592239,1553.9152648811535,79.08766926513374,20.220940840467816,0.0
 01/01  02:00:00,-5.6,20.466304668676427,1.371819128523017,13.632286035883709,158.0181194211391,1683.0199889472759,89.89110050412799,0.0,593.0759058292197
 01/01  03:00:00,-6.1,20.502107091056588,0.9587913628781859,11.62284282753817,158.0181194211391,1688.6364474223568,85.3154420002406,0.0,1504.8526679379657
 01/01  04:00:00,-5.6,20.52565485747787,1.1507526944154552,12.19975780077571,158.0181194211391,1692.8524963753233,81.71675082369146,0.0,1710.2884491967494
 01/01  05:00:00,-5.6,20.546699663704954,1.1921800304695208,12.37607075856631,158.0181194211391,1683.334894124683,91.28248988684766,0.0,1290.1753474827047
 01/01  06:00:00,-3.9,20.55585956399469,1.4282379772543348,10.949659275991277,158.0181194211391,1718.2545721842415,84.71916731885719,0.0,638.6509991477592
 01/01  07:00:00,-3.3,20.561027603105957,1.9650264840029295,11.709326892937208,158.0181194211391,1672.90515041199,119.21930936777537,0.0,380.0247917315137
 01/01  08:00:00,-3.3,20.55785629015513,2.0581995907727679,11.392735254395735,158.0181194211391,1673.6103380196476,121.23724006833838,0.0,359.4713917469662
 01/01  09:00:00,-2.8,20.573738383084807,3.1079165154841514,12.794599411529538,149.10867433269733,1605.1020853683818,119.20899003736736,8.328655298380717,0.0
 01/01  10:00:00,-2.2,20.571892623388555,4.111982684011291,10.210769405589737,124.15434526833545,1351.9075336155596,94.92273964446352,40.693979968830067,0.0
 01/01  11:00:00,-1.7,20.598404773142624,5.507594147777034,10.519222408109407,114.893419234129,1237.7889668331976,95.23242742713623,52.539274837558718,0.0
