Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.9,18.566911190957526,15.129628065543042,15.741887403399053,14.614241571374748,1502.8425169466339
 01/01  02:00:00,6.0,18.56797484290474,16.03030991086058,15.977350748774402,15.719150898392256,1621.414734382984
 01/01  03:00:00,4.0,18.555931140968063,13.452522160832403,13.814918458433398,20.185365905185126,2080.2948309225144
 01/01  04:00:00,4.0,18.573158255952755,14.607070606075043,16.02399497952488,17.65980860747103,1839.7384434677263
 01/01  05:00:00,4.0,18.569022807929578,13.92960271934936,15.659241952135355,18.717330340302752,1927.638451520104
 01/01  06:00:00,3.5,19.52040719743687,14.03120936541814,15.606876561228875,27.8085665609517,2869.169361121324
 01/01  07:00:00,2.7,19.654282691671373,14.411546724349662,15.503739428811215,29.398067129020347,2953.9740668053696
 01/01  08:00:00,2.0,19.673893359612432,15.06280780822871,15.305848725831774,28.401363985441346,2844.247410081676
 01/01  09:00:00,3.0,19.694201224906127,16.783358121820978,15.43995790990832,22.07811540162705,2211.4759875954906
 01/01  10:00:00,4.0,19.69957008692132,18.966110123264972,15.495956998836274,17.02028782223833,1702.6130615250804
 01/01  11:00:00,4.0,19.688331639346647,18.14519196623275,14.710407482436308,16.054145418904778,1605.5587438682285
 01/01  12:00:00,4.0,19.688493548718736,21.00765511269258,15.503064579389465,14.602120662179278,1466.8059509391974
 01/01  13:00:00,5.0,19.68066818321211,21.562451644987572,15.389181116572697,12.28003228345773,1228.5107125485304
 01/01  14:00:00,6.0,19.693557720342042,22.793672011607427,15.577510057642126,9.776511217790508,979.0273918713493
 01/01  15:00:00,5.0,19.697900737555234,23.259924036142085,15.281923492841019,8.802584033664493,880.6840378274845
 01/01  16:00:00,5.0,19.688653128252472,22.69450446514353,15.333826125102386,9.099413692047069,911.6931417568051
 01/01  17:00:00,4.0,19.674467239826356,21.155710138645716,15.055291591478971,11.595854708631977,1162.0236759012168
 01/01  18:00:00,4.0,19.656174639193974,20.06399859874528,15.071785658850075,13.163317178731024,1321.3266619322605
 01/01  19:00:00,4.0,19.668924894766114,19.435802751861807,14.986196503594671,14.869686126888961,1493.1913076305768
 01/01  20:00:00,3.0,19.668588944116145,18.909429072633266,14.749611675554773,17.63758844718936,1771.320710738894
 01/01  21:00:00,2.0,19.66648405514465,16.198882760409514,14.010221343196697,20.617347544583843,2072.9246360332536
 01/01  22:00:00,3.0,19.675625510282767,17.97717102165977,14.829903381058784,20.32943496584593,2050.9797618556017
 01/01  23:00:00,4.0,18.658586511811023,14.99162380859245,13.594379019681172,11.945907301615211,1199.8851057025045
 01/01  24:00:00,4.0,18.571843019861785,18.039911779603617,14.749378259456245,13.884114079008947,1443.7379373562917
 07/27  01:00:00,18.0,23.62191801067273,15.638186153658623,20.790109532063255,0.0,0.0
 07/27  02:00:00,16.0,22.944329701667954,13.830130739337333,20.61999615179428,0.0,0.0
