Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.9,18.61587144343675,15.835184572242024,0.2866498345360729,30.61831925114428,0.0
 01/01  02:00:00,6.0,18.59223993649631,16.939620488484227,4.5965588369533155,490.8562729543621,0.0
 01/01  03:00:00,4.0,18.56746373089218,14.16778128179499,11.945632187094615,1276.9438958124335,0.0
 01/01  04:00:00,4.0,18.591290817831634,15.493941658492165,8.935553440793395,955.8825457490433,0.0
 01/01  05:00:00,4.0,18.580695284744422,14.891405490808737,10.39290752017704,1110.8724534499304,0.0
 01/01  06:00:00,3.5,20.022504572979777,15.050670286164161,25.7572965027395,2753.52161075873,0.0
 01/01  07:00:00,2.7,20.189850555653614,15.533782291533386,30.97339465691427,3151.5562316248984,0.0
 01/01  08:00:00,2.0,20.216042660083506,16.21314827193937,32.034629829043496,3239.9228922702923,0.0
 01/01  09:00:00,3.0,20.234427145581122,17.928689596915426,28.03070882665202,2831.7646169890168,0.0
 01/01  10:00:00,4.0,20.238038159189315,19.984641007350053,24.860481125261504,2509.869483773789,0.0
 01/01  11:00:00,4.0,20.228152174768432,18.79668279387118,25.33299984923681,2557.683427919358,0.0
 01/01  12:00:00,4.0,20.227194047474946,21.83406942210547,24.55726747643992,2480.537942719893,0.0
 01/01  13:00:00,5.0,20.230996090048897,22.20026166932019,22.251644202737303,2247.935743501184,0.0
 01/01  14:00:00,6.0,20.231577690006947,23.402182630353067,19.690673321625333,1989.4612400731191,0.0
 01/01  15:00:00,5.0,20.218192661430457,23.76184017244337,20.603800434592195,2082.4743469931077,0.0
 01/01  16:00:00,5.0,20.210345024128664,23.148605699247746,21.04789746572087,2128.5480786247394,0.0
 01/01  17:00:00,4.0,20.20654801641601,21.60223430718581,24.02971830792813,2430.926034690154,0.0
 01/01  18:00:00,4.0,20.214574810901023,20.572221548088923,24.852925687919004,2514.1823578663852,0.0
 01/01  19:00:00,4.0,20.218343201311804,20.021184172439796,25.539796300935436,2582.683063486443,0.0
 01/01  20:00:00,3.0,20.213236499814577,19.562223301956898,28.24441789748222,2855.6117573583333,0.0
 01/01  21:00:00,2.0,20.209854597100165,16.753812214930083,31.531765856553708,3187.8346804734215,0.0
 01/01  22:00:00,3.0,20.22015592922154,18.824632961762507,29.852072818649642,3017.3985981283063,0.0
 01/01  23:00:00,4.0,18.700129836389152,15.547725855490953,14.340108321067019,1448.846718282971,0.0
 01/01  24:00:00,4.0,18.573434821309664,18.877399435386582,15.2632067785517,1624.9365144378776,0.0
 07/27  01:00:00,18.0,22.667312402402523,16.27903595359907,0.0,0.0,0.0
 07/27  02:00:00,16.0,22.16554663433401,14.74456267518168,0.0,0.0,0.0
 07/27  03:00:00,15.0,21.75686298648834,14.02055155557053,0.0,0.0,0.0
 07/27  04:00:00,14.0,21.396806331446125,12.741944324548292,0.0,0.0,0.0
 07/27  05:00:00,14.0,21.141705457576112,11.670114326847154,0.0,0.0,0.0
 07/27  06:00:00,16.0,21.436197058853217,12.093748219070545,0.0,0.0,0.0
 07/27  07:00:00,17.0,21.77231424639077,15.85249727342636,0.0,0.0,0.0
 07/27  08:00:00,19.0,22.079734969003937,21.093278053811957,0.0,0.0,0.0
 07/27  09:00:00,20.0,22.3895572946357,24.658593234123327,0.0,0.0,0.0
 07/27  10:00:00,22.0,22.985093157699275,28.122129204535337,0.0,0.0,0.0
 07/27  11:00:00,23.0,23.328256480594543,31.07278196819013,2.9697336497315883,0.0,0.0
 07/27  12:00:00,25.0,23.5477360735058,32.713612017818384,9.638355906945693,0.0,0.0
 07/27  13:00:00,27.0,23.54217218081723,34.60548045414027,19.268749429048647,0.0,0.0
 07/27  14:00:00,28.0,23.45137976739631,35.44723958369098,29.069681651515314,0.0,0.0
 07/27  15:00:00,28.0,23.365085241226527,35.22869859687281,35.625356120130405,0.0,0.0
 07/27  16:00:00,28.0,23.308899921412113,34.716279518886026,37.86108054823693,0.0,0.0
 07/27  17:00:00,28.0,23.442872041769494,32.105610408388515,38.32753619979267,0.0,0.0
 07/27  18:00:00,27.0,23.209867513544744,30.3663386472545,37.03878398916446,0.0,0.0
 07/27  19:00:00,27.0,23.246161275168767,28.474664868994033,29.682513113738096,0.0,0.0
 07/27  20:00:00,25.0,23.20923911263801,25.5928406035901,20.161211497274575,0.0,0.0
 07/27  21:00:00,23.0,23.213173160954696,23.204951379596988,11.708099500970595,0.0,0.0
 07/27  22:00:00,22.0,23.24583496619094,21.656557242534873,5.6527236287259415,0.0,0.0
 07/27  23:00:00,22.0,23.465477059706718,20.555237372433698,0.0,0.0,0.0
 07/27  24:00:00,19.0,23.126068801397647,18.150764757709457,0.0,0.0,0.0
 07/28  01:00:00,19.0,22.882146884693483,16.37612930451931,0.0,0.0,0.0
 07/28  02:00:00,17.0,22.457434001365666,15.08931127229434,0.0,0.0,0.0
 07/28  03:00:00,16.0,22.09359134965022,14.545697335737673,0.0,0.0,0.0
 07/28  04:00:00,16.0,21.894411972327823,13.335265891989518,0.0,0.0,0.0
 07/28  05:00:00,15.0,21.57285809608599,12.586918177748013,0.0,0.0,0.0
 07/28  06:00:00,16.0,21.72610250090199,13.549189701551862,0.0,0.0,0.0
 07/28  07:00:00,17.0,21.916356995283877,16.823978554387118,0.0,0.0,0.0
 07/28  08:00:00,17.0,22.161508027250758,20.139284386909374,0.0,0.0,0.0
 07/28  09:00:00,17.0,22.39442926517391,23.12458959219081,0.0,0.0,0.0
 07/28  10:00:00,19.0,22.96253044531538,26.89373639690308,0.0,0.0,0.0
 07/28  11:00:00,21.0,23.322706523444687,31.527966921334283,3.5165452984790733,0.0,0.0
 07/28  12:00:00,22.0,23.368418690751593,33.97282126092395,9.633896133617265,0.0,0.0
 07/28  13:00:00,23.0,23.394115617051764,34.37072908393621,15.908312377999867,0.0,0.0
 07/28  14:00:00,24.0,23.406080776552123,37.32456972793679,24.138424260898272,0.0,0.0
 07/28  15:00:00,24.0,23.36566042452343,36.52949217009624,30.876448360454518,0.0,0.0
 07/28  16:00:00,26.0,23.401792460656807,36.10322032850157,37.58046566017191,0.0,0.0
 07/28  17:00:00,26.0,23.348966928893454,35.593827156855426,38.29837421116248,0.0,0.0
 07/28  18:00:00,24.0,23.30383944289997,31.376768111700677,35.79223371862718,0.0,0.0
 07/28  19:00:00,23.0,23.27878661657677,28.48792974219821,30.027687300029115,0.0,0.0
 07/28  20:00:00,21.0,23.26231814504261,24.880746326883116,20.058067650742775,0.0,0.0
 07/28  21:00:00,19.0,23.246489641644136,21.641302195922208,10.452403693948908,0.0,0.0
 07/28  22:00:00,17.9,23.288503751900176,19.34034235331177,3.434501188636436,0.0,0.0
 07/28  23:00:00,17.0,23.168167087722498,17.902296828756736,0.0,0.0,0.0
 07/28  24:00:00,16.5,22.879676989710237,16.786017443258867,0.0,0.0,0.0
 07/29  01:00:00,16.0,22.608623854233617,15.329293730389331,0.0,0.0,0.0
 07/29  02:00:00,14.8,22.223513903631847,14.5022094097551,0.0,0.0,0.0
 07/29  03:00:00,13.9,21.888482057841376,14.039611161956362,0.0,0.0,0.0
 07/29  04:00:00,13.0,21.547411436057654,13.719821129703472,0.0,0.0,0.0
 07/29  05:00:00,13.1,21.344393415412753,13.54834849037745,0.0,0.0,0.0
 07/29  06:00:00,13.9,21.427815122597934,14.097880441353537,0.0,0.0,0.0
 07/29  07:00:00,15.5,21.760669667394275,16.67252168405147,0.0,0.0,0.0
 07/29  08:00:00,16.8,22.11917741563342,20.453312543855734,0.0,0.0,0.0
 07/29  09:00:00,18.4,22.622126363724853,24.668446528878793,0.0,0.0,0.0
 07/29  10:00:00,20.0,23.171613539559328,29.05451060811248,0.0,0.0,0.0
 07/29  11:00:00,22.0,23.33202065868097,33.09018170864725,7.403494715692001,0.0,0.0
 07/29  12:00:00,23.0,23.410247482929513,37.9500180300463,14.085551668557521,0.0,0.0
 07/29  13:00:00,24.0,23.403447529608034,38.110327456185175,21.513761963462454,0.0,0.0
 07/29  14:00:00,26.0,23.422032523894227,39.42868999486802,30.422545076401796,0.0,0.0
 07/29  15:00:00,27.0,23.428231056913727,42.939605415652764,39.20011829561549,0.0,0.0
 07/29  16:00:00,28.0,23.37562715826888,40.91673825138576,46.6550629507969,0.0,0.0
 07/29  17:00:00,27.0,23.335476028550346,37.53555559652386,46.33092925869277,0.0,0.0
 07/29  18:00:00,27.0,23.317790238818304,35.17938108467256,43.962560671971886,0.0,0.0
 07/29  19:00:00,25.0,23.291093242007804,31.12037000383098,37.469409231423676,0.0,0.0
 07/29  20:00:00,23.0,23.26940175617111,26.67107985183574,27.58549349796598,0.0,0.0
 07/29  21:00:00,21.0,23.248099568920395,22.84581338311874,18.110166116835675,0.0,0.0
 07/29  22:00:00,19.0,23.23595025200555,20.317854863307517,10.603708966121468,0.0,0.0
 07/29  23:00:00,18.0,23.571031770123668,18.609108545351948,0.0,0.0,0.0
 07/29  24:00:00,17.0,23.34481748918654,17.108156754790365,0.0,0.0,0.0
 07/30  01:00:00,16.0,23.01536808637773,16.02350180703346,0.0,0.0,0.0
 07/30  02:00:00,15.0,22.636196316620303,15.195914644812165,0.0,0.0,0.0
 07/30  03:00:00,14.0,22.285891052894137,14.468216977134942,0.0,0.0,0.0
 07/30  04:00:00,14.0,22.047334590642624,13.937925456384095,0.0,0.0,0.0
 07/30  05:00:00,13.0,21.745529902925284,12.829874987855776,0.0,0.0,0.0
 07/30  06:00:00,14.0,21.92383448808129,12.817344955970302,0.0,0.0,0.0
 07/30  07:00:00,16.0,22.298851623952707,15.988055792346858,0.0,0.0,0.0
 07/30  08:00:00,17.0,22.63938631184458,20.18790571694669,0.0,0.0,0.0
 07/30  09:00:00,18.0,23.023261308211914,24.713834322505253,0.0,0.0,0.0
 07/30  10:00:00,20.0,23.315669589609982,29.59738750634241,4.672958868723305,0.0,0.0
 07/30  11:00:00,22.0,23.471464830480684,37.031167383780904,13.261748367358193,0.0,0.0
 07/30  12:00:00,24.0,23.434221292585832,35.93296548831686,23.87946931970134,0.0,0.0
 07/30  13:00:00,26.0,23.42920289807442,38.12205240702303,32.726603935999414,0.0,0.0
 07/30  14:00:00,27.0,23.403216515395513,39.68624652523014,40.454145187972976,0.0,0.0
 07/30  15:00:00,28.0,23.411897073251744,37.90709862933307,48.94443067457049,0.0,0.0
 07/30  16:00:00,29.0,23.40392407892945,37.69915331082646,53.63032636599688,0.0,0.0
 07/30  17:00:00,29.0,23.323989622349306,35.99532317754321,55.18438011148391,0.0,0.0
 07/30  18:00:00,28.0,23.314860943868403,33.49003095638158,51.686762913042145,0.0,0.0
 07/30  19:00:00,26.0,23.255353012814922,30.590526927594627,44.0472035047211,0.0,0.0
 07/30  20:00:00,22.0,23.230285709504106,25.854183570671303,30.613714804908184,0.0,0.0
 07/30  21:00:00,22.0,23.317312823328344,22.990401323336492,22.03476113397063,0.0,0.0
 07/30  22:00:00,19.0,23.258946080754882,20.176953707314624,15.518452314195848,0.0,0.0
 07/30  23:00:00,18.0,23.805651180980526,18.539275663771363,0.0,0.0,0.0
 07/30  24:00:00,17.0,23.392608789385708,17.71591490665716,0.0,0.0,0.0
 07/31  01:00:00,16.0,23.27058420533395,16.45544603315134,0.0,0.0,0.0
 07/31  02:00:00,15.0,22.923937036847285,15.546545190617925,0.0,0.0,0.0
 07/31  03:00:00,14.0,22.509884073181624,14.882004702146261,0.0,0.0,0.0
 07/31  04:00:00,14.0,22.38741103245948,13.66091057672935,0.0,0.0,0.0
 07/31  05:00:00,13.0,21.96315296433023,13.249690816010016,0.0,0.0,0.0
 07/31  06:00:00,14.0,22.101522652860904,13.643599315191786,0.0,0.0,0.0
 07/31  07:00:00,16.0,22.553443359323953,17.125847922377957,0.0,0.0,0.0
 07/31  08:00:00,17.0,22.864583254754336,20.913601903861817,0.0,0.0,0.0
 07/31  09:00:00,18.0,23.315051350631368,25.80887182604199,0.5739984649503725,0.0,0.0
 07/31  10:00:00,20.0,23.377719394109267,29.0957773430562,8.380339303786634,0.0,0.0
 07/31  11:00:00,22.0,23.472617735777,33.383470119962254,17.89070669093937,0.0,0.0
 07/31  12:00:00,24.0,23.438304217210273,36.915473532797535,28.16964705814866,0.0,0.0
 07/31  13:00:00,26.0,23.421282402792354,39.612988184857784,36.99071366459933,0.0,0.0
 07/31  14:00:00,28.0,23.4479026724564,40.59031311480282,46.28401374814134,0.0,0.0
 07/31  15:00:00,29.0,23.442378513419914,38.049093846016426,56.07459703880967,0.0,0.0
 07/31  16:00:00,29.0,23.354766823629973,37.47838383820953,59.233964571112054,0.0,0.0
 07/31  17:00:00,29.0,23.337528128162653,35.68065900492409,59.94285453188073,0.0,0.0
 07/31  18:00:00,28.0,23.34531019642967,32.889532153549965,56.69580961850545,0.0,0.0
 07/31  19:00:00,25.0,23.251190604089746,28.88574358103313,47.51237404171493,0.0,0.0
 07/31  20:00:00,22.0,23.206702513726988,25.259077831360653,34.47407903054703,0.0,0.0
 07/31  21:00:00,20.0,23.184935876688773,21.996209984331134,23.208657853223592,0.0,0.0
 07/31  22:00:00,18.7,23.26880267042874,20.12296517595674,14.226585618702968,0.0,0.0
 07/31  23:00:00,17.4,23.668189415452574,18.9682563049201,0.0,0.0,0.0
 07/31  24:00:00,16.1,23.4664098441238,18.28656956603165,0.0,0.0,0.0
 08/01  01:00:00,14.9,23.084753090116386,17.32192455611948,0.0,0.0,0.0
 08/01  02:00:00,13.6,22.716441577533935,16.1617235717734,0.0,0.0,0.0
 08/01  03:00:00,12.3,22.31919917932184,15.029634784106447,0.0,0.0,0.0
 08/01  04:00:00,11.0,21.98023825900804,14.168361590755037,0.0,0.0,0.0
