Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.2,18.4338936966923,11.941491021560493,16.68781248496479,21.926695444417323,2807.478997897837,0.0
 01/01  02:00:00,-2.6,18.419297165716326,11.562197812217265,15.532328807830416,25.13392329975111,3221.9317516790143,0.0
 01/01  03:00:00,-2.9,18.412065960545185,10.722373536486025,14.035164645731236,27.808675279159125,3580.4620823356604,0.0
 01/01  04:00:00,-3.3,18.417587597803525,9.73122572173942,13.264018456065301,28.82560355862704,3731.749435570723,0.0
 01/01  05:00:00,-3.5,18.41262615949485,10.683830478415654,14.532155005949921,30.482429050630845,3956.1454249963017,0.0
 01/01  06:00:00,-3.7,19.67988482294328,11.159436242054484,15.8652148035319,41.62447459420516,5377.802958131733,0.0
 01/01  07:00:00,-3.9,19.99641157230828,11.35571800042991,16.51726487260942,43.79177614664259,5421.801720192479,0.0
 01/01  08:00:00,-2.6,20.10067444160683,11.489791889181442,16.434241114475405,40.020403090506065,4894.998968859868,0.0
 01/01  09:00:00,-1.3,20.1643421125233,13.227664311419915,16.541706630921578,32.39005993941505,3950.3823174739855,0.0
 01/01  10:00:00,0.0,20.20612069859052,16.475324295684533,16.59687270075399,24.041663866087166,2925.60229268207,0.0
 01/01  11:00:00,1.3,20.213231545602174,19.092775426281715,16.083946346853605,17.147436506597625,2083.969551200727,0.0
 01/01  12:00:00,2.6,20.18141360191178,20.580743753288914,15.160714560282587,12.986432432910325,1581.3145220767944,0.0
 01/01  13:00:00,3.9,20.142741336104155,20.854342850997508,14.421661180494878,10.543064867338073,1289.7717960278285,0.0
 01/01  14:00:00,3.7,20.11550880636398,21.313596448541766,14.966503906161362,8.604011385068613,1056.8472971300307,0.0
 01/01  15:00:00,3.5,20.13852861747985,20.643433782327794,14.84348816488635,7.298173357046976,895.2657850653991,0.0
 01/01  16:00:00,3.3,20.135587155734683,19.59317585987776,15.054207363278723,8.115940389946589,995.300836702324,0.0
 01/01  17:00:00,1.8,20.1057035345205,17.95582460013835,15.646558966744196,11.94114726164699,1463.209079035316,0.0
 01/01  18:00:00,0.4,20.038624692054334,16.300618827900138,16.27354581283798,14.638739160770783,1791.3151387687394,0.0
 01/01  19:00:00,-1.1,20.05239038129692,14.930144615420522,16.259748982158357,20.425255138535398,2498.627574281836,0.0
 01/01  20:00:00,-1.8,20.06070572430048,13.945146656781594,16.17753819418145,24.44813189970358,2989.550263725012,0.0
 01/01  21:00:00,-2.6,20.06492175764808,13.275042245123025,16.081579619596692,28.394268932818704,3472.130568000431,0.0
 01/01  22:00:00,-3.3,20.068126399104916,12.756502933077126,15.982731075463839,31.655574035389627,3871.6367086039613,0.0
 01/01  23:00:00,-3.7,18.705616990324867,12.339773343655162,15.6208073344945,22.07935199869188,2700.986741244519,0.0
 01/01  24:00:00,-4.0,18.472023064352133,11.643947917909228,14.743526515171123,23.49184595116401,2998.0391389103006,0.0
 07/13  01:00:00,11.1,21.294013390185736,12.680327162602065,19.45150471071548,0.0,0.0,0.0
 07/13  02:00:00,10.5,20.635832443902444,11.130084868704067,19.820528157884844,0.0,0.0,0.0
 07/13  03:00:00,10.0,19.913694507642543,9.784984056917157,19.89709484360242,0.0,0.0,0.0
 07/13  04:00:00,9.4,19.218596103630922,8.589822896035518,20.149092869544727,0.0,0.0,0.0
 07/13  05:00:00,11.3,18.836139314079855,8.067908078519238,19.12590024126136,0.0,0.0,0.0
 07/13  06:00:00,13.1,20.108003919456532,20.81718673704157,18.384608503497905,5.655621503384981,717.479215230169,0.0
 07/13  07:00:00,15.0,20.24732035235837,21.643068041055987,18.567272575530286,2.1209573744765398,259.2459589716954,0.0
