Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.9,18.968580319813118,11.907104170317599,0.0,0.0
 01/01  02:00:00,6.0,18.68964096861332,9.571888796301359,0.0,0.0
 01/01  03:00:00,4.0,18.220509792151642,14.419336418783315,11.269131224108639,1140.5351190462493
 01/01  04:00:00,4.0,18.54432596448818,14.18360300582456,16.63313129081898,1709.7922219978047
 01/01  05:00:00,4.0,18.554655874233138,14.964781684296444,19.3698898999127,1969.8858714764115
 01/01  06:00:00,3.5,19.501378906501824,15.009966374952176,44.11842950081427,4484.72267426201
 01/01  07:00:00,2.7,19.60468622053288,15.6212446633256,49.439608047834255,4866.7266102568265
 01/01  08:00:00,2.0,19.620337656223622,16.341647795571262,51.13630674103188,5015.294383686514
 01/01  09:00:00,3.0,19.6613494552622,18.28067261354317,39.335642625559586,3855.2467153702214
 01/01  10:00:00,4.0,19.667666992049377,20.542376621799104,31.033475288719494,3037.1537245986538
 01/01  11:00:00,4.0,19.62963296932618,19.480984679064647,33.830222501801714,3310.4060146118563
 01/01  12:00:00,4.0,19.63652329335789,22.75727460593014,30.82035237116519,3020.0442320197913
 01/01  13:00:00,5.0,19.616805560609446,23.106424552395275,26.600624329449346,2606.0880635237154
 01/01  14:00:00,6.0,19.6457751523334,24.52416184678385,22.50679598107524,2206.8820596646074
 01/01  15:00:00,5.0,19.66041043061527,24.84256585176802,22.47087568143572,2201.7332039877247
 01/01  16:00:00,5.0,19.651421144413725,24.255291991841904,24.840781452257854,2432.9433048133783
 01/01  17:00:00,4.0,19.613144316219245,22.593283415942757,31.536454009491834,3089.93339795962
 01/01  18:00:00,4.0,19.570628769580797,21.53975552517816,33.35968399432591,3272.7123909052434
 01/01  19:00:00,4.0,19.592780661976203,20.90390900155481,37.19739724378159,3654.403230426584
 01/01  20:00:00,3.0,19.593923900258833,20.32689387649727,43.25472960013774,4246.115388346191
 01/01  21:00:00,2.0,19.584918202138567,17.372851836717267,51.985300143412765,5102.260023165013
 01/01  22:00:00,3.0,19.610474987375248,19.615643484419984,48.84890620933641,4794.88155271739
 01/01  23:00:00,4.0,18.623972982019506,16.233726715538182,30.10633037600263,2952.34813527037
 01/01  24:00:00,4.0,18.53317253850915,19.251931778425586,31.22174610068107,3166.0866522559068
 07/27  01:00:00,18.0,22.54137741491515,15.234182550487711,0.0,0.0
 07/27  02:00:00,16.0,22.06110035272902,13.212827008098794,0.0,0.0
 07/27  03:00:00,15.0,21.62523772714161,12.327889291358773,0.0,0.0
 07/27  04:00:00,14.0,21.271032912872208,10.56302025101642,0.0,0.0
 07/27  05:00:00,14.0,21.026161446032827,9.295736898338095,0.0,0.0
 07/27  06:00:00,16.0,21.65943029777905,9.973650246352175,0.0,0.0
 07/27  07:00:00,17.0,22.433979326606764,14.062427244766539,0.0,0.0
 07/27  08:00:00,19.0,23.103549864582167,19.758379014642323,0.0,0.0
 07/27  09:00:00,20.0,23.324737326488712,24.155561395516326,18.255070960043174,0.0
 07/27  10:00:00,22.0,23.41686422537613,28.209359074924635,47.77047973710658,0.0
 07/27  11:00:00,23.0,23.411128835984965,31.22670873129114,75.57284303262692,0.0
 07/27  12:00:00,25.0,23.441866356098284,33.18858794809291,96.9231964927364,0.0
 07/27  13:00:00,27.0,23.438805495667317,35.14469822093519,115.61380222949077,0.0
 07/27  14:00:00,28.0,23.42963467802704,36.007652719669174,138.91899973819608,0.0
 07/27  15:00:00,28.0,23.40447195257563,35.67591059772367,158.11107476743973,0.0
 07/27  16:00:00,28.0,23.366979411248824,34.94535847773031,167.27981230753412,0.0
 07/27  17:00:00,28.0,23.369200162136654,32.39320069504105,169.42737546961115,0.0
 07/27  18:00:00,27.0,23.283718781959998,30.420252302247903,155.00780958364015,0.0
 07/27  19:00:00,27.0,23.265765330465918,28.292124185228843,131.6097855498406,0.0
 07/27  20:00:00,25.0,23.23257658366238,25.422718153014177,91.38477402189044,0.0
 07/27  21:00:00,23.0,23.23854745321173,22.942695922672357,57.37363577458273,0.0
 07/27  22:00:00,22.0,23.269949366128202,21.301612933964606,36.134025401657716,0.0
 07/27  23:00:00,22.0,24.004538017179573,20.2540789453498,0.0,0.0
 07/27  24:00:00,19.0,23.741745353658423,17.54086524813758,0.0,0.0
 07/28  01:00:00,19.0,23.48484627449059,15.447885596044271,0.0,0.0
 07/28  02:00:00,17.0,23.056291022353506,13.716367097348304,0.0,0.0
 07/28  03:00:00,16.0,22.642107951388454,13.0460170723002,0.0,0.0
 07/28  04:00:00,16.0,22.422051693040704,11.620801797518075,0.0,0.0
 07/28  05:00:00,15.0,22.10660077470227,10.548098115343524,0.0,0.0
 07/28  06:00:00,16.0,22.486869452312508,11.684525424901814,0.0,0.0
 07/28  07:00:00,17.0,23.044676394937234,15.344095466760235,0.0,0.0
 07/28  08:00:00,17.0,23.290002721210538,19.234408942610184,11.475601354254605,0.0
 07/28  09:00:00,17.0,23.305014849041882,22.723782425920948,33.85041039470796,0.0
 07/28  10:00:00,19.0,23.407034358344767,26.66583840486407,60.62782540095775,0.0
 07/28  11:00:00,21.0,23.41522713312929,31.30406807839895,88.08769389526759,0.0
 07/28  12:00:00,22.0,23.404945657007715,33.90192726634567,105.729647424307,0.0
 07/28  13:00:00,23.0,23.401930055277795,34.547384717106915,118.93326129188368,0.0
 07/28  14:00:00,24.0,23.41509297978297,36.95887722617322,142.01581108539725,0.0
 07/28  15:00:00,24.0,23.420651577618198,36.07813412583283,162.4537887953185,0.0
 07/28  16:00:00,26.0,23.40854825960436,35.307400668953164,181.62905283606662,0.0
 07/28  17:00:00,26.0,23.35922024208191,34.505285232559835,183.63053840773136,0.0
 07/28  18:00:00,24.0,23.307699527544816,30.986400295744687,166.17511960912566,0.0
 07/28  19:00:00,23.0,23.26227901353249,27.970427987910856,140.68050799417384,0.0
 07/28  20:00:00,21.0,23.238761542650924,24.436581576572184,96.72505800023687,0.0
 07/28  21:00:00,19.0,23.255038859949355,21.19662582888488,57.10694804706821,0.0
 07/28  22:00:00,17.9,23.29323386472097,18.790547095823463,32.110911248885216,0.0
 07/28  23:00:00,17.0,23.751958859501624,17.257740834870873,0.0,0.0
 07/28  24:00:00,16.5,23.538226702720024,15.73794404017824,0.0,0.0
 07/29  01:00:00,16.0,23.27434504571243,13.840753438755918,0.0,0.0
 07/29  02:00:00,14.8,22.900338369240902,12.70005480685586,0.0,0.0
 07/29  03:00:00,13.9,22.534870459731515,12.208481734745018,0.0,0.0
 07/29  04:00:00,13.0,22.160688915084478,11.981417487065375,0.0,0.0
 07/29  05:00:00,13.1,21.920537164133837,11.846719341856435,0.0,0.0
 07/29  06:00:00,13.9,22.243385959301563,12.499797564128391,0.0,0.0
 07/29  07:00:00,15.5,22.97080374132779,15.329501424547956,0.0,0.0
 07/29  08:00:00,16.8,23.292365459688153,19.501854657917146,14.492959524510932,0.0
 07/29  09:00:00,18.4,23.36495091279341,24.237063219924657,42.75878177133727,0.0
 07/29  10:00:00,20.0,23.398060170214368,28.795496469332566,73.308614724753,0.0
 07/29  11:00:00,22.0,23.42360660435903,32.81729221084135,101.36750801673374,0.0
 07/29  12:00:00,23.0,23.423768474756045,37.351834841073156,121.48668151954774,0.0
 07/29  13:00:00,24.0,23.42806507699537,38.0402724450445,136.9889539346471,0.0
 07/29  14:00:00,26.0,23.45012839141591,38.70607861742216,164.86598119495193,0.0
 07/29  15:00:00,27.0,23.448554396648245,41.009506228676784,192.3133692909864,0.0
 07/29  16:00:00,28.0,23.458150764344495,39.11955264393991,214.85419768572936,0.0
 07/29  17:00:00,27.0,23.365450573584802,35.9449636824526,212.63193580926668,0.0
 07/29  18:00:00,27.0,23.290970401367584,33.4910876466268,199.50477894965138,0.0
 07/29  19:00:00,25.0,23.245282542777662,29.821923802321837,168.86347809306696,0.0
 07/29  20:00:00,23.0,23.209757207168103,25.783016032039402,118.6193854870049,0.0
 07/29  21:00:00,21.0,23.231294309893514,22.20995224686554,76.16109003732812,0.0
 07/29  22:00:00,19.0,23.26151707955889,19.60773861842528,47.141769296519726,0.0
 07/29  23:00:00,18.0,24.09475089499685,17.814845243784124,0.0,0.0
 07/29  24:00:00,17.0,23.940456724929174,16.081711619356582,0.0,0.0
 07/30  01:00:00,16.0,23.615570712663104,14.716740586384475,0.0,0.0
 07/30  02:00:00,15.0,23.235435081646393,13.794323603521336,0.0,0.0
 07/30  03:00:00,14.0,22.86140496385604,12.922116734867766,0.0,0.0
 07/30  04:00:00,14.0,22.592842109339692,12.301608714640066,0.0,0.0
 07/30  05:00:00,13.0,22.320915868600387,10.59794698615429,0.0,0.0
 07/30  06:00:00,14.0,22.758907414984485,10.511841555861432,0.0,0.0
 07/30  07:00:00,16.0,23.28550487277664,14.066515730037962,5.722366254377464,0.0
 07/30  08:00:00,17.0,23.3172034235226,18.96648382298774,25.60993362053076,0.0
 07/30  09:00:00,18.0,23.344583400825556,23.877932942813498,53.32124005485082,0.0
 07/30  10:00:00,20.0,23.38989682101393,29.043862393808162,83.62047894424165,0.0
 07/30  11:00:00,22.0,23.435486166039926,35.81537331956782,116.55165910963434,0.0
 07/30  12:00:00,24.0,23.45235921498508,36.95160816249025,140.10190950139864,0.0
 07/30  13:00:00,26.0,23.442433205271524,37.669741446883656,161.8464513970942,0.0
 07/30  14:00:00,27.0,23.434956214470287,38.913633774141374,185.2292132719648,0.0
 07/30  15:00:00,28.0,23.449083271726874,36.907589396647936,211.07167553170203,0.0
 07/30  16:00:00,29.0,23.39738693190293,36.37745793983152,224.82637752902298,0.0
 07/30  17:00:00,29.0,23.352446271673454,34.48161812539841,226.63426361589688,0.0
 07/30  18:00:00,28.0,23.29722841705622,32.0563653253407,212.05935661728518,0.0
 07/30  19:00:00,26.0,23.241929025500816,29.23579875223261,177.5774539759092,0.0
 07/30  20:00:00,22.0,23.213924354735276,25.166356192172845,121.00619097981992,0.0
 07/30  21:00:00,22.0,23.257617191210542,22.334754007377885,84.90846290277403,0.0
 07/30  22:00:00,19.0,23.277040106946636,19.371147791497847,56.47229632892261,0.0
 07/30  23:00:00,18.0,24.28895829642711,17.815113185699655,0.0,0.0
 07/30  24:00:00,17.0,24.056111035523337,16.726001264179118,0.0,0.0
 07/31  01:00:00,16.0,23.837890252926197,15.227151289102578,0.0,0.0
 07/31  02:00:00,15.0,23.480841580037215,14.164471978143894,0.0,0.0
 07/31  03:00:00,14.0,23.076224167309586,13.21901755355872,0.0,0.0
 07/31  04:00:00,14.0,22.924402659805327,11.540864855408245,0.0,0.0
 07/31  05:00:00,13.0,22.53888894049474,10.903393225382985,0.0,0.0
 07/31  06:00:00,14.0,22.882260689747575,11.296682311464165,0.0,0.0
