Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 12/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.238094794937222,15.305580064088545,-4.695526280263388,0.0,0.0,0.0,0.7759424628460794,0.53598348002758,4.901745707517402,8497.781667507468 
 12/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.708791816484533,15.310999607038124,-4.6904791917338,0.0,0.0,0.0,0.7745996387171495,0.5358661764438231,4.901743521179305,8497.781667507468 
 12/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38371665766835,15.299029006566212,-4.697223179612369,0.0,0.0,0.0,0.7736270080686418,0.5360133036881097,4.901739733357462,8497.781667507468 
 12/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.07835041847857,15.287045367528146,-4.703083435494187,0.0,0.0,0.0,0.7727338059975843,0.536012107278309,4.901743902460211,8497.781667507468 
 12/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.811387926714242,15.272361083128502,-4.710441599985743,0.0,0.0,0.0,0.771947900760788,0.5360017636216091,4.901718860402794,8497.781667507468 
 12/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.568520216316058,15.255867059337172,-4.718146980800706,0.0,0.0,0.0,0.7712323585985347,0.5359638045875748,4.901685396421228,8497.781667507468 
 12/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344839261285124,15.237732881253079,-4.72628970058387,0.0,0.0,0.0,0.7705718872041107,0.5359078328351374,4.901644843196985,8497.781667507468 
 12/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.136716674886918,15.218238351070758,-4.734707542625165,0.0,0.0,0.0,0.7699558801055209,0.5358362974603419,4.901600345027079,8497.781667507468 
 12/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.941641681021047,15.197631380549414,-4.7433509218001739,0.0,0.0,0.0,0.7693770775895272,0.5357520831759809,4.901552957645159,8497.781667507468 
 12/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.757802138581845,15.176133443493177,-4.75215812919331,0.0,0.0,0.0,0.7688302888605877,0.5356574417956311,4.901503500608596,8497.781667507468 
 12/21  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.58375209253438,15.153938282608309,-4.761083371007757,0.0,0.0,0.0,0.7683114262346565,0.5355542880883576,4.9014524836750639,8497.781667507468 
 12/21  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418357530505546,15.131211239971134,-4.770085732750386,0.0,0.0,0.0,0.7678172925929863,0.5354442426436866,4.9014003121008919,8497.781667507468 
 12/21  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.260697498399346,15.108093526473557,-4.7791303522589969,0.0,0.0,0.0,0.7673453046540334,0.5353286654606312,4.901347312255863,8497.781667507468 
 12/21  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.110009644582093,15.084705116823939,-4.788186978988045,0.0,0.0,0.0,0.7668933302367494,0.5352087048693768,4.901293760051282,8497.781667507468 
