Time,LIVING_UNIT1:COEUR.DALENE.AP-BOYINGTON.FIE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:COEUR.DALENE.AP-BOYINGTON.FIE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:COEUR.DALENE.AP-BOYINGTON.FIE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:COEUR.DALENE.AP-BOYINGTON.FIE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,7.175239E+03,2.040746E+02,2.388369E-01,1.476297E-02
02:00:00,7.175657E+03,0.000000E+00,2.388508E-01,0.000000E+00
03:00:00,7.177188E+03,0.000000E+00,2.389018E-01,0.000000E+00
04:00:00,7.179950E+03,0.000000E+00,2.389937E-01,0.000000E+00
05:00:00,7.183739E+03,0.000000E+00,2.391198E-01,0.000000E+00
06:00:00,7.188258E+03,0.000000E+00,2.392702E-01,0.000000E+00
07:00:00,7.193218E+03,5.634856E+02,2.394353E-01,4.115405E-02
08:00:00,7.198383E+03,1.293973E+03,2.396072E-01,9.365321E-02
09:00:00,7.203579E+03,1.979075E+03,2.397801E-01,1.431622E-01
10:00:00,7.208693E+03,2.538420E+03,2.399504E-01,1.836159E-01
11:00:00,7.213654E+03,2.873260E+03,2.401155E-01,2.078399E-01
12:00:00,7.218423E+03,3.043484E+03,2.402743E-01,2.201588E-01
13:00:00,7.222982E+03,3.424903E+03,2.404260E-01,2.477542E-01
14:00:00,7.227330E+03,4.024091E+03,2.405708E-01,2.911008E-01
15:00:00,7.231469E+03,4.558967E+03,2.407086E-01,3.297937E-01
16:00:00,7.235411E+03,4.792226E+03,2.408398E-01,3.466679E-01
17:00:00,7.239167E+03,4.814198E+03,2.409648E-01,3.482583E-01
18:00:00,7.242749E+03,4.692374E+03,2.410841E-01,3.394469E-01
19:00:00,7.246170E+03,4.187688E+03,2.411980E-01,3.029385E-01
20:00:00,7.249443E+03,2.822613E+03,2.413069E-01,2.041890E-01
21:00:00,7.252580E+03,1.947588E+03,2.414114E-01,1.408900E-01
22:00:00,7.255591E+03,1.383420E+03,2.415116E-01,1.000777E-01
23:00:00,7.258487E+03,9.372578E+02,2.416080E-01,6.780189E-02
24:00:00,7.261275E+03,5.381265E+02,2.417008E-01,3.892849E-02
Peak,7.261275E+03,4.814198E+03,2.417008E-01,3.482583E-01

Peak Vol Flow (m3/s),,,2.183923E-01,3.146739E-01
