Time,LIVING_UNIT1:CRATERS.OF.THE.MOON.NATL.MONU ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:CRATERS.OF.THE.MOON.NATL.MONU ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:CRATERS.OF.THE.MOON.NATL.MONU ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:CRATERS.OF.THE.MOON.NATL.MONU ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,7.473040E+03,1.103832E+02,2.487632E-01,7.984748E-03
02:00:00,7.473405E+03,0.000000E+00,2.487754E-01,0.000000E+00
03:00:00,7.474749E+03,0.000000E+00,2.488201E-01,0.000000E+00
04:00:00,7.477203E+03,0.000000E+00,2.489018E-01,0.000000E+00
05:00:00,7.480577E+03,0.000000E+00,2.490141E-01,0.000000E+00
06:00:00,7.484584E+03,0.000000E+00,2.491474E-01,0.000000E+00
07:00:00,7.488952E+03,0.000000E+00,2.492928E-01,0.000000E+00
08:00:00,7.493464E+03,4.614801E+02,2.494430E-01,3.459634E-02
09:00:00,7.497968E+03,1.210857E+03,2.495930E-01,8.771678E-02
10:00:00,7.502368E+03,1.962840E+03,2.497394E-01,1.419389E-01
11:00:00,7.506605E+03,2.484568E+03,2.498805E-01,1.796433E-01
12:00:00,7.510652E+03,2.723877E+03,2.500152E-01,1.969676E-01
13:00:00,7.514500E+03,2.843307E+03,2.501433E-01,2.056291E-01
14:00:00,7.518149E+03,3.213779E+03,2.502648E-01,2.324389E-01
15:00:00,7.521608E+03,3.772513E+03,2.503800E-01,2.728557E-01
16:00:00,7.524890E+03,4.245220E+03,2.504892E-01,3.070470E-01
17:00:00,7.528007E+03,4.494485E+03,2.505930E-01,3.250795E-01
18:00:00,7.530974E+03,4.526592E+03,2.506918E-01,3.274069E-01
19:00:00,7.533802E+03,4.309211E+03,2.507859E-01,3.116866E-01
20:00:00,7.536504E+03,3.551709E+03,2.508759E-01,2.568978E-01
21:00:00,7.539092E+03,2.132246E+03,2.509621E-01,1.542292E-01
22:00:00,7.541575E+03,1.381314E+03,2.510447E-01,9.991635E-02
23:00:00,7.543962E+03,8.833720E+02,2.511242E-01,6.389813E-02
24:00:00,7.546261E+03,4.538116E+02,2.512007E-01,3.282639E-02
Peak,7.546261E+03,4.526592E+03,2.512007E-01,3.274069E-01

Peak Vol Flow (m3/s),,,2.594993E-01,3.382229E-01
