Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 01/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.01022414603285,14.83487131709198,-5.606164523432416,0.0,0.0,0.0,0.9890734988775575,0.589809982968818,6.9151772436931389,8532.951692288498 
 01/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.375924246919555,14.843881734211707,-5.599104014501851,0.0,0.0,0.0,0.9869146128364381,0.5896647331019558,6.915234002739237,8532.951692288498 
 01/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.999585698649675,14.83007391135051,-5.606570044902671,0.0,0.0,0.0,0.9855946674258872,0.5898500146603791,6.915159441757342,8532.951692288498 
 01/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.645189889477545,14.816711165824783,-5.6127773563704939,0.0,0.0,0.0,0.9843465370015887,0.5898444711353363,6.915137024572292,8532.951692288498 
 01/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.338811581760073,14.800088783653765,-5.620573474271572,0.0,0.0,0.0,0.9832653876872746,0.5898302521246749,6.915068014492049,8532.951692288498 
 01/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.062224246200128,14.781389793555274,-5.6286731332394439,0.0,0.0,0.0,0.9822869618551045,0.5897821327498833,6.9149918202260649,8532.951692288498 
 01/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81015539850597,14.76080576783966,-5.637175239298586,0.0,0.0,0.0,0.981393078551287,0.5897123129650149,6.914906556296964,8532.951692288498 
 01/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.577740349837855,14.738697169852074,-5.6459088933230909,0.0,0.0,0.0,0.9805668376694507,0.589623660212633,6.914816966127352,8532.951692288498 
 01/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.361728168532482,14.715362263216264,-5.654826372165964,0.0,0.0,0.0,0.9797970509614248,0.5895199356669187,6.914724102728169,8532.951692288498 
 01/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15964449629201,14.691069110828062,-5.663867578247371,0.0,0.0,0.0,0.9790752359777653,0.5894039843689375,6.9146290949053139,8532.951692288498 
