Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.409743E-01,8.160156E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,8.826226E+02,3.460715E-02,3.108409E+02,2.829262E+02
02:00:00,2.409917E-01,8.160672E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,9.015275E+02,2.939609E-02,2.209510E+02,1.927235E+02
03:00:00,2.410551E-01,8.162549E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,9.157062E+02,2.939609E-02,2.067724E+02,1.782920E+02
04:00:00,2.411680E-01,8.165890E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,9.298849E+02,2.939609E-02,1.925937E+02,1.638602E+02
05:00:00,2.413215E-01,8.170435E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,9.393373E+02,2.939609E-02,1.831412E+02,1.542395E+02
06:00:00,2.415036E-01,8.175827E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,9.298849E+02,2.939609E-02,1.925937E+02,1.638602E+02
07:00:00,2.417026E-01,8.181719E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,8.968013E+02,2.939609E-02,2.256773E+02,1.975342E+02
08:00:00,2.419089E-01,8.187828E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,8.164554E+02,5.985517E-02,7.209138E+02,6.776131E+02
09:00:00,2.421155E-01,8.193944E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,7.266572E+02,1.147563E-01,1.558631E+03,1.501818E+03
10:00:00,2.423177E-01,8.199929E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,6.463113E+02,1.609489E-01,2.268252E+03,2.223351E+03
11:00:00,2.425126E-01,8.205698E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,5.754179E+02,1.988842E-01,2.855902E+03,2.831969E+03
12:00:00,2.426987E-01,8.211208E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,5.281557E+02,2.194729E-01,3.183601E+03,3.175006E+03
13:00:00,2.428755E-01,8.216441E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,4.903459E+02,2.311657E-01,3.380667E+03,3.380105E+03
14:00:00,2.430429E-01,8.221395E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,4.667148E+02,2.599463E-01,3.796337E+03,3.801942E+03
15:00:00,2.432011E-01,8.226081E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,4.667148E+02,3.023563E-01,4.374044E+03,4.386924E+03
16:00:00,2.433508E-01,8.230511E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,4.950721E+02,3.357836E-01,4.801036E+03,4.820715E+03
17:00:00,2.434925E-01,8.234706E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,5.328819E+02,3.521735E-01,4.986487E+03,5.010960E+03
18:00:00,2.436268E-01,8.238682E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,5.801442E+02,3.560169E-01,4.991572E+03,5.017974E+03
19:00:00,2.437544E-01,8.242458E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,6.510376E+02,3.415664E-01,4.723828E+03,4.747537E+03
20:00:00,2.438758E-01,8.246051E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,7.030260E+02,2.869502E-01,3.927853E+03,3.941515E+03
21:00:00,2.439915E-01,8.249477E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,7.455621E+02,1.847093E-01,2.492590E+03,2.488742E+03
22:00:00,2.441021E-01,8.252751E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,7.880981E+02,1.299001E-01,1.703441E+03,1.688600E+03
23:00:00,2.442080E-01,8.255885E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,8.211817E+02,9.242337E-02,1.159852E+03,1.138140E+03
24:00:00,2.443095E-01,8.258891E+03,2.939609E-02,0.000000E+00,0.000000E+00,2.939609E-02,8.542652E+02,6.076966E-02,6.955832E+02,6.695282E+02
Coinc Peak   ,2.443095E-01,3.560169E-01,8.258891E+03,4.991572E+03
NonCoinc Peak,2.443095E-01,3.560169E-01,8.258891E+03,4.991572E+03
