Time,LIVING_UNIT1:JEROME.COUNTY.AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:JEROME.COUNTY.AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:JEROME.COUNTY.AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:JEROME.COUNTY.AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,7.239476E+03,4.783854E+02,2.409743E-01,3.460715E-02
02:00:00,7.240000E+03,1.575178E+02,2.409917E-01,1.139510E-02
03:00:00,7.241905E+03,0.000000E+00,2.410551E-01,0.000000E+00
04:00:00,7.245295E+03,0.000000E+00,2.411680E-01,0.000000E+00
05:00:00,7.249908E+03,0.000000E+00,2.413215E-01,0.000000E+00
06:00:00,7.255379E+03,0.000000E+00,2.415036E-01,0.000000E+00
07:00:00,7.261359E+03,5.793639E+00,2.417026E-01,4.494270E-04
08:00:00,7.267558E+03,8.273532E+02,2.419089E-01,5.985517E-02
09:00:00,7.273764E+03,1.586361E+03,2.421155E-01,1.147563E-01
10:00:00,7.279837E+03,2.224942E+03,2.423177E-01,1.609489E-01
11:00:00,7.285692E+03,2.749335E+03,2.425126E-01,1.988842E-01
12:00:00,7.291284E+03,3.033911E+03,2.426987E-01,2.194729E-01
13:00:00,7.296594E+03,3.195518E+03,2.428755E-01,2.311657E-01
14:00:00,7.301621E+03,3.593349E+03,2.430429E-01,2.599463E-01
15:00:00,7.306375E+03,4.179595E+03,2.432011E-01,3.023563E-01
16:00:00,7.310872E+03,4.641675E+03,2.433508E-01,3.357836E-01
17:00:00,7.315128E+03,4.868236E+03,2.434925E-01,3.521735E-01
18:00:00,7.319163E+03,4.921356E+03,2.436268E-01,3.560169E-01
19:00:00,7.322995E+03,4.721595E+03,2.437544E-01,3.415664E-01
20:00:00,7.326641E+03,3.966612E+03,2.438758E-01,2.869502E-01
21:00:00,7.330117E+03,2.553298E+03,2.439915E-01,1.847093E-01
22:00:00,7.333439E+03,1.795649E+03,2.441021E-01,1.299001E-01
23:00:00,7.336620E+03,1.277597E+03,2.442080E-01,9.242337E-02
24:00:00,7.339670E+03,8.400383E+02,2.443095E-01,6.076966E-02
Peak,7.339670E+03,4.921356E+03,2.443095E-01,3.560169E-01

Peak Vol Flow (m3/s),,,2.353400E-01,3.429462E-01
