Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 01/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4040929257089,13.659780981358569,-12.993190137228125,0.0,0.0,0.0,0.6017216858561157,0.5878854975045726,5.283911490305608,11694.926127789411 
 01/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.771752233646229,13.671989172517444,-12.983161788290416,0.0,0.0,0.0,0.6009332885623261,0.587747557106579,5.283952358555044,11694.926127789411 
 01/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.400978078501148,13.65959168544223,-12.990437501435207,0.0,0.0,0.0,0.5997290830460496,0.587920911214281,5.283922021527367,11694.926127789411 
 01/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.044251607539828,13.648364157511495,-12.996039677822579,0.0,0.0,0.0,0.5987059351703449,0.5878934659584209,5.283921217841981,11694.926127789411 
 01/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.731642003829342,13.63345982974105,-13.00397085191195,0.0,0.0,0.0,0.59778621225903,0.5878630902159486,5.283871074382299,11694.926127789411 
 01/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.446270478532388,13.616345884431813,-13.012463578065454,0.0,0.0,0.0,0.5969495925553062,0.5877967458304102,5.283809060161994,11694.926127789411 
 01/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.183484265012435,13.597212968667622,-13.02161970750045,0.0,0.0,0.0,0.5961766358523599,0.5877080800154361,5.283734753155877,11694.926127789411 
 01/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.939008035261434,13.576424250911077,-13.031180251349769,0.0,0.0,0.0,0.5954553621842905,0.5875997296486353,5.283653424283587,11694.926127789411 
 01/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.70999183241569,13.554276545383497,-13.041064437927956,0.0,0.0,0.0,0.5947772848719806,0.5874754108187421,5.283566806210965,11694.926127789411 
 01/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.494260501027375,13.531036949588973,-13.051179253204764,0.0,0.0,0.0,0.5941362258314967,0.5873379560448676,5.2834764610953519,11694.926127789411 
