Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,3.344029E-01,1.133201E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.859063E+02,3.059491E-02,2.823488E+02,2.860628E+02
02:00:00,3.344192E-01,1.133249E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.052132E+02,3.059491E-02,2.630418E+02,2.663958E+02
03:00:00,3.344789E-01,1.133426E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.196934E+02,3.059491E-02,2.485616E+02,2.516451E+02
04:00:00,3.345838E-01,1.133737E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.341736E+02,3.059491E-02,2.340814E+02,2.368952E+02
05:00:00,3.347251E-01,1.134155E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.438271E+02,3.059491E-02,2.244279E+02,2.270615E+02
06:00:00,3.348921E-01,1.134650E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.341736E+02,3.059491E-02,2.340814E+02,2.368952E+02
07:00:00,3.350746E-01,1.135190E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.003865E+02,3.571250E-02,3.358243E+02,3.401802E+02
08:00:00,3.352644E-01,1.135752E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.183319E+02,9.324569E-02,1.202417E+03,1.219051E+03
09:00:00,3.354552E-01,1.136317E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,7.266239E+02,1.508209E-01,2.079171E+03,2.109034E+03
10:00:00,3.356431E-01,1.136873E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,6.445694E+02,1.972999E-01,2.794492E+03,2.835845E+03
11:00:00,3.358254E-01,1.137413E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.721683E+02,2.271994E-01,3.274202E+03,3.323632E+03
12:00:00,3.360008E-01,1.137932E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.239009E+02,2.402502E-01,3.500249E+03,3.553739E+03
13:00:00,3.361686E-01,1.138429E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,4.852870E+02,2.614408E-01,3.827518E+03,3.886412E+03
14:00:00,3.363288E-01,1.138904E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,4.611533E+02,2.997375E-01,4.373322E+03,4.440785E+03
15:00:00,3.364815E-01,1.139356E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,4.611533E+02,3.387521E-01,4.904773E+03,4.980346E+03
16:00:00,3.366271E-01,1.139786E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,4.901137E+02,3.604986E-01,5.172039E+03,5.251439E+03
17:00:00,3.367659E-01,1.140197E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.287276E+02,3.632269E-01,5.170590E+03,5.249609E+03
18:00:00,3.368984E-01,1.140590E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.769950E+02,3.529385E-01,4.982176E+03,5.057956E+03
19:00:00,3.370252E-01,1.140965E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,6.493961E+02,3.154559E-01,4.399193E+03,4.465712E+03
20:00:00,3.371466E-01,1.141325E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,7.024902E+02,2.179225E-01,3.017514E+03,3.062882E+03
21:00:00,3.372631E-01,1.141669E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,7.459309E+02,1.500239E-01,2.049169E+03,2.079798E+03
22:00:00,3.373750E-01,1.142001E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,7.893715E+02,1.069900E-01,1.419526E+03,1.440531E+03
23:00:00,3.374828E-01,1.142320E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.231587E+02,7.337948E-02,9.279020E+02,9.414109E+02
24:00:00,3.375866E-01,1.142627E+04,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.569458E+02,4.388249E-02,4.923108E+02,4.992237E+02
Coinc Peak   ,3.375866E-01,3.632269E-01,1.142627E+04,5.170590E+03
NonCoinc Peak,3.375866E-01,3.632269E-01,1.142627E+04,5.170590E+03
