Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 01/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.644985997670525,15.59124114342184,-6.198572549457838,0.0,0.0,0.0,0.3498473989986545,0.4954991939729077,0.7535770316845379,9770.902002856958 
 01/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.20397296125289,15.59195750948734,-6.196620119853187,0.0,0.0,0.0,0.34954604014663218,0.4954549419661957,0.7535201166355107,9770.902002856958 
 01/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.92782995569758,15.580648843508584,-6.204205506117914,0.0,0.0,0.0,0.3486850157511791,0.495494958442705,0.7536630004850597,9770.902002856958 
 01/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666513448721963,15.569677368563019,-6.210721011858607,0.0,0.0,0.0,0.3480196326699226,0.49542552272351367,0.753723154584739,9770.902002856958 
 01/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.434267652059708,15.556654445410711,-6.218828275658698,0.0,0.0,0.0,0.3474085034492562,0.49535404991972589,0.7537817389191566,9770.902002856958 
 01/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.219395280137425,15.54240123425375,-6.227149525704396,0.0,0.0,0.0,0.3468506048440866,0.49526190768388447,0.7538234320113935,9770.902002856958 
 01/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.020184166209127,15.526665627458846,-6.236174155839869,0.0,0.0,0.0,0.3463297931910557,0.495155964044956,0.7538642352817165,9770.902002856958 
 01/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.833295110178762,15.509783271074279,-6.24558566419821,0.0,0.0,0.0,0.3458400204874675,0.49503517566387397,0.7539006124737966,9770.902002856958 
 01/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.656893965014858,15.491949058476259,-6.255356854714027,0.0,0.0,0.0,0.34537577084462436,0.4949029016487252,0.7539347107388245,9770.902002856958 
 01/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.489561438468908,15.473344161524205,-6.265391278616358,0.0,0.0,0.0,0.3449334911464268,0.494761078522404,0.753966446451006,9770.902002856958 
 01/21  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.330221779685937,15.454124146154618,-6.275633111267036,0.0,0.0,0.0,0.34451050000381158,0.4946114855527929,0.7539963408604445,9770.902002856958 
 01/21  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.178013438664437,15.434422902029713,-6.286025445285851,0.0,0.0,0.0,0.3441047311891882,0.4944556126581489,0.7540245644515312,9770.902002856958 
 01/21  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.032229999160725,15.414355187410092,-6.296522521606703,0.0,0.0,0.0,0.3437145230971431,0.4942947379317842,0.7540513338917352,9770.902002856958 
 01/21  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.892279611728967,15.394019107166772,-6.307083894727468,0.0,0.0,0.0,0.3433385040519663,0.4941299500017949,0.7540768021308826,9770.902002856958 
 01/21  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.757658533862232,15.373498558318059,-6.317675265017521,0.0,0.0,0.0,0.34297551742617896,0.49396217880986939,0.7541011117278772,9770.902002856958 
