Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.770344E-01,9.457366E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.030401E+03,3.059491E-02,1.378541E+02,6.662863E+01
02:00:00,2.770441E-01,9.457651E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.052782E+03,3.059491E-02,1.154728E+02,4.387351E+01
03:00:00,2.770796E-01,9.458704E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.069568E+03,3.059491E-02,9.868681E+01,2.680748E+01
04:00:00,2.771457E-01,9.460662E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.086354E+03,3.059491E-02,8.190083E+01,9.741498E+00
05:00:00,2.772380E-01,9.463393E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.097545E+03,3.059491E-02,7.071017E+01,0.000000E+00
06:00:00,2.773487E-01,9.466671E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.086354E+03,3.059491E-02,8.190083E+01,9.741498E+00
07:00:00,2.774705E-01,9.470278E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,1.047187E+03,3.059491E-02,1.210681E+02,4.956224E+01
08:00:00,2.775976E-01,9.474041E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.520664E+02,3.059491E-02,2.161887E+02,1.462757E+02
09:00:00,2.777260E-01,9.477840E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.457552E+02,5.790082E-02,6.936053E+02,5.727011E+02
10:00:00,2.778528E-01,9.481595E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,7.506346E+02,1.132132E-01,1.542977E+03,1.358121E+03
11:00:00,2.779765E-01,9.485258E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,6.667047E+02,1.645504E-01,2.326505E+03,2.146296E+03
12:00:00,2.780963E-01,9.488804E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,6.107514E+02,1.937805E-01,2.780668E+03,2.643743E+03
13:00:00,2.782118E-01,9.492222E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.659888E+02,2.109338E-01,3.059034E+03,2.954886E+03
14:00:00,2.783227E-01,9.495507E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.380122E+02,2.425146E-01,3.517164E+03,3.428930E+03
15:00:00,2.784294E-01,9.498664E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.380122E+02,2.859413E-01,4.108714E+03,4.031703E+03
16:00:00,2.785318E-01,9.501696E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,5.715842E+02,3.207671E-01,4.549537E+03,4.482724E+03
17:00:00,2.786303E-01,9.504611E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,6.163468E+02,3.360885E-01,4.713471E+03,4.652899E+03
18:00:00,2.787250E-01,9.507416E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,6.723000E+02,3.331659E-01,4.617688E+03,4.558559E+03
19:00:00,2.788163E-01,9.510118E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,7.562299E+02,3.161551E-01,4.302022E+03,4.240224E+03
20:00:00,2.789044E-01,9.512725E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.177785E+02,2.728000E-01,3.649870E+03,3.583382E+03
21:00:00,2.789894E-01,9.515242E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,8.681365E+02,1.618704E-01,2.088391E+03,2.016818E+03
22:00:00,2.790717E-01,9.517677E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.184944E+02,1.029058E-01,1.234792E+03,1.157141E+03
23:00:00,2.791513E-01,9.520034E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.576617E+02,6.257976E-02,6.462960E+02,5.684980E+02
24:00:00,2.792285E-01,9.522319E+03,3.059491E-02,0.000000E+00,0.000000E+00,3.059491E-02,9.968290E+02,3.059491E-02,1.714261E+02,1.007622E+02
Coinc Peak   ,2.792285E-01,3.360885E-01,9.522319E+03,4.713471E+03
NonCoinc Peak,2.792285E-01,3.360885E-01,9.522319E+03,4.713471E+03
