Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.499234E-01,8.545504E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.031964E+03,3.015900E-02,1.196462E+02,4.029990E+01
02:00:00,2.499325E-01,8.545774E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.056693E+03,3.015900E-02,9.491693E+01,1.516321E+01
03:00:00,2.499663E-01,8.546774E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.075240E+03,3.015900E-02,7.636994E+01,0.000000E+00
04:00:00,2.500291E-01,8.548633E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.093787E+03,3.015900E-02,5.782296E+01,0.000000E+00
05:00:00,2.501164E-01,8.551219E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.106152E+03,3.015900E-02,4.545830E+01,0.000000E+00
06:00:00,2.502210E-01,8.554314E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.093787E+03,3.015900E-02,5.782296E+01,0.000000E+00
07:00:00,2.503357E-01,8.557710E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,1.050511E+03,3.015900E-02,1.010993E+02,2.144740E+01
08:00:00,2.504551E-01,8.561245E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,9.454114E+02,3.015900E-02,2.061988E+02,1.282823E+02
09:00:00,2.505753E-01,8.564804E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,8.279471E+02,6.278811E-02,7.679853E+02,6.188423E+02
10:00:00,2.506939E-01,8.568315E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,7.228476E+02,1.208373E-01,1.664105E+03,1.441238E+03
11:00:00,2.508094E-01,8.571733E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,6.301126E+02,1.597280E-01,2.286758E+03,2.086660E+03
12:00:00,2.509209E-01,8.575034E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,5.682893E+02,1.802846E-01,2.628588E+03,2.473087E+03
13:00:00,2.510281E-01,8.578209E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,5.188307E+02,2.105057E-01,3.089677E+03,2.957955E+03
14:00:00,2.511310E-01,8.581254E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,4.879191E+02,2.578034E-01,3.764873E+03,3.647166E+03
15:00:00,2.512296E-01,8.584173E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,4.879191E+02,3.030164E-01,4.380771E+03,4.278435E+03
16:00:00,2.513241E-01,8.586971E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,5.250130E+02,3.296590E-01,4.706589E+03,4.617491E+03
17:00:00,2.514148E-01,8.589656E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,5.744717E+02,3.367976E-01,4.754345E+03,4.671736E+03
18:00:00,2.515020E-01,8.592235E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,6.362950E+02,3.292856E-01,4.590167E+03,4.508373E+03
19:00:00,2.515858E-01,8.594716E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,7.290299E+02,2.880499E-01,3.935688E+03,3.851655E+03
20:00:00,2.516665E-01,8.597105E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,7.970355E+02,1.748103E-01,2.325073E+03,2.239697E+03
21:00:00,2.517444E-01,8.599410E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,8.526765E+02,1.156243E-01,1.463165E+03,1.371816E+03
22:00:00,2.518196E-01,8.601637E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,9.083174E+02,7.404937E-02,8.411785E+02,7.501071E+02
23:00:00,2.518923E-01,8.603791E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,9.515937E+02,3.886579E-02,3.186223E+02,2.363467E+02
24:00:00,2.519628E-01,8.605877E+03,3.015900E-02,0.000000E+00,0.000000E+00,3.015900E-02,9.948700E+02,3.015900E-02,1.567402E+02,7.800593E+01
Coinc Peak   ,2.519628E-01,3.367976E-01,8.605877E+03,4.754345E+03
NonCoinc Peak,2.519628E-01,3.367976E-01,8.605877E+03,4.754345E+03
