Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 12/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.17741154720128,18.218649219550064,2.367467809909586,0.0,0.0,0.0,0.30572160405839279,0.34871274633459456,0.8575658461911404,5728.984145989911 
 12/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.884348501067298,18.217809645273524,2.367858146474831,0.0,0.0,0.0,0.3055195885166378,0.3486791580158696,0.8575424269469659,5728.984145989911 
 12/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.687486969613749,18.209510119333005,2.3628209101279529,0.0,0.0,0.0,0.30496503502754948,0.34869501764358387,0.8576326209788679,5728.984145989911 
 12/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50871824432244,18.200781223293995,2.3581429943780907,0.0,0.0,0.0,0.3045289081775549,0.3486320661174771,0.8576798063600832,5728.984145989911 
 12/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.350049999328858,18.190702000079197,2.3525366408322929,0.0,0.0,0.0,0.30413457142887737,0.3485620123070346,0.8577256552023195,5728.984145989911 
 12/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.20485939015232,18.179577165544584,2.346666376672483,0.0,0.0,0.0,0.3037756877082195,0.3484762760798448,0.8577622936732957,5728.984145989911 
 12/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.070432441483925,18.167528023795368,2.3404470062416578,0.0,0.0,0.0,0.3034421915398528,0.3483787968616782,0.8577974395721201,5728.984145989911 
 12/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.944760170949619,18.154705812152444,2.334002155672268,0.0,0.0,0.0,0.3031289715291611,0.3482710327906721,0.8578304923549929,5728.984145989911 
 12/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.826469385035794,18.141248926425939,2.327361406206676,0.0,0.0,0.0,0.3028324908097002,0.34815474562402468,0.857862634554541,5728.984145989911 
 12/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.714537366977415,18.12728055211607,2.3205740479027345,0.0,0.0,0.0,0.3025502997935572,0.3480314343661731,0.8578938707225894,5728.984145989911 
