Time,LIVING_UNIT1:SALEM.MUNI.AP-MCNARY.FIELD ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:SALEM.MUNI.AP-MCNARY.FIELD ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:SALEM.MUNI.AP-MCNARY.FIELD ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:SALEM.MUNI.AP-MCNARY.FIELD ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,4.681603E+03,2.828489E+02,1.558704E-01,2.046199E-02
02:00:00,4.681803E+03,0.000000E+00,1.558770E-01,0.000000E+00
03:00:00,4.682545E+03,0.000000E+00,1.559017E-01,0.000000E+00
04:00:00,4.683937E+03,0.000000E+00,1.559481E-01,0.000000E+00
05:00:00,4.685890E+03,0.000000E+00,1.560131E-01,0.000000E+00
06:00:00,4.688244E+03,0.000000E+00,1.560914E-01,0.000000E+00
07:00:00,4.690842E+03,3.082595E+02,1.561779E-01,2.320591E-02
08:00:00,4.693558E+03,1.081840E+03,1.562684E-01,7.835257E-02
09:00:00,4.696304E+03,1.853267E+03,1.563598E-01,1.340858E-01
10:00:00,4.699018E+03,2.478357E+03,1.564501E-01,1.792972E-01
11:00:00,4.701665E+03,2.905263E+03,1.565383E-01,2.101789E-01
12:00:00,4.704224E+03,3.081256E+03,1.566235E-01,2.229095E-01
13:00:00,4.706685E+03,3.277742E+03,1.567054E-01,2.371227E-01
14:00:00,4.709046E+03,3.766057E+03,1.567840E-01,2.724484E-01
15:00:00,4.711307E+03,4.327778E+03,1.568593E-01,3.130850E-01
16:00:00,4.713474E+03,4.701906E+03,1.569314E-01,3.401505E-01
17:00:00,4.715550E+03,4.828169E+03,1.570006E-01,3.492844E-01
18:00:00,4.717003E+03,4.761446E+03,1.570490E-01,3.444571E-01
19:00:00,4.718375E+03,4.368615E+03,1.570946E-01,3.160384E-01
20:00:00,4.719849E+03,3.220833E+03,1.571437E-01,2.330042E-01
21:00:00,4.721373E+03,2.140096E+03,1.571945E-01,1.548204E-01
22:00:00,4.722916E+03,1.502106E+03,1.572458E-01,1.086663E-01
23:00:00,4.724459E+03,1.036835E+03,1.572972E-01,7.500736E-02
24:00:00,4.725990E+03,6.290209E+02,1.573482E-01,4.550499E-02
Peak,4.725990E+03,4.828169E+03,1.573482E-01,3.492844E-01

Peak Vol Flow (m3/s),,,1.316206E-01,2.921737E-01
