Date/Time,UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),LIVING_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC_UNIT1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ATTIC_UNIT1:Zone Windows Total Heat Gain Energy [J](Hourly),UNHEATEDBSMT_UNIT1:Zone Mean Air Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Mean Air Temperature [C](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),LIVING_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Sensible Heat Gain Rate [W](Hourly),UNHEATEDBSMT_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),LIVING_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ATTIC_UNIT1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly) 
 12/21  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.292317456180393,17.343665446824905,-1.8032965214108064,0.0,0.0,0.0,0.36313867300331556,0.4238004070304019,1.4716896375622224,7737.077255976351 
 12/21  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.918685164857075,17.345191024875349,-1.8011861068304894,0.0,0.0,0.0,0.36281239758524105,0.42375898387260665,1.4716452051114293,7737.077255976351 
 12/21  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68120723281891,17.33561056617775,-1.8070550195115387,0.0,0.0,0.0,0.36225398103335129,0.42380165792698279,1.4717365934904064,7737.077255976351 
 12/21  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45934805432605,17.3257693169459,-1.8123533063547255,0.0,0.0,0.0,0.36179836741061258,0.4237364461066355,1.4717806835979353,7737.077255976351 
 12/21  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.262933393239249,17.314045141998507,-1.819001828510588,0.0,0.0,0.0,0.3613850882884799,0.42366496777502807,1.4718197748405296,7737.077255976351 
 12/21  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.082657348827668,17.30097916231521,-1.826022157655234,0.0,0.0,0.0,0.361007742724483,0.42357304170472706,1.4718474516991745,7737.077255976351 
 12/21  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.915567543934053,17.28670935693173,-1.8335330090009512,0.0,0.0,0.0,0.3606567268217322,0.4234667919373083,1.4718718271492537,7737.077255976351 
 12/21  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.759199303281145,17.271438682208975,-1.8413573861430166,0.0,0.0,0.0,0.3603270386510897,0.42334784931423266,1.4718928340794609,7737.077255976351 
 12/21  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.611911468183243,17.25534468467772,-1.849452232851697,0.0,0.0,0.0,0.3600151243729644,0.4232184476299504,1.4719119217359345,7737.077255976351 
 12/21  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.472468415988854,17.238586023623748,-1.8577488546274644,0.0,0.0,0.0,0.35971848059507019,0.42308041295744816,1.471929336867347,7737.077255976351 
 12/21  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.339916840864682,17.221300783984817,-1.8662007697477583,0.0,0.0,0.0,0.35943522226466426,0.42293536484558999,1.4719454326808224,7737.077255976351 
 12/21  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.21349414527397,17.2036076085755,-1.874764063374972,0.0,0.0,0.0,0.35916387762607046,0.4227846880583667,1.4719603764262249,7737.077255976351 
 12/21  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.092575296994756,17.185608003243688,-1.8834023401046328,0.0,0.0,0.0,0.35890325987739227,0.4226295681624934,1.4719743253983889,7737.077255976351 
 12/21  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97663767361069,17.16738855402523,-1.8920838153776436,0.0,0.0,0.0,0.3586523881238299,0.4224710155527936,1.4719873991005644,7737.077255976351 
 12/21  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.865237006952933,17.149023104028218,-1.900781393603161,0.0,0.0,0.0,0.35841043516493029,0.42230989175404828,1.47199970358455,7737.077255976351 
 12/21  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.757989426611698,17.13057463004168,-1.9094718620586949,0.0,0.0,0.0,0.35817669047323977,0.42214693173622505,1.4720113297005733,7737.077255976351 
 12/21  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.654554245987049,17.112096837320967,-1.9181355002072079,0.0,0.0,0.0,0.35795052811865016,0.42198276335832687,1.4720223572817897,7737.077255976351 
 12/21  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.554585404208402,17.09363540252804,-1.9267556928472998,0.0,0.0,0.0,0.3577313358653417,0.4218179237484506,1.472032856979199,7737.077255976351 
