Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,7.658333333333334,19.341039736057734,18.81830855088852,7.984803700163726,666.4120155033652
 01/01  02:00:00,7.2,19.333289976744293,20.337228319425396,6.248085112293538,521.4654171942547
 01/01  03:00:00,7.2,19.33157587646322,21.247539137011213,8.457474962525758,705.861176741323
 01/01  04:00:00,7.2,19.32429228505605,21.298708594820308,11.855143306582583,989.4307038329488
 01/01  05:00:00,7.2,19.31094847960532,21.287444739134354,14.66537429281012,1223.9726870658612
 01/01  06:00:00,7.2,19.328640038619394,20.103483946059693,21.66204156921198,1807.9147996788236
 01/01  07:00:00,6.908333333333334,19.310164207199552,18.765667664426356,28.460318350544487,2375.299234152101
 01/01  08:00:00,6.991666666666667,19.311192661009446,19.04543585484034,28.097090654523786,2344.984237054948
 01/01  09:00:00,7.55,19.31121209296731,19.36208824608236,26.92859318420444,2247.461394472089
 01/01  10:00:00,7.799999999999998,19.33076098850742,20.776265041808617,17.981236203314765,1500.7146461530872
 01/01  11:00:00,8.091666666666667,19.325341015974008,22.034798854025343,13.62251019316445,1136.9352102989972
 01/01  12:00:00,8.65,19.330638345332105,22.148697365031435,11.27240311310405,940.7951854866569
 01/01  13:00:00,9.191666666666666,19.322008921484155,21.38701847093569,12.855465040790785,1072.9175931890188
 01/01  14:00:00,9.108333333333333,19.315898080277304,20.814293674806333,14.479948382339098,1208.4970336417196
 01/01  15:00:00,9.541666666666666,19.314693123226217,20.69852117069892,16.260112699894467,1357.0696141755304
 01/01  16:00:00,10.0,19.312445232102373,20.63159670680536,19.618773021821145,1637.3835302810003
 01/01  17:00:00,10.0,19.326244599595096,19.38107164273376,29.11749236034059,2430.1470015926043
 01/01  18:00:00,9.65,19.304301829907693,18.235598780466713,37.11118300711903,3097.3007219928677
 01/01  19:00:00,9.4,19.30784909542444,18.490127098758858,35.01027548592351,2921.958901685202
 01/01  20:00:00,9.4,19.304230930851514,18.38784304819292,35.951780045490274,3000.5369074455234
 01/01  21:00:00,9.108333333333333,19.30433388834214,18.20075749904854,38.51956263637877,3214.8441385341685
