Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.625,22.643021754729634,13.591847065257646,17.518700213363697,53.75472325318217,4351.0840080509915
 01/01  02:00:00,4.650000000000001,22.63812373813713,14.170089761306658,17.41605117983715,52.15896964713997,4221.802435247581
 01/01  03:00:00,4.3999999999999995,22.640379020835848,14.422856402957448,17.5286008551921,49.955023545919374,4042.5923074872976
 01/01  04:00:00,4.75,22.639054345549614,14.625013384759326,17.39249344788688,48.81516611540073,3950.558263061299
 01/01  05:00:00,4.650000000000001,22.63948599978015,14.664441145042845,17.12120138043842,49.71505792078734,4023.8098029678677
 01/01  06:00:00,4.3999999999999995,22.63937552234387,14.59542127014636,17.0150073818964,49.19534936726094,3981.9677428924656
 01/01  07:00:00,4.3999999999999995,22.638714926543766,14.364822589468275,16.791211841926124,50.812833780446624,4113.8941107723085
 01/01  08:00:00,4.3999999999999995,22.63998390506274,14.286142890347968,16.69676022373511,50.40812036382817,4082.2558922151
 01/01  09:00:00,4.3999999999999995,22.640391307987624,14.86160290532903,16.64888244729669,48.03123557377694,3891.5732439151743
 01/01  10:00:00,4.3999999999999995,22.640243204336368,15.482794425907898,16.466761207447302,46.73412882697291,3787.7909972701787
 01/01  11:00:00,4.3999999999999995,22.63885469933118,14.707243952579917,16.10800978863335,48.69824659001112,3947.6157984415113
 01/01  12:00:00,4.75,22.640427902848604,14.619031758688697,15.98458758111367,48.273485982346216,3913.564091367478
 01/01  13:00:00,5.641666666666667,22.642163821370158,15.448792261023536,16.200283586194463,44.970218320048,3645.97422998555
 01/01  14:00:00,5.808333333333333,22.641883743941303,15.550541692547641,16.247375179409268,43.84857135560194,3556.3272376619584
 01/01  15:00:00,6.883333333333333,22.649028964414253,16.73943625580844,16.38681209962178,40.58677963806937,3292.3080031358063
 01/01  16:00:00,7.158333333333334,22.644115314568836,17.14686745581988,16.4235941655523,37.81794411029558,3070.5399247260652
 01/01  17:00:00,6.700000000000002,22.645049268702262,16.202153142709914,16.477703063053863,36.36534659147073,2953.3356645727777
 01/01  18:00:00,5.708333333333333,22.644183145250764,15.951298268751328,16.459855288667914,36.572309718709995,2970.186127249351
 01/01  19:00:00,4.3583333333333325,22.642394706357845,15.468687216857807,16.237534192133843,39.31440912669558,3191.8247377460716
 01/01  20:00:00,3.5500000000000003,22.639968306877083,14.63621585953139,15.74919489201975,44.92818183635351,3645.6602727746176
 01/01  21:00:00,3.3000000000000003,22.64170854412599,14.446786632492817,15.854900006981552,45.14852524316376,3660.990846801052
 01/01  22:00:00,2.658333333333333,22.64007819490857,14.494642184934662,15.940124491882044,45.8119851719186,3713.4948946701916
 01/01  23:00:00,2.5500000000000003,22.639299725707374,14.100518946003527,15.661236427275375,48.82923454067551,3956.89286281861
 01/01  24:00:00,2.158333333333333,22.636195407373304,13.651854223532562,15.103065462398947,54.695403506276136,4431.729501043336
 01/02  01:00:00,1.9916666666666671,22.639860761477404,13.490969569921875,15.307127534714972,53.532358668749566,4335.318372353707
 01/02  02:00:00,2.1999999999999997,22.638581063598835,13.683982761301863,15.5132402308248,52.70991099205708,4268.036917334891
 01/02  03:00:00,2.1999999999999997,22.63791988615333,13.282614663852994,15.18839644013201,56.14455347932232,4546.311854877256
 01/02  04:00:00,2.1999999999999997,22.637481686987737,13.013382707333092,14.915913584267988,58.445785956739115,4732.5633852636765
 01/02  05:00:00,1.9083333333333332,22.637789908664327,12.90503660607031,14.822144373408337,59.15667729742458,4789.733681102669
 01/02  06:00:00,1.7,22.636589464921514,12.583288516262373,14.562557526137384,61.583198247578565,4985.746525928693
 01/02  07:00:00,1.7,22.63793071597168,12.348267468519786,14.476316948793263,62.125186757971,5028.817306816481
 01/02  08:00:00,1.3500000000000003,22.638339142401886,12.433096133428997,14.547813743893727,60.355239626090345,4884.276314242055
 01/02  09:00:00,0.8083333333333332,22.641928739344053,13.263732016187225,14.785761078670221,54.605156323103955,4417.045125007324
 01/02  10:00:00,0.8916666666666666,22.652533596886,15.55788324332434,15.547760863656713,42.01461377579319,3396.451728202437
 01/02  11:00:00,1.45,22.65363729189865,18.742016391519538,15.71777240448464,33.475397895595954,2706.1280503801445
 01/02  12:00:00,2.341666666666667,22.654929169058864,21.09635935857567,15.796925837720616,27.675414244814174,2237.600916017887
