Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.975,21.58037110539216,10.826356189685503,22.124037431305663,12.889385921265871,1075.7486311423484
 01/01  02:00:00,10.600000000000001,21.57957265170674,12.271584222789068,22.012435683977642,12.348796394474306,1030.6310090144816
 01/01  03:00:00,10.600000000000001,21.57956442976113,12.88774793480192,22.260427009884808,11.384000659723624,950.1091209020578
 01/01  04:00:00,9.608333333333333,21.576456491111752,12.755696949609778,22.1863776788061,11.513666253684718,960.9310162244542
 01/01  05:00:00,8.9,21.578102503850932,12.831275448161966,22.167111408999357,11.790272805463644,984.0166093829497
 01/01  06:00:00,9.191666666666666,21.57795873002334,12.739614058398194,22.15665060232527,11.498422294590577,959.658754828226
 01/01  07:00:00,9.108333333333333,21.577874088110338,12.902581352337501,22.011051014997975,11.601659618684437,968.2749457589001
 01/01  08:00:00,9.191666666666666,21.58224027702947,12.986554361230546,22.06645003717479,10.400122080148742,867.9945778467741
 01/01  09:00:00,9.108333333333333,21.593198437640012,13.40360180529295,22.0647488752418,6.991112135277206,583.478480326897
 01/01  10:00:00,8.549999999999999,21.590643592518898,14.694362854167823,22.09669149912081,5.773583244261978,481.86347353864045
 01/01  11:00:00,8.941666666666668,21.59555235126362,15.496855355813471,22.101934113610678,4.285606045649761,357.6768408816741
 01/01  12:00:00,9.108333333333333,21.597713622000896,16.21155716141515,21.916724847782305,3.323560786759043,277.3845075874099
 01/01  13:00:00,9.191666666666666,21.62677912362773,16.177061559375332,21.56946569179239,2.153990291138974,179.77211027281365
 01/01  14:00:00,9.75,22.767577721632236,15.738598295636814,18.790472011850152,0.0,0.0
 01/01  15:00:00,10.0,23.229107679928944,15.997995788617231,18.588778950367754,0.0,0.0
 01/01  16:00:00,10.350000000000001,22.59399146504974,13.44671559355499,18.366330184423116,0.0,0.0
 01/01  17:00:00,10.25,21.908615458352326,11.40709127888232,18.30555566049923,0.22077728068617952,18.426080104688392
 01/01  18:00:00,9.65,21.595661238550022,12.68118697041975,21.29728326312339,4.921304364640474,410.7322463642178
 01/01  19:00:00,8.466666666666667,21.583595047993153,12.498261109375235,21.25918153241348,7.55655561385104,630.6704142002242
 01/01  20:00:00,7.158333333333334,21.581626893224897,12.101252541824202,21.378181981178244,9.420218866279672,786.2118189620038
 01/01  21:00:00,6.991666666666667,21.574909317211077,11.311514150513029,21.093281926226275,11.163451985893891,931.7021203341601
