Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.9,18.23096093798426,4.246066411704514,19.268433012725215,32.08051911621681,733.7836865127292,733.7836865127292,0.0,0.0,0.0,0.0,956.7646860431523,292.5130990157863,23.84525461152396,154.5886343701328,0.0,0.0
 01/01  02:00:00,3.9,18.551535571932067,4.341531525980374,18.933536230298092,52.68136448258646,1244.1889348548775,1244.1889348548775,0.0,0.0,0.0,0.0,1599.9407633048138,477.03725213733384,39.17482538422383,125.42765477506556,0.0,0.0
 01/01  03:00:00,2.8,18.42377766872039,4.132282592951945,18.787861839128745,69.45167509151752,1595.4982788902253,1595.4982788902253,0.0,0.0,0.0,0.0,2092.1946374382665,631.7280188993633,48.187691337193165,101.55986156533739,0.0,0.0
 01/01  04:00:00,2.8,18.55948317305179,4.00963919234441,18.615475149761437,80.5811676936747,1849.922326611566,1849.922326611566,0.0,0.0,0.0,0.0,2451.5913592117627,731.0337293671563,55.88951437667523,85.78575346011928,0.0,0.0
 01/01  05:00:00,2.2,18.564560489421737,3.8748304488363763,18.472757560414625,84.92664987885546,1883.89286753944,1883.89286753944,0.0,0.0,0.0,0.0,2540.6245802450785,765.7632636120022,61.228833092211886,79.4749455911117,0.0,0.0
 01/01  06:00:00,1.7,19.2830462104941,4.346402195396863,18.30987402652214,121.84777991008025,2817.881218406712,2817.881218406712,0.0,0.0,0.0,0.0,3736.0838956046427,1100.8168377982104,82.91865644832367,27.020423104348247,0.0,0.0
 01/01  07:00:00,1.7,19.6092377415679,4.419908999559574,18.218940164022204,118.44352049196814,2629.0985502754174,2629.0985502754174,0.0,0.0,0.0,0.0,3608.8616841877706,1085.12068887873,80.59011426917579,31.84904113231013,0.0,0.0
 01/01  08:00:00,2.2,19.72794756789122,4.747864293644962,18.11816308212746,104.87940870274323,2297.9180952088645,2297.9180952088645,0.0,0.0,0.0,0.0,3211.1394923620855,975.0179705487415,68.05385024915441,51.27497438121162,0.0,0.0
 01/01  09:00:00,2.8,19.73272077073312,5.821834652279766,18.0214549870344,95.48705224238832,2092.7392537947235,2092.7392537947235,0.0,0.0,0.0,0.0,2924.530843712376,888.0477175875898,66.15355585036521,64.65452264168246,0.0,0.0
 01/01  10:00:00,3.9,19.757438763583945,7.03719370613759,17.934622201891475,83.78894310873878,1920.3406781340364,1920.3406781340364,0.0,0.0,0.0,0.0,2643.845092125841,794.4533720256982,52.07264824974704,81.494794417894,0.0,0.0
 01/01  11:00:00,3.9,19.860825734535606,7.554495526806025,17.855507018419075,69.56157940580748,1613.3713841103036,1613.3713841103036,0.0,0.0,0.0,0.0,2196.9797946099343,668.0146240986402,37.47417418715839,101.67412413520785,0.0,0.0
 01/01  12:00:00,4.4,19.69389444239745,7.873186953098981,17.78649820323368,65.35664356172084,1564.5823370943963,1564.5823370943963,0.0,0.0,0.0,0.0,2090.910410562149,633.9086846563015,33.55043953316646,107.682848464691,0.0,0.0
 01/01  13:00:00,5.0,19.78261726239878,8.2071302133703,17.721531260359207,57.23849196626674,1387.082352021549,1387.082352021549,0.0,0.0,0.0,0.0,1842.8008714430416,554.593837950337,30.560813946000433,119.19255847231413,0.0,0.0
 01/01  14:00:00,6.1,19.91677739461001,9.652485321432762,17.671332044705192,33.81639636925767,1027.7579319387805,1027.7579319387805,0.0,0.0,0.0,0.0,1359.0414122141508,375.908345849112,0.0,152.36586607403964,0.0,0.0
 01/01  15:00:00,6.1,19.721034635557803,10.252060468391534,17.625883563278453,22.269180040710232,671.4546219868935,671.4546219868935,0.0,0.0,0.0,0.0,886.2999885950919,248.17680663887327,0.0,168.63139724004245,0.0,0.0
 01/01  16:00:00,5.6,19.68707327324576,9.80534577710555,17.590874905117445,22.8073271266901,708.0667514170473,708.0667514170473,0.0,0.0,0.0,0.0,897.4385670195542,251.9204400760585,0.0,167.87335755759023,0.0,0.0
 01/01  17:00:00,5.0,19.801350782155552,8.941196623620744,17.564999735580006,24.33530537761429,613.5926512289279,613.5926512289279,0.0,0.0,0.0,0.0,787.8962047957046,243.19434787668328,7.884912073322031,165.67583821184272,0.0,0.0
