Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.9,954.9185136085223,292.0078383568469,23.79853008917418,154.43778063067566,32.017649074639124,0.0,18.267007109687565,4.353009658740943,19.267873838426734,708.73838516252,708.73838516252,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,3.9,1632.7862020770785,486.72179395302476,39.94277019435568,123.56345429024458,53.71403590641279,0.0,18.606615631365973,4.433316777481947,18.93226527533347,1226.5834008619258,1226.5834008619258,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,2.8,2096.8349764874897,633.7006041263322,48.28661986062731,100.83577097602907,69.59414829205622,0.0,18.47631050174946,4.180051582751962,18.78823827916975,1556.0504392754556,1556.0504392754556,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,2.8,2429.792271879737,725.6073113561972,55.41799212974713,86.15004368734678,79.90120916628501,0.0,18.60014634662575,4.037525833966099,18.616604423198876,1799.4060175902814,1799.4060175902814,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,2.2,2489.6198434877247,751.875865539404,60.069906129482604,81.13049740452081,83.31905486569524,0.0,18.587802829567593,3.8790149417857553,18.47448578891272,1827.6327389983508,1827.6327389983508,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.7,3787.738836738009,1114.6105543452886,83.92016150535925,24.004718815302105,123.31937341777333,0.0,19.350688413260315,4.385788406678585,18.30943909458707,2761.8512230293218,2761.8512230293218,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.7,3557.203817343751,1072.225841673956,79.52706085470449,33.18901477735079,116.88085213191785,0.0,19.64096246946538,4.422804855011597,18.222618674807187,2572.051976524426,2572.051976524426,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,2.2,3109.6900259535428,946.9963096332605,66.05626524366471,54.87657970270896,101.80077822882042,0.0,19.725342985299115,4.725022791261579,18.12035202378191,2237.0578757157364,2237.0578757157364,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,2.8,4288.273220769789,1257.353337990438,93.68969848811518,7.30318566335495,135.23319599261052,85.44000000000005,19.65805988651669,6.322450794325282,18.01202060565717,2041.2396514861357,2041.2396514861357,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,3.9,4320.103909866026,1243.3777352952955,81.63703423197325,13.229999249767399,131.36055745199036,85.44000000000005,19.687755371833696,7.611776803360612,17.92616528117493,1982.6714145916249,1982.6714145916249,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,3.9,3709.3438148624023,1084.7715545322408,60.950316216221935,39.230428485176994,113.13940693408928,85.44000000000005,19.72559127267068,8.184135011863358,17.849599378290335,1618.7507768480027,1618.7507768480027,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,4.4,3402.578503297129,995.8877381727923,52.85699820642596,53.78941464031672,102.9662324912412,72.52924757293424,19.705407871713135,8.380629950625384,17.781016438781585,1717.959379277123,1717.959379277123,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,5.0,1849.9103365291062,556.6465475433964,30.667636717474974,118.48099157638465,57.43855812597346,0.0,19.779572997996613,8.337254916802872,17.72152904595159,1413.65395583375,1413.65395583375,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,6.1,1309.697471588421,362.5301291329199,0.0,153.8153000163999,32.61482406377897,0.0,19.884846823436174,9.695023472236977,17.66989737618136,1021.0515776755838,1021.0515776755838,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,6.1,841.6850666172028,235.6924992653733,0.0,170.03354743492486,21.161782550770173,0.0,19.687077603469252,10.259797343017281,17.62452715906417,663.2168756283718,663.2168756283718,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,5.6,889.1931158741434,249.42331648404416,0.0,168.0026487658393,22.59596752560185,0.0,19.687886587633077,9.813919637924744,17.589629911425778,696.9966028702038,696.9966028702038,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,5.0,768.0197760155189,237.15188589301133,7.688927860630955,166.35186401680923,23.730436714739685,0.0,19.798081688638252,8.943083540365176,17.56402076505952,600.5264872059124,600.5264872059124,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,4.4,2129.6314190651933,643.7854614399841,29.434029644137247,106.56021191205821,65.82826298520838,85.44000000000005,19.723043108569087,8.244106041312342,17.542536974898873,532.4623963870217,532.4623963870217,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,4.4,2262.1555337102345,680.4311482431863,31.149356097944107,101.09620534611527,69.67774342396552,85.44000000000005,19.70667043665871,7.305744207033706,17.514804546402118,474.2630301759182,474.2630301759182,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,3.9,2329.6386673237935,704.8055947613014,29.6169009604529,97.58931954221497,72.13308054686934,85.44000000000005,19.658045180897112,6.6169613516498815,17.481317305849355,505.8704000427606,505.8704000427606,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,3.3,2228.275006281032,681.4347671162428,32.26186381862068,99.62111232728881,70.63937783583292,85.44000000000005,19.688963459348873,6.180852029408411,17.44226928544779,585.8652576749819,585.8652576749819,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,2.8,2004.5541968904938,622.0402854639227,36.73392785122242,106.53644320207691,65.67714279365195,76.86837438412698,19.756886352963456,5.723919945125184,17.400909600877327,650.5584065214443,650.5584065214443,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,3.3,53.832289096005475,17.45616337393601,0.9432291777979536,197.41016850723418,1.8216208269167402,0.0,18.784749910432247,4.426076873064148,17.35393817636065,31.321699714771967,31.321699714771967,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,2.8,539.3379355703407,170.20162785690647,10.229949519267656,173.97851857329582,18.285728285408226,0.0,18.550972316822005,4.199347884835822,17.296149104790235,399.6718878704032,399.6718878704032,0.0,0.0,0.0,0.0,0.0,0.0
 01/13  01:00:00,1.1,0.0,0.0,0.0,200.0,0.0,0.0,19.952556199918508,-1.3384457827567802,19.48108551589777,-958.9422158410271,-958.9422158410271,0.0,0.0,0.0,0.0,0.0,0.0
