Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.9,20.67914762969413,8.218000085987276,19.8154283277119,0.0,-1080.3248598333448,-1080.3248598333448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,3.3,20.30503319755796,5.656508551600139,19.58301047979101,0.0,-1566.1158104784627,-1566.1158104784627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,3.3,19.638093453262837,4.2349248638030765,19.456600107089923,0.0,-841.2017978156309,-841.2017978156309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,2.2,18.879394813266895,3.144462634726744,19.307029561551406,0.0,-218.21745902201656,-218.21745902201656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,1.7,18.584047929964147,2.123432476347947,19.16132233880104,6.315805691535333,158.213673187347,158.213673187347,0.0,0.0,0.0,0.0,189.08886132339595,61.49729187017687,1.2492882903762175,191.48457275341198,0.0,0.0
 01/01  06:00:00,2.2,19.35132636169198,2.4215205378569626,18.978844965029857,48.085394392722506,1209.7201293117869,1209.7201293117869,0.0,0.0,0.0,0.0,1515.289956875778,469.54934192340977,7.902577973011563,135.20343524557666,0.0,0.0
 01/01  07:00:00,2.2,19.60331960204156,2.5205423888030105,18.85323435029371,55.174801203358406,1308.738140309284,1308.738140309284,0.0,0.0,0.0,0.0,1741.9288784511225,546.8577273473531,9.067735794877926,125.64981558987394,0.0,0.0
 01/01  08:00:00,3.3,19.801334890957918,3.4121563127951284,18.73214460235326,46.31964259236476,1074.5609915718178,1074.5609915718178,0.0,0.0,0.0,0.0,1485.5841957903292,463.63352775015744,9.240128416607686,137.58970677370897,0.0,0.0
 01/01  09:00:00,6.1,19.94656937875102,5.843202603544863,18.627959773342283,23.48489271665414,665.9255763542533,665.9255763542533,0.0,0.0,0.0,0.0,935.0659630417314,261.41128804746694,0.0,168.40328023818503,0.0,0.0
 01/01  10:00:00,7.8,19.93208078902977,9.032343769751613,18.52874271646271,3.7220922900038325,69.48189299646947,69.48189299646947,0.0,0.0,0.0,0.0,152.28578659346033,42.30906717248164,0.0,194.99227403617374,0.0,0.0
 01/01  11:00:00,10.0,20.329666195099065,12.46539117905255,18.449515354584037,0.0,-560.1138995262136,-560.1138995262136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,12.8,21.186188217495477,16.550376499246678,18.400213489331332,0.0,-999.5463004913872,-999.5463004913872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,12.8,21.87605373131106,18.794794575286865,18.380227625294467,0.0,-1531.8657433573844,-1531.8657433573844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,14.0,22.49261790858009,19.957100638954415,18.388520885158123,0.0,-1842.7249653677281,-1842.7249653677281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
