Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,18.330058992822792,1.270225293102346,19.208313898532307,52.78891912847377,1209.1738581336904,1209.1738581336904,0.0,0.0,0.0,0.0,1569.1789519883646,517.6123008635384,15.811451683374623,133.64350354810352,0.0,0.0
 01/01  02:00:00,-0.6,18.5403629681382,1.5346683130965686,18.89918989096352,70.46342343909551,1653.7130858448127,1653.7130858448127,0.0,0.0,0.0,0.0,2164.354175476463,693.0873958693221,18.581206363185842,111.51001443779087,0.0,0.0
 01/01  03:00:00,-1.0,18.53806822312545,1.2249761787000772,18.730229108512816,81.65134227260111,1865.6788962737173,1865.6788962737173,0.0,0.0,0.0,0.0,2483.428410859067,799.2978195802121,25.09939833520024,97.35687032700271,0.0,0.0
 01/01  04:00:00,-1.1,18.541288573014345,1.1372418718614052,18.548739247628696,91.28689682885705,2067.474527853543,2067.474527853543,0.0,0.0,0.0,0.0,2778.690321457116,889.865681842181,30.41385232194366,85.18385230877581,0.0,0.0
 01/01  05:00:00,-1.1,18.59037609868399,1.3451368024545363,18.396218998900213,93.14363965526002,2089.4907986524395,2089.4907986524395,0.0,0.0,0.0,0.0,2839.1307843171467,907.8886516200546,31.0382705367302,82.8484177291644,0.0,0.0
 01/01  06:00:00,-1.1,19.295891546953232,1.8665753753958765,18.219478380409335,128.23755942765658,3014.370971149043,3014.370971149043,0.0,0.0,0.0,0.0,4009.6172891849587,1250.101515548519,43.333956125213085,38.695567619178426,0.0,0.0
 01/01  07:00:00,-1.1,19.58323219038111,2.148815442287821,18.112510710967776,129.59080714244027,2923.76910139579,2923.76910139579,0.0,0.0,0.0,0.0,4003.939588482078,1270.2608247498956,52.45335722080645,36.796885225274956,0.0,0.0
 01/01  08:00:00,-1.7,19.681283410585458,2.141827462078789,17.986165981211506,127.90612631199933,2749.8677773309137,2749.8677773309137,0.0,0.0,0.0,0.0,3824.9230574468793,1240.4812596345214,63.91039071821198,38.51665576678889,0.0,0.0
 01/01  09:00:00,-1.1,19.75783852416567,2.9930322630321937,17.87953839481208,116.86864352972714,2507.3643529119163,2507.3643529119163,0.0,0.0,0.0,0.0,3515.0925666890726,1138.6335450409154,59.90363862185072,52.529117745672124,0.0,0.0
 01/01  10:00:00,0.6,19.789720605283254,3.7560012723516,17.7810642095593,100.48955051510654,2288.305460091293,2288.305460091293,0.0,0.0,0.0,0.0,3172.053964007968,1006.4634951299282,41.05242746442846,73.64632335454367,0.0,0.0
 01/01  11:00:00,1.1,19.805751007865485,5.702863150681196,17.679691649608955,83.26926043246445,1911.01612982378,1911.01612982378,0.0,0.0,0.0,0.0,2639.0167904220298,840.4803129147062,31.99560885423963,95.37896110594362,0.0,0.0
 01/01  12:00:00,1.7,19.743544806175283,6.29933013680002,17.58516789766051,75.97685656818852,1830.9448843613536,1830.9448843613536,0.0,0.0,0.0,0.0,2449.0170330662595,775.3393985534141,25.814624497774673,104.63640025826587,0.0,0.0
 01/01  13:00:00,1.7,19.75608333466205,6.086022543611517,17.49562283329603,74.40612333039637,1804.500356728282,1804.500356728282,0.0,0.0,0.0,0.0,2375.6308930801665,752.2219332208098,29.831506662858185,106.54516349041916,0.0,0.0
 01/01  14:00:00,0.6,19.746893712403992,7.645014262570001,17.412361924001814,76.9960489527752,1720.335597423502,1720.335597423502,0.0,0.0,0.0,0.0,2279.368013026076,738.7861638673314,56.334092253183364,102.74018280304912,0.0,0.0
 01/01  15:00:00,1.0,19.72881107011981,7.132206503881859,17.33820377942868,71.71394545193016,1631.0004023237489,1631.0004023237489,0.0,0.0,0.0,0.0,2134.6001367718545,688.979522872617,53.14876505634516,109.46302318904108,0.0,0.0
 01/01  16:00:00,0.6,19.718283000099262,6.246037725882391,17.26492754660252,72.03073703631524,1606.4260460929127,1606.4260460929127,0.0,0.0,0.0,0.0,2103.634485562241,684.3971500769142,57.59606240816794,108.91997433871028,0.0,0.0
