Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,1601.6545759391927,528.6595406760918,16.128908025619708,132.02463717334035,53.818669010295395,0.0,18.41783892113905,1.540395650526817,19.20669195878074,1172.9626734678513,1172.9626734678513,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-0.6,2154.614562199482,691.465815885888,18.505580448914802,111.49704000929961,70.13736141216043,0.0,18.607517242512323,1.7601362872539648,18.900388255639093,1600.5214704652935,1600.5214704652935,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.0,2425.1625001943535,782.7019154805815,24.545268170466194,99.19798293891692,79.80400697531068,0.0,18.582389542903265,1.3474341641318162,18.73285818474975,1792.2901998396665,1792.2901998396665,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,2733.0033771026597,876.8822766410507,29.943421400761377,86.48119065223672,89.82465017191831,0.0,18.586248514990768,1.2083702091027457,18.550726391485046,1991.1651816363792,1991.1651816363792,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.1,2759.024351300577,884.6491426933042,30.216089875181392,85.46880962293608,90.62563007280417,0.0,18.611317336297663,1.3718205524571983,18.399535574167256,2017.6793217172744,2017.6793217172744,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-1.1,4035.5389138559303,1257.6291718881776,43.57685817812732,37.10462880865353,128.88435815627375,0.0,19.360463762482695,1.921008858085849,18.219774258277614,2943.706527336346,2943.706527336346,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-1.1,3950.1448058835667,1256.2252259114841,51.8074077260889,38.124217099168334,127.92323418155283,0.0,19.620011250211924,2.1622490847140097,18.11695634749225,2858.6715558969754,2858.6715558969754,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-1.7,3739.089702565761,1215.7334070178786,62.58914764703275,41.185494729697346,125.19176850232401,0.0,19.69535099623547,2.131733026279837,17.98951125468728,2680.133676883768,2680.133676883768,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-1.1,4840.842459986826,1520.9865618913352,80.01288240378148,2.190175307218367,156.01353978446045,85.44000000000007,19.676552209525898,3.6658878673511466,17.862517760670276,2448.0557150742097,2448.0557150742097,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,0.6,4790.282758740236,1463.9148856464349,59.821902549088165,15.09692710499031,146.352791118636,85.44000000000007,19.70292132068102,4.507221261922415,17.766942294067665,2332.895367569661,2332.895367569661,0.0,0.0,0.0,0.0,0.0,0.0
