Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.3,19.4564992126917,4.136976879684203,19.375807614337855,14.714574887566055,501.2207651281042,501.2207651281042,0.0,0.0,0.0,0.0,622.2271992321583,165.31702305516734,0.0,180.4578155208722,0.0,0.0
 01/01  02:00:00,7.6,18.784575067179805,5.027472903742366,19.084733650013437,0.0,-138.85946235469783,-138.85946235469783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,5.9,18.619171707388954,5.317332168503026,18.92891931916426,9.057809095893361,271.4006346649048,271.4006346649048,0.0,0.0,0.0,0.0,358.9993292283004,99.41694972714612,0.0,187.97047297110538,0.0,0.0
 01/01  04:00:00,5.5,18.56364869379069,5.216736467293934,18.76439868451372,16.834810106926657,533.9849380455435,533.9849380455435,0.0,0.0,0.0,0.0,664.8152921086238,183.39721239229883,0.0,177.64196605784076,0.0,0.0
 01/01  05:00:00,5.2,18.577203169070867,5.024791273370679,18.624166906725762,22.063670421186906,692.5320961453308,692.5320961453308,0.0,0.0,0.0,0.0,868.2866350482548,239.3230039101208,0.0,170.69760282222938,0.0,0.0
 01/01  06:00:00,4.8,19.35259177814787,5.412156374215011,18.46798562931353,66.9013564360349,1573.8688552662607,1573.8688552662607,0.0,0.0,0.0,0.0,1978.933801590818,581.4894132326303,76.13427714269567,110.64512358902454,0.0,0.0
 01/01  07:00:00,4.5,19.612114569001687,5.253466567881756,18.368673959868687,71.00180889694379,1592.5158773893745,1592.5158773893745,0.0,0.0,0.0,0.0,2090.608872376804,626.9181524688315,79.43502963758174,105.10809650789015,0.0,0.0
 01/01  08:00:00,4.7,19.718829695492353,5.131501188523408,18.26865239576353,64.75739386387153,1411.21586586167,1411.21586586167,0.0,0.0,0.0,0.0,1900.7909209425522,574.2183707148039,73.28723980281518,113.4883402667477,0.0,0.0
 01/01  09:00:00,4.6,19.72497247124983,5.97048244801074,18.174058501851082,61.83980466066162,1334.9098050162447,1334.9098050162447,0.0,0.0,0.0,0.0,1807.7148104517823,549.6442700926058,69.57012529839453,117.36895866577031,0.0,0.0
 01/01  10:00:00,9.9,19.950631568371502,8.554116821127408,18.10083273434056,26.409624697975847,866.5373627010158,866.5373627010158,0.0,0.0,0.0,0.0,1166.137064208469,308.38356218663625,0.0,164.92581254872104,0.0,0.0
 01/01  11:00:00,13.3,19.824525685328485,11.91703881613091,18.022790558348483,11.16353208208962,386.54567987478003,386.54567987478003,0.0,0.0,0.0,0.0,527.9785816113464,136.8562256046929,0.0,0.0,0.0,0.0
 01/01  12:00:00,14.1,19.586875819045158,14.050939918577756,17.959061968122946,6.671683635674232,248.82258723545965,248.82258723545965,0.0,0.0,0.0,0.0,320.5584686397369,82.5679607261587,0.0,0.0,0.0,0.0
 01/01  13:00:00,16.4,19.88809398897913,16.327781548331853,17.912724960797686,4.017983830659312,163.5857955455649,163.5857955455649,0.0,0.0,0.0,0.0,203.25673046295194,51.358344177495816,0.0,0.0,0.0,0.0
 01/01  14:00:00,17.3,19.907367268091445,17.49850612072383,17.88030968214045,0.0,-83.21210330515714,-83.21210330515714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
