Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.3,841.7132627033498,222.4538934017664,0.0,173.55338334253756,19.815678891667968,0.0,19.498919705277,4.414379979179337,19.35572513024975,648.8858241207063,648.8858241207063,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,7.6,75.40413699421102,20.838586232454563,0.0,197.5470743791014,1.8379056602371397,0.0,18.615023162415955,5.146152515331336,19.061308568825392,39.65602843863962,39.65602843863962,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.9,438.81808308583805,120.85784018014891,0.0,185.26224178747916,11.042572594629082,0.0,18.474780554869813,5.394400138018933,18.907682438167953,344.8479624046131,344.8479624046131,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.5,903.5312600439596,247.2907507323009,0.0,169.63155160788205,22.754193081503242,0.0,18.58344197809937,5.356743380522679,18.74149469436089,697.0289720195669,697.0289720195669,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,5.2,1042.6334201785971,286.5448026880546,0.0,164.76838449009568,26.39802243218053,0.0,18.592658977031554,5.145623029209908,18.605277408784257,817.6370093759342,817.6370093759342,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,4.8,2237.124717926847,653.1995479779273,85.5023513075979,99.19442592869278,75.10438544493908,0.0,19.423915331903935,5.587046055770371,18.44766123354122,1686.6901394462166,1686.6901394462166,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,4.5,2193.5631147884055,657.014092333301,83.13749167480321,100.23401990707508,74.28242870672418,0.0,19.652689190785278,5.364502712152875,18.355680860672955,1644.830024408604,1644.830024408604,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,4.7,1925.6815196966072,581.7895334296521,74.19719389013109,112.01630051396852,65.53611678079344,0.0,19.735165895651008,5.204177407624833,18.25643607573984,1421.6849715282478,1421.6849715282478,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,4.6,3278.8202650815724,961.1184688946913,121.6432422825586,54.86341934451744,108.08513069259116,85.44000000000005,19.673539311273338,6.798808413194418,18.151791037011684,1331.3103937477408,1331.3103937477408,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,9.9,2574.2866887232226,664.2703956285833,0.0,124.02378437534118,56.92676351466507,85.44000000000005,19.774780137755315,9.283970960713338,18.092457887747162,835.0899703147279,835.0899703147279,0.0,0.0,0.0,0.0,0.0,0.0
