Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-8.3,3480.177554934903,1252.7434023434466,40.122670045748194,15.383157176082207,140.9092209070626,0.0,18.65663265005096,-5.5851860527538975,18.46419100925604,2098.6435821767027,2098.6435821767027,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-8.3,3852.0985957517255,1354.2553741863892,43.48680816433646,0.0,154.40130000892867,0.0,18.601374768048053,-5.2411798182613545,18.022645754993672,2574.9361752963887,2574.9361752963887,0.0,0.0,0.0,0.0,277.35283230359073,277.35283230359073
 01/01  03:00:00,-8.9,3771.668475397239,1340.6176069440153,47.027425897267435,0.0,154.40130000892867,0.0,18.60466830453172,-5.131889992972575,17.810611051803857,2971.4551237230917,2971.4551237230917,0.0,0.0,0.0,0.0,820.5098052948997,820.5098052948997
 01/01  04:00:00,-8.9,3771.9258441928523,1340.4480138349265,47.00545007850592,0.0,154.40130000892867,0.0,18.606583110912435,-5.219950472071344,17.563600605939065,3213.193626801987,3213.193626801987,0.0,0.0,0.0,0.0,1115.6195370964192,1115.6195370964192
 01/01  05:00:00,-8.9,3795.217964982585,1348.3444692320109,40.724210721540906,0.0,154.40130000892867,0.0,18.606367636458142,-5.171526804881635,17.348526260701657,3272.0000786605706,3272.0000786605706,0.0,0.0,0.0,0.0,1167.9649850641035,1167.9649850641035
 01/01  06:00:00,-8.9,3795.4908671212524,1348.0384330842821,40.724210721540906,0.0,154.40130000892867,0.0,19.404570226873776,-5.033258124439793,17.1405053990111,4309.835833940499,4309.835833940499,0.0,0.0,0.0,0.0,2433.6322277084123,2433.6322277084123
 01/01  07:00:00,-10.0,3628.4512278884395,1345.978389888176,47.453189033059225,0.0,154.40130000892867,0.0,19.6310968310153,-5.455351366654133,16.968326037626134,4305.994178815192,4305.994178815192,0.0,0.0,0.0,0.0,2644.162977843594,2644.162977843594
 01/01  08:00:00,-9.4,3705.3240183837843,1364.01387879543,43.489498213965135,0.0,154.40130000892867,0.0,19.697172673146387,-4.945267886147929,16.790773479872986,3946.3346488621282,3946.3346488621282,0.0,0.0,0.0,0.0,2185.346772785365,2185.346772785365
 01/01  09:00:00,-6.7,4039.2425856800796,1405.5573443852431,38.060830118986246,0.0,154.40130000892867,85.44000000000004,19.7091415922983,-2.6486645769708517,16.63624691196967,2793.4366143120915,2793.4366143120915,0.0,0.0,0.0,0.0,1544.7839780697263,1544.7839780697263
 01/01  10:00:00,-5.0,4265.853617978512,1433.0626764046342,33.05582720621342,0.0,154.40130000892867,85.44000000000004,19.696487959525026,0.3116686041251718,16.490477746694374,1951.4694372447466,1951.4694372447466,0.0,0.0,0.0,0.0,381.1968583033695,381.1968583033695
