Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-0.6,18.540838395178707,2.6846891703747247,18.683870621597833,29.283296049501416,719.1831704235474,719.1831704235474,0.0,0.0,0.0,0.0,856.5876627745015,287.99676001175084,0.014106441870790631,171.55667832262768,0.0,0.0
 01/01  02:00:00,0.6,18.17813471628983,1.716289959271494,18.304665589820726,43.03685413796033,1065.3164860268616,1065.3164860268616,0.0,0.0,0.0,0.0,1313.7614250052434,423.31254461439795,0.020731820452592208,158.19769127524455,0.0,0.0
 01/01  03:00:00,-0.6,18.778729302380743,0.9489538499857039,18.09898592159354,66.89906866690865,1610.3585886756491,1610.3585886756491,0.0,0.0,0.0,0.0,2006.8323269221053,646.1911147757955,0.03222682955570745,135.01989459206825,0.0,0.0
 01/01  04:00:00,-1.1,18.599596647165633,0.37522110785892515,17.89047106529794,74.38987991342078,1715.1537255378498,1715.1537255378498,0.0,0.0,0.0,0.0,2202.2986144814076,723.5079725609678,0.38533997150903093,127.7381201285059,0.0,0.0
 01/01  05:00:00,-1.1,18.55021873574049,0.16848061100868197,17.695416285710827,80.80794403596475,1827.7770958961319,1827.7770958961319,0.0,0.0,0.0,0.0,2371.351460554586,773.7988634585255,7.922529300664146,121.37795436708004,0.0,0.0
 01/01  06:00:00,0.0,19.373319072024195,1.2115523697836041,17.5029997280203,116.16823548031218,2772.5335996264785,2772.5335996264785,0.0,0.0,0.0,0.0,3543.602055666686,1109.7124186920614,20.656280310591637,86.87057427737473,0.0,0.0
 01/01  07:00:00,0.6,19.72309119586443,1.8247707364250592,17.37005200786173,110.39407535721945,2565.31251403203,2565.31251403203,0.0,0.0,0.0,0.0,3363.338251658238,1067.296268683051,27.240447124655006,92.41847268683769,0.0,0.0
 01/01  08:00:00,1.7,19.76011579841041,2.4198406364341354,17.23131101110918,93.64122139482606,2179.8404720194794,2179.8404720194794,0.0,0.0,0.0,0.0,2887.7006221961515,914.7923784886272,26.986905313534752,108.75858325812551,0.0,0.0
 01/01  09:00:00,4.4,19.88172546564851,3.528299305814716,17.106754013415998,75.40780636427965,1860.6931409098506,1860.6931409098506,0.0,0.0,0.0,0.0,2448.578140132164,748.5416821596797,26.103763159055887,126.62227968616446,0.0,0.0
 01/01  10:00:00,6.7,19.89516135031332,5.477625480283517,16.986640118328264,40.535534134148946,1258.633780827644,1258.633780827644,0.0,0.0,0.0,0.0,1645.28932077888,454.5735141147907,0.0,160.62750426573683,0.0,0.0
 01/01  11:00:00,7.8,19.738123398985312,7.806685672258419,16.877238435499798,29.27343006265641,951.1696132713369,951.1696132713369,0.0,0.0,0.0,0.0,1213.7593758210362,332.29003949550537,0.0,171.56647803246247,0.0,0.0
 01/01  12:00:00,10.6,19.44289586558496,11.011752823319156,16.78405029712622,14.749199331687901,507.990015366664,507.990015366664,0.0,0.0,0.0,0.0,650.1510412612124,172.55958874464585,0.0,0.0,0.0,0.0
 01/01  13:00:00,10.6,19.897946044299385,12.553179159279988,16.71587976452847,11.762932935311404,425.250868684192,425.250868684192,0.0,0.0,0.0,0.0,518.3084872218752,136.9013566634516,0.0,0.0,0.0,0.0
 01/01  14:00:00,10.0,19.66847935353663,12.473681373066327,16.669348107179275,2.9547717382616736,95.67201202869182,95.67201202869182,0.0,0.0,0.0,0.0,127.48450615663995,34.40805540147436,0.0,0.0,0.0,0.0
 01/01  15:00:00,10.6,19.66752654952405,12.76088316564915,16.64610696195257,4.899866698755411,181.37143502695108,181.37143502695108,0.0,0.0,0.0,0.0,214.91596682001742,57.248625867737275,0.0,0.0,0.0,0.0
 01/01  16:00:00,10.6,19.906638535917615,12.36189045126698,16.63593608759534,6.85114417420699,255.9718749620315,255.9718749620315,0.0,0.0,0.0,0.0,300.8186644946457,80.04429263676163,0.0,0.0,0.0,0.0
 01/01  17:00:00,10.0,19.71724462929156,11.083390695473527,16.6227304178948,2.458512682078133,84.58359229470807,84.58359229470807,0.0,0.0,0.0,0.0,106.04267446036064,28.63201448428516,0.0,0.0,0.0,0.0
 01/01  18:00:00,8.9,19.94339859100006,9.671851499365333,16.608581581664826,2.3677954726766934,82.35719349111605,82.35719349111605,0.0,0.0,0.0,0.0,99.50334223014458,27.12206959015097,0.0,197.70014089763694,0.0,0.0
 01/01  19:00:00,8.3,20.216418600462895,7.8144395304126055,16.587181777701243,0.0,-150.80223508044674,-150.80223508044674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,8.3,20.43782956089196,5.616069893484933,16.56049588524198,0.0,-384.3187875478552,-384.3187875478552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,8.9,20.601126919704356,4.5159080889542835,16.527579675568145,0.0,-526.5450585484796,-526.5450585484796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  22:00:00,7.2,20.27600617228829,3.6382051121611,16.489772850166695,0.0,-354.71051777481443,-354.71051777481443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  23:00:00,7.8,19.679010346856945,4.761904492458865,16.44638199381715,0.0,-597.820061262144,-597.820061262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,6.7,18.78710236607255,5.17838185384352,16.397674593745496,0.0,-80.5310699917618,-80.5310699917618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 06/29  01:00:00,30.6,24.410025525385482,24.357843484480476,21.25231994844005,34.64047703923732,-6266.136562695738,-6266.136562695738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  02:00:00,29.4,24.610792578114296,26.196367426613524,21.137790889553216,32.13840175530432,-5929.604609691452,-5929.604609691452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  03:00:00,27.2,24.250976592740173,22.865657702660283,21.033773383305586,30.34531339817388,-5627.547768629847,-5627.547768629847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  04:00:00,26.1,24.44906601469235,23.744964504066548,20.928427573879034,21.91502054801723,-5427.789339738332,-5427.789339738332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  05:00:00,26.1,24.44517444406227,23.667943332775,20.838779385523328,21.222818915973352,-4956.0731747421105,-4956.0731747421105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  06:00:00,30.0,23.46563498920385,21.95000116631419,20.791758514435287,47.544135844769116,-4294.958883579611,-4294.958883579611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  07:00:00,35.6,23.590443323532682,28.99810027558004,20.745029334232814,69.3921711448008,-5671.928474465985,-5671.928474465985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  08:00:00,37.8,23.370414427151836,32.772718820855005,20.73377330650161,95.94874509405739,-6608.58496177234,-6608.58496177234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  09:00:00,38.9,23.376144544761402,37.63163281232244,20.720105468110287,110.65456608243302,-7278.816781321122,-7278.816781321122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  10:00:00,40.6,23.46464056830373,42.98404931447531,20.76607654616967,132.02701266391898,-7966.158598297661,-7966.158598297661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  11:00:00,40.6,23.45448507655639,46.52024183974033,20.828022767582688,150.8852831650636,-8521.778844433902,-8521.778844433902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  12:00:00,42.2,23.42402806902616,52.38008806487253,20.923759047100386,164.39624991214887,-8820.672250845699,-8820.672250845699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  13:00:00,43.3,23.497830570417744,51.59780747437711,21.05179294535627,179.73459421015423,-9092.91612184636,-9092.91612184636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  14:00:00,42.8,23.447281478268355,50.60318294270904,21.19151957373085,197.13670697105024,-9684.914736842944,-9684.914736842944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  15:00:00,44.0,23.57006622389327,52.112580607619165,21.33480244860069,205.90787237738473,-10259.779364377886,-10259.779364377886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  16:00:00,38.0,24.131391626373965,42.75131959380988,21.467547284116982,205.90787237738473,-11916.381979058224,-11916.381979058224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  17:00:00,38.3,23.69931397601414,40.1450372730925,21.65330482141408,205.90787237738473,-11029.740601178259,-11029.740601178259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  18:00:00,38.0,23.387712016575104,38.53900000950737,21.73586223704501,182.77538692404087,-9885.792986461805,-9885.792986461805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  19:00:00,35.0,23.2952471338256,36.04076254666053,21.825968091896492,168.1286448955755,-9518.483566239258,-9518.483566239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  20:00:00,33.9,23.290056905782393,33.44245633635163,21.910968287235832,154.2901871400692,-9129.75514997619,-9129.75514997619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  21:00:00,32.8,23.297956699737686,31.27571641938572,21.965719084349363,131.59687470301316,-8425.360679206991,-8425.360679206991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  22:00:00,32.8,23.303947399736046,30.06090163681333,22.001614243353426,111.35263957986788,-7630.642797246906,-7630.642797246906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  23:00:00,32.8,24.231264325915138,29.826394789469237,21.98695384044858,60.41389837847751,-8123.560575531388,-8123.560575531388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/29  24:00:00,26.7,24.229328590312964,25.888520358987154,21.972929900037474,43.901568897426266,-6726.832267284135,-6726.832267284135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/30  01:00:00,26.7,24.40411363470176,24.484584317557538,21.944925164377892,32.13519584495992,-6161.223862580175,-6161.223862580175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/30  02:00:00,26.7,24.419229274039257,21.775837090770697,21.905459979467324,27.076183372089925,-5596.701747497378,-5596.701747497378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/30  03:00:00,26.7,24.466332502572293,22.913734250011288,21.852498217202296,23.587312718231924,-5345.148482584233,-5345.148482584233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/30  04:00:00,28.3,24.593248253598606,25.3059389806301,21.79682043922012,23.67143206055803,-5191.985367680292,-5191.985367680292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/30  05:00:00,28.3,24.468431760913273,25.873888144434996,21.73682394687913,27.841815308588096,-5206.354547597541,-5206.354547597541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 06/30  06:00:00,30.0,23.374696949556686,23.25647926770019,21.697751278303834,54.19272583146309,-4630.392070819653,-4630.392070819653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
