Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-0.6,747.4744138719427,249.0507529719483,0.012306340086989161,175.08645687126054,25.546499214632707,0.0,17.858887443052573,2.6343537507745696,18.667683077110535,600.754505832524,600.754505832524,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.6,1618.4656883590983,510.0437648337987,0.025319832880379742,148.7413200010022,52.561036765646456,0.0,18.048617273079916,1.7749099235410633,18.268645162037732,1272.1198308585572,1272.1198308585572,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-0.6,2628.276864099977,834.097172716697,0.041709794496989513,115.56069824608261,86.58457747313314,0.0,18.6942781010852,1.1649278965690817,18.0625200186238,2058.785826582498,2058.785826582498,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,2604.4663920426365,847.446674825129,0.45214499903887534,114.86920676621357,87.28659367898116,0.0,18.615846109659746,0.5423794206475385,17.8613183479283,2004.644842874004,2004.644842874004,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.1,2652.064932454563,861.1058790734402,8.814107777636378,112.178147073175,89.90182559324089,0.0,18.588627660781555,0.30681811328763015,17.670670002188253,2013.2539390052243,2013.2539390052243,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,0.0,3801.1813193436615,1185.7339241897198,22.055744172975057,78.72007109308181,124.03858130927733,0.0,19.425945992999566,1.3246409116045854,17.482151826097397,2904.9895341259944,2904.9895341259944,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,0.6,3440.271877666988,1091.3309056196854,27.825756951872307,89.66476734739204,112.76599581230862,0.0,19.734996225342364,1.889763373935214,17.35498907185391,2618.513291233916,2618.513291233916,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.7,2899.0379504688894,918.2615609119279,27.083406001058016,108.06392280914254,93.97605110527523,0.0,19.752582530757955,2.4490429123034225,17.21711740869011,2202.7526796096154,2202.7526796096154,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,4.4,3693.828749324159,1105.8267968701243,38.5752130456591,91.12875687829514,111.43498988606947,85.44000000000005,19.79394839366435,4.0647605587085875,17.09353176118728,1870.1566299609894,1870.1566299609894,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,6.7,3098.5811512607465,838.0396899561129,0.0,126.98983154872501,74.86564179470064,85.44000000000005,19.806612071653326,6.161434943138841,16.978730534638565,1317.9614643823552,1317.9614643823552,0.0,0.0,0.0,0.0,0.0,0.0
