Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.3,22.880535991879743,8.745676508811558,21.572881764559323,0.0,-2164.2906816580553,-2164.2906816580553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,8.9,22.479792130959655,7.767039910507152,21.500737463249422,0.0,-2787.643231616308,-2787.643231616308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,7.2,21.897461004139828,6.629239387879228,21.440351232995276,0.0,-2176.490779005473,-2176.490779005473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,7.2,21.377414038450365,5.232609826815442,21.36690600717594,0.0,-1860.3031624185332,-1860.3031624185332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,7.2,20.967587308128564,5.5386114323033855,21.28871922659363,0.0,-1529.997441693822,-1529.997441693822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,7.2,20.736642733969934,5.8765629565966835,21.20751678786789,0.0,-626.0555297110059,-626.0555297110059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  07:00:00,5.0,20.312984650094624,5.206752934026236,21.12626176785383,0.0,-339.30299121541157,-339.30299121541157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  08:00:00,5.6,20.05366405638191,4.309476603134931,21.0438248480891,0.0,-194.34620874657412,-194.34620874657412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  09:00:00,7.8,20.685359523078333,6.220031943450117,20.964320270461226,0.0,-565.935428634888,-565.935428634888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  10:00:00,11.7,22.059191048195068,11.922331190994305,20.89862744648763,0.0,-1620.9033629997703,-1620.9033629997703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,16.1,22.963712347242968,17.326708213096914,20.855405243916515,0.0,-2790.7846493947745,-2790.7846493947745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,16.1,23.308884657098904,19.707653151003136,20.849282159797443,11.849410929387686,-3562.36640719814,-3562.36640719814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,18.3,23.658026436678426,25.984908997476197,20.883150665973375,24.983686723354523,-3712.3028926936076,-3712.3028926936076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,18.9,23.441293701789778,32.67857548175116,20.95927505697367,52.2501789889272,-5024.956784051037,-5024.956784051037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,20.0,23.395768775508568,34.72725167836292,21.054814402227322,76.59326929076687,-6481.527446915907,-6481.527446915907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,19.4,23.350579955608307,30.939649383837658,21.16461519750364,86.25208059379858,-7041.819885136425,-7041.819885136425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,19.4,23.33605509474822,27.452339206193695,21.286011629926612,88.58189403846274,-7279.906260135944,-7279.906260135944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,19.4,23.314274260771917,23.4719096057028,21.396384072594184,63.563578375644276,-6286.528020259331,-6286.528020259331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,15.0,23.24843898074627,19.735615574588014,21.47068418592968,49.963483243048685,-5540.188269245475,-5540.188269245475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,15.6,23.344191409254453,17.25421914489664,21.53218320617259,42.79084612157614,-5220.213023848133,-5220.213023848133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,13.3,23.278830070808638,15.175717643080322,21.561082534806264,35.69666300910085,-4848.735118583863,-4848.735118583863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,13.3,23.35493005162207,13.55130023780192,21.56934908166318,25.431469777615963,-4358.948631733332,-4358.948631733332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,13.3,24.090491038306226,11.701595885354738,21.558033847076388,0.0,-4633.4090622773365,-4633.4090622773365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,13.3,23.91811218119561,10.747602758668874,21.53200673240094,0.0,-2677.7794088241635,-2677.7794088241635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  01:00:00,36.1,24.373386387778528,34.05220088628771,23.241882062204763,92.18224291409949,-8877.9141174853,-8877.9141174853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  02:00:00,35.0,24.401930053767845,33.190124591582276,23.288939497090446,80.95899618281972,-8348.130246236333,-8348.130246236333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  03:00:00,34.4,24.40937611642099,32.327656615920844,23.289353815842194,72.57227424284766,-7930.301020688405,-7930.301020688405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  04:00:00,33.9,24.356883630999555,30.341969177721086,23.290069598603036,63.686456018642986,-7494.00753662167,-7494.00753662167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  05:00:00,33.3,24.409009022391587,28.34464648545472,23.282941186942917,56.475954712771035,-7152.067722568041,-7152.067722568041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  06:00:00,33.3,23.57966405244549,27.089665723859465,23.305096278654332,86.4806097324831,-6074.3515488333105,-6074.3515488333105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  07:00:00,33.3,23.39748343548593,28.65350671614881,23.288734297994385,99.85249694455003,-6850.5756774008405,-6850.5756774008405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  08:00:00,33.9,23.38934430754043,31.893777853595616,23.299354067721627,114.02412318414258,-7405.003612192093,-7405.003612192093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 07/13  09:00:00,35.6,23.386643085126224,38.01382841647359,23.33239058885656,128.25663072172563,-7909.325582660771,-7909.325582660771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
