Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.3,0.0,0.0,0.0,200.0,0.0,0.0,22.78521903400401,8.787921395428457,21.571901728417956,-1735.235349629993,-1735.235349629993,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,22.462461054046855,7.7834250869029065,21.499580430471852,-2822.7984551151512,-2822.7984551151512,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,21.893793585746998,6.644228107482476,21.438925091475458,-2135.0894165412483,-2135.0894165412483,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,21.38343529689014,5.243832679699802,21.365589904590497,-1831.9464523209044,-1831.9464523209044,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.983137258304254,5.546490112891072,21.2872647935256,-1506.9358236767093,-1506.9358236767093,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.76463400145504,5.882563808176041,21.20614013773181,-621.1159317080383,-621.1159317080383,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,20.34522130102331,5.212825880341929,21.124981958446995,-358.3008308098297,-358.3008308098297,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,20.092824227374635,4.315711089815026,21.043095871106807,-217.49111014825212,-217.49111014825212,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,7.8,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.29515293060109,6.224860858767685,20.96326625050621,-585.7236418850207,-585.7236418850207,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,11.7,0.0,0.0,0.0,0.0,0.0,85.44000000000005,19.922588643938266,11.851989794940597,20.89757957050658,-1505.2553229722944,-1505.2553229722944,0.0,0.0,0.0,0.0,0.0,0.0
