Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.0,480.50491209854647,180.63454015162958,2.75484436955945,178.58443141144855,19.12687079293778,0.0,18.656319366716126,0.3671442411209622,19.434507103987972,341.1939716718207,341.1939716718207,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-5.0,1300.771745563426,467.5801249069885,10.14525860526627,142.95862443271704,50.86495438385342,0.0,18.585758212091367,-1.9613101844104655,19.096938011892238,954.9281080068795,954.9281080068795,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-5.6,1693.5712482001438,609.3346860962514,15.019085653010839,124.88515625147127,66.90414273578165,0.0,18.590526854804324,-2.814058370192297,18.907731166663915,1199.1975710265906,1199.1975710265906,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-5.6,2447.573110246478,864.4903560210828,21.30823917577421,93.41027224346084,94.93871929016694,0.0,18.546101225004836,-3.366879382859462,18.682078081776968,1711.2882825091492,1711.2882825091492,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-7.2,3179.6082235167623,1137.417391682819,32.245411452071735,57.07141545162424,127.01506379933076,0.0,18.463955462176376,-3.514477264483058,18.455211760790156,2177.307621595868,2177.307621595868,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-7.8,4572.903116422409,1581.68624846257,44.05234940080537,0.0,179.36056010886352,0.0,19.192096706807785,-3.4952431336902023,18.21645969208549,3457.0374274210153,3457.0374274210153,0.0,0.0,0.0,0.0,424.5589947922699,424.5589947922699
 01/01  07:00:00,-7.2,4655.122982149048,1618.8938855472838,39.00675126931306,0.0,179.36056010886352,0.0,19.549932544297395,-3.446752412569864,18.084828444214885,3546.70170768511,3546.70170768511,0.0,0.0,0.0,0.0,509.46092007987545,509.46092007987545
 01/01  08:00:00,-8.3,4464.952454639743,1603.7086728195827,46.99843662805913,0.0,179.36056010886352,0.0,19.66607762885053,-3.772766331617727,17.909236928413957,3624.2873622209518,3624.2873622209518,0.0,0.0,0.0,0.0,823.3791490062413,823.3791490062413
 01/01  09:00:00,-3.9,4652.870108673716,1552.8814424855289,44.96434345111733,13.711135320107392,165.91508350575876,85.44000000000005,19.715779364477896,-1.4804779110765849,17.799600257883487,2173.76123484038,2173.76123484038,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,-0.6,3225.735558513082,1047.3415646988876,12.056317707198987,80.77166193791435,106.73016341626337,85.44000000000005,19.778765359481653,2.5283015595168514,17.69232915260824,1179.1099599570844,1179.1099599570844,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,2.8,1490.2690563408353,473.46485733740604,0.02219050714618275,148.63396341063,46.06502366215635,85.44000000000005,19.866274075543554,9.845551061998483,17.602313334631496,29.31220409853995,29.31220409853995,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,5.6,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.56104526005391,15.85300029623333,17.530399212828975,-680.2984556940119,-680.2984556940119,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,7.2,0.0,0.0,0.0,200.0,0.0,54.44676673057473,20.23593069887434,20.088187429212066,17.49301039171338,-1036.0554893653534,-1036.0554893653534,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,21.767532357127227,20.21064924767252,17.483691988906568,-1580.7864414296819,-1580.7864414296819,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.63068929437986,18.637671299413878,17.497967549859013,-2178.2747515503324,-2178.2747515503324,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,10.0,0.0,0.0,0.0,0.0,4.603722922984388,0.0,23.319806518648495,16.658885704697205,17.53245138103767,-2903.07802582514,-2903.07802582514,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,8.9,0.0,0.0,0.0,178.62429718584173,19.1697901473402,0.0,23.45966124792758,14.780425194982987,17.623154754167924,-3709.1534733692115,-3709.1534733692115,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,6.1,0.0,0.0,0.0,200.0,0.0,79.1521940912739,22.639895640765527,11.750129379012307,17.671667511318606,-3336.458176985643,-3336.458176985643,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,3.3,0.0,0.0,0.0,200.0,0.0,85.44000000000005,21.757397983010524,7.813311810789551,17.727080137591585,-2837.8022297602984,-2837.8022297602984,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,3.3,0.0,0.0,0.0,200.0,0.0,85.44000000000005,21.190118062454314,5.72075556116813,17.746022055087707,-2492.400239076822,-2492.400239076822,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,3.3,0.0,0.0,0.0,200.0,0.0,85.44000000000005,20.58418787190934,4.5578404105243395,17.731609612588418,-1753.9106758171256,-1753.9106758171256,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,4.4,0.0,0.0,0.0,200.0,0.0,85.44000000000005,20.1906310611917,4.18690806138281,17.695689435024082,-1261.7107218245274,-1261.7107218245274,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,4.4,0.0,0.0,0.0,200.0,0.0,20.599220794913474,19.91790529438697,4.2755064181037605,17.63740804466566,-1326.5159543114041,-1326.5159543114041,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,19.527051327302615,3.593101921380656,17.569617404340597,-706.9028873367733,-706.9028873367733,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  01:00:00,4.4,1298.988922166792,392.8175584096251,47.63905334532568,149.39288083060757,45.106626553411246,0.0,18.90846437150926,4.643857144596834,18.50760045464167,997.56321718255,997.56321718255,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  02:00:00,4.0,1304.6026953407672,400.9891348111548,44.78387290658396,149.1246186761419,45.326738747741416,0.0,18.692418574330233,4.737936235624474,18.134074805665534,994.9134145918324,994.9134145918324,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  03:00:00,3.9,1451.839611279346,443.2873116863371,57.087579082963245,142.27866909633957,51.36416508622476,0.0,18.583440598523268,4.806590387135997,17.932218211101354,1123.3729802886846,1123.3729802886846,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  04:00:00,1.7,1778.506423077009,559.3312622057443,67.62722096789713,126.43435689723694,65.153761985335,0.0,18.634153065627547,4.570558470912437,17.71704704294678,1360.6926471549978,1360.6926471549978,0.0,0.0,0.0,0.0,0.0,0.0
