Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,0.0,19.998714267855398,-0.6290866415999768,19.529601385351363,0.0,-1085.4083100370244,-1085.4083100370244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,0.0,19.18139454788095,-1.2663924451461626,19.261337675484704,0.0,-458.36628547459986,-458.36628547459986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,1.7,18.602163295432735,-0.28714506484217883,19.078400238004,2.8110606603919517,68.26942258018062,68.26942258018062,0.0,0.0,0.0,0.0,83.76321072521586,27.526758410457266,0.5630769915436047,196.73230268720317,0.0,0.0
 01/01  04:00:00,2.2,18.55472470550232,0.5528995494236157,18.876107420128896,22.42185586893727,559.2441314409771,559.2441314409771,0.0,0.0,0.0,0.0,697.3223114854192,220.85600487188552,2.3324815291712278,173.96629517151587,0.0,0.0
 01/01  05:00:00,2.2,18.54779924023293,0.9787414864114407,18.701377155852086,30.60759729571071,742.0775074888634,742.0775074888634,0.0,0.0,0.0,0.0,957.2336780912966,301.14781347679275,3.1840199422674176,164.46195422844357,0.0,0.0
 01/01  06:00:00,-0.6,19.150777855999014,0.14954286529229266,18.481636574152724,83.18455971989715,1906.4454853877432,1906.4454853877432,0.0,0.0,0.0,0.0,2430.317235143446,778.5848300480413,24.607621795085542,103.04333447193379,0.0,0.0
 01/01  07:00:00,-1.7,19.43586382023906,-0.759133340119417,18.318341419815948,108.63736199345362,2334.656879121647,2334.656879121647,0.0,0.0,0.0,0.0,3119.0694309055984,1018.5563183936573,33.36525041420033,73.23907483489516,0.0,0.0
 01/01  08:00:00,-1.1,19.676465211953214,-0.379690669751895,18.189575745231107,97.01635178388075,1973.7894491708412,1973.7894491708412,0.0,0.0,0.0,0.0,2778.129320421184,911.0932397749866,36.17378656804846,86.71483850356464,0.0,0.0
 01/01  09:00:00,2.2,19.92636111986166,2.4387735829753394,18.09443994456534,51.92142745996691,1049.3862378638387,1049.3862378638387,0.0,0.0,0.0,0.0,1580.3952398551223,504.7176471867864,18.043474227642065,139.56714410760642,0.0,0.0
 01/01  10:00:00,3.9,19.94097671734931,6.715438451832197,17.997579888476835,0.0,-8.829448840881014,-8.829448840881014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
