Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,0.0,0.0,0.0,0.0,200.0,0.0,0.0,19.250872270106107,-0.8032591014235425,19.50972505194364,-484.905899240699,-484.905899240699,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.0,113.90332043960676,38.833854781837005,2.007994577705147,195.10553056767031,4.1706660882873265,0.0,18.61156494092868,-1.33856205024436,19.233414615608396,82.6610601093289,82.6610601093289,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.7,829.2855542812727,264.46036088711156,5.471524248756836,168.10998217754468,27.3157643289366,0.0,18.696763309685036,-0.009928250986731101,19.028362997957316,580.7245502730566,580.7245502730566,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,2.2,1025.0659452785637,323.16743916622033,3.4069551065196437,161.8093923577805,32.750623320998045,0.0,18.630263993963656,0.6908830465659523,18.846293273199333,763.3672903290753,763.3672903290753,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,2.2,1401.7524701407035,437.73069379806606,4.621621876308137,148.19346242308205,44.42707535490048,0.0,18.614608515607294,1.196621842269749,18.665196567843953,1032.3716827728313,1032.3716827728313,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-0.6,2889.2018329056723,917.5283059437351,28.963038181280723,85.38946525727333,97.90763001562424,0.0,19.26627973940945,0.4439750332520488,18.44562465124662,2151.5084984471086,2151.5084984471086,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-1.7,3405.459152242765,1107.6958090157523,36.20481001253006,61.8567469736919,117.88257275266302,0.0,19.541101273582477,-0.5077802353078448,18.294628471111956,2462.1877071228337,2462.1877071228337,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-1.1,2831.0386476211775,929.4642474872746,36.82744771092301,84.16946237870539,98.76908945872955,0.0,19.713603358080995,-0.24582490799281706,18.17243110399892,2006.6345371321331,2006.6345371321331,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,2.2,2856.1653990902328,888.6774140564529,31.752854041679175,93.19093432606127,91.37113753761341,85.44000000000005,19.755675213508308,3.1520692171684943,18.061493022555222,1043.098652626648,1043.098652626648,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,3.9,1576.0400960078318,489.9593326303718,7.931945695822043,143.65098559220465,48.32191895028067,85.44000000000005,19.82317931431735,7.518410193944291,17.97073397419942,11.858154489415028,11.858154489415028,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,3.9,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.311790128112925,13.057242088682955,17.90096396163834,-668.2850580923769,-668.2850580923769,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,11.7,0.0,0.0,0.0,0.0,0.0,68.85278371123573,20.151636018735942,18.13707782627054,17.852864078758905,-1357.5655673740257,-1357.5655673740257,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,22.02214576959821,21.635245175093715,17.834158502454425,-1837.7908694498128,-1837.7908694498128,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,11.7,0.0,0.0,0.0,0.0,0.0,0.0,23.09712725948152,20.871127309555963,17.83684816413859,-2708.7300262293975,-2708.7300262293975,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,12.2,0.0,0.0,0.0,0.0,20.471814702963933,0.0,23.297317889820604,22.125048026829184,17.901981011725823,-3722.405214749522,-3722.405214749522,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,11.7,0.0,0.0,0.0,0.0,34.137434622227246,0.0,23.301884090043547,20.26366519019927,17.983046464027453,-4411.208507759586,-4411.208507759586,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,11.7,0.0,0.0,0.0,0.0,35.415467108519195,0.0,23.338551448666767,17.410375326450634,18.06197484953681,-4860.181363624562,-4860.181363624562,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,6.7,0.0,0.0,0.0,200.0,0.0,85.03823036282077,22.804797699975037,13.617671820045297,18.08960446201515,-4055.123130105352,-4055.123130105352,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,5.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,22.131206602456533,9.456579792695827,18.139870531003513,-3361.5281981288135,-3361.5281981288135,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,3.3,0.0,0.0,0.0,200.0,0.0,85.44000000000005,21.605467560353755,6.771831809000792,18.152569343038746,-2966.1078547348043,-2966.1078547348043,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,5.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,21.33899738786541,5.4245700656714,18.13336584159023,-2563.955524535606,-2563.955524535606,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,2.2,0.0,0.0,0.0,200.0,0.0,48.84342570339169,20.938781287549883,3.9077983153884444,18.089438594839155,-1604.2683902601766,-1604.2683902601766,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,20.699706602207662,2.770762906672611,18.02656409483109,-1833.9989200901528,-1833.9989200901528,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,20.027311720844946,0.9591989073097124,17.95020266600899,-1090.5442137225873,-1090.5442137225873,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  01:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,19.51419884665256,-0.5196898433060599,15.870798128445877,-682.1792715145148,-682.1792715145148,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  02:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,18.774641124206187,-1.6534297838815055,15.800038387823385,-120.1128939498376,-120.1128939498376,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  03:00:00,1.1,656.5307197998643,213.22120755099044,12.399684574361634,172.8253083747557,23.169627950713004,0.0,18.576753741178653,-1.0757041056653043,15.72514238801194,468.3064533696506,468.3064533696506,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  04:00:00,1.1,1038.8739436702626,332.8256222982291,19.436740144019815,157.41106816693397,36.31227575076915,0.0,18.54944548819835,-0.8155177643670092,15.643046663886569,744.1639619399602,744.1639619399602,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  05:00:00,1.1,1664.9533746633842,525.5218422743484,30.711602616659036,132.70608442395962,57.376363829808945,0.0,18.563000328840683,-0.37065641548474604,15.561897803175219,1195.8216103992017,1195.8216103992017,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  06:00:00,1.7,4599.298174897018,1350.6993830284925,36.53363958715572,34.97501825330767,141.26290492373275,85.44000000000005,19.10410924789261,1.5331866412746553,15.495333835523612,2276.3876436914416,2276.3876436914416,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  07:00:00,2.2,4728.034665446188,1392.7163273464564,23.54031481280507,34.6617550851863,141.70098322175696,84.05139971924596,19.45344206031708,2.153357743572125,15.450814912497117,2425.331659095451,2425.331659095451,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  08:00:00,2.2,2664.1061616378993,824.3722187700134,19.10286904182587,101.93889010810531,83.9906217010187,0.0,19.74326904032605,2.273233560755296,15.361211468574018,1956.0158050608225,1956.0158050608225,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  09:00:00,3.9,1248.4183970103547,389.5355174453064,13.650207248233139,153.85685380116107,39.52402422877429,0.0,19.84885279147796,4.7047761163223525,15.283519277613799,915.8429437083378,915.8429437083378,0.0,0.0,0.0,0.0,0.0,0.0
