Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.8,18.595480552978675,-3.021844598800159,18.478904087999286,4.831420472820534,107.27342924331242,107.27342924331242,0.0,0.0,0.0,0.0,131.09304081513991,46.865917906964164,0.0023274135828174145,194.66378843213812,0.0,0.0
 01/01  02:00:00,-4.4,18.268617042512105,-3.1701510962392185,18.031635460000704,44.11184023722155,917.7278635971197,917.7278635971197,0.0,0.0,0.0,0.0,1176.4002927053346,416.18406007797864,0.02124980003551843,151.27920984846241,0.0,0.0
 01/01  03:00:00,-6.1,18.319005578174043,-3.4147233030205224,17.774269470364988,81.02216130147768,1576.6427155468255,1576.6427155468255,0.0,0.0,0.0,0.0,2109.7921099735577,748.3735619193553,0.03903054324498818,110.5121505255996,0.0,0.0
 01/01  04:00:00,-6.1,18.32583742103635,-3.444487265069859,17.50567341966881,113.42314244949232,2197.5355735073117,2197.5355735073117,0.0,0.0,0.0,0.0,3015.395317759326,1048.305646639133,0.05463896305988634,74.72571747080963,0.0,0.0
 01/01  05:00:00,-6.1,18.42077656978641,-3.295389844695699,17.27311142637009,137.80423961018641,2664.6479105757317,2664.6479105757317,0.0,0.0,0.0,0.0,3723.0198785343487,1273.3765278186802,0.0663839899690719,47.79713506485142,0.0,0.0
 01/01  06:00:00,-5.6,19.140385681572265,-2.6971184199035703,17.04207988731675,181.08242634882922,3776.3664547568515,3776.3664547568515,0.0,0.0,0.0,0.0,5108.492920273576,1682.7278311665414,0.08723093352724622,0.0,135.10668593921082,135.10668593921082
 01/01  07:00:00,-7.2,19.51503044148164,-3.1629170007452894,16.86856640617077,181.08242634882922,3955.705242869386,3955.705242869386,0.0,0.0,0.0,0.0,4854.279721863125,1683.160192098621,0.08723093352724622,0.0,741.4633826074378,741.4633826074378
 01/01  08:00:00,-4.4,19.683499039764794,-2.208468763555012,16.722452610709627,172.32925619256045,3377.0160502683157,3377.0160502683157,0.0,0.0,0.0,0.0,4973.26443062797,1652.1780563374875,0.08301540858794347,9.665206524440183,0.0,0.0
 01/01  09:00:00,2.8,20.0029274080615,0.5850113043921832,16.5986729699489,79.13527419329263,1669.1165287199437,1669.1165287199437,0.0,0.0,0.0,0.0,2615.4337283875716,810.8177279851751,0.03812115402582109,112.59716597228868,0.0,0.0
 01/01  10:00:00,7.2,20.125739265519027,5.461126267479392,16.44779655314192,23.60225757843909,579.8056307084807,579.8056307084807,0.0,0.0,0.0,0.0,962.4582685000494,266.59541734947715,0.0,173.93202857468594,0.0,0.0
 01/01  11:00:00,7.2,20.221215455257596,13.889236004507737,16.33381103766715,0.0,-399.6021846533131,-399.6021846533131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  12:00:00,13.3,21.446227110205903,22.02292198452843,16.271046875239442,0.0,-1381.9095967125668,-1381.9095967125668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,15.0,22.395822023716384,27.29614232811553,16.247277831143286,0.0,-2226.738103082398,-2226.738103082398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,15.3,23.58464866339676,29.432452208961905,16.26036440791328,0.0,-3252.0980134010297,-3252.0980134010297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.6,24.777123725403783,29.06677683621725,16.29917945622335,0.0,-4208.296875266511,-4208.296875266511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,15.6,25.83935392234049,26.42744855637685,16.373724463957434,0.0,-5028.775692314428,-5028.775692314428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,15.6,26.362660478989337,22.341486357317745,16.466744204234175,0.0,-5236.449566140282,-5236.449566140282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,5.0,25.118663309226225,14.211442948669623,16.556748377495417,0.0,-3872.04273878441,-3872.04273878441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,-0.6,24.34790894887497,8.83711535074103,16.621888704630035,0.0,-3641.092458416846,-3641.092458416846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,-2.2,23.63154274189709,4.5791455836322195,16.646984671414092,0.0,-3395.5281132436357,-3395.5281132436357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,-2.8,23.103973718214625,1.9758931276099676,16.636182136266484,0.0,-3010.65328189745,-3010.65328189745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  22:00:00,-3.3,22.256995189346537,-0.0006247572054282652,16.592547554752322,0.0,-2191.4887856078567,-2191.4887856078567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  23:00:00,-3.3,21.25248808061284,-1.3240593541675663,16.523467098966368,0.0,-2287.839953912402,-2287.839953912402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,-5.0,19.91638418485064,-2.813289081679693,16.43269768320134,0.0,-1122.7739713067967,-1122.7739713067967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/13  01:00:00,-3.9,18.96012396921222,-4.178971649734822,18.697704011588943,0.0,-311.78013311904033,-311.78013311904033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
