Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-2.8,1299.2992114682409,444.48925819787866,0.02239299395933029,148.41763214565756,46.485065900098874,0.0,18.73744807605142,-2.504979750825045,18.43040034741332,893.7515001482661,893.7515001482661,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-4.4,1617.9153704244814,568.5244784383536,0.028949949515794656,133.3136539044097,60.09635543852238,0.0,18.394480160710447,-2.9095788870304653,18.001551135906126,1145.3531111265038,1145.3531111265038,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-6.1,2712.4292073989172,951.3465354664118,0.04950030394147354,85.975814960332,102.75597611843973,0.0,18.45957409531933,-2.971075745181123,17.73385745141782,1903.6511831116713,1903.6511831116713,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-6.1,3593.1217768816873,1236.4997898145966,0.06427927454243036,51.93238604539534,133.43513166294284,0.0,18.479601846805682,-3.0747845430875063,17.47242436032723,2505.2575796587407,2505.2575796587407,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-6.1,4054.5105909885942,1380.9927332284487,0.0717843322796953,34.64444993132438,149.01462241979175,0.0,18.546197942046824,-3.020818455121551,17.249841712714773,2812.240072699482,2812.240072699482,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-5.6,5081.155787605047,1678.9622728266872,0.0868242187817485,0.0,180.2381284608149,0.0,19.28444459847311,-2.5596497194762224,17.029719296142876,3851.2079918142917,3851.2079918142917,0.0,0.0,0.0,0.0,390.1038688368408,390.1038688368408
 01/01  07:00:00,-7.2,4827.587836038926,1679.949555093962,0.0868242187817485,0.0,180.2381284608149,0.0,19.57993260781481,-3.079765581650573,16.858551866588066,3934.574939436394,3934.574939436394,0.0,0.0,0.0,0.0,779.8481276707353,779.8481276707353
 01/01  08:00:00,-4.4,4886.358878525168,1628.0731860165506,0.08170090813652521,11.801570384645421,169.6005224279778,0.0,19.695167946769963,-2.191520101498785,16.71202206271975,3329.1046807569746,3329.1046807569746,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,2.8,3518.8171872335133,1072.8524697271034,0.050436630990395664,83.81898115967141,104.7008340771861,85.44000000000005,19.777927609849105,1.00951336367785,16.590196361999716,1635.0372939378685,1635.0372939378685,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,7.2,2199.9878552306723,595.0820258350104,0.0,141.28454384201444,52.91381964819172,85.44000000000005,19.871094590567516,6.404686912248598,16.446027638543608,622.6174738890004,622.6174738890004,0.0,0.0,0.0,0.0,0.0,0.0
