Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.9,19.599348138828542,7.4819853674605366,19.25080026925373,0.0,-729.6287321417076,-729.6287321417076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,8.3,18.69459972077054,8.449275622582826,18.97731737063868,4.462907719795763,62.92892194686465,62.92892194686465,0.0,0.0,0.0,0.0,185.8057634634839,50.704161630201675,0.0,188.4045982581161,0.0,0.0
 01/01  03:00:00,8.3,18.86372574517664,8.912466161004598,18.797753631065405,17.872682990825425,562.1366299529673,562.1366299529673,0.0,0.0,0.0,0.0,761.6368953065271,199.71024196911728,0.0,153.56369602608763,0.0,0.0
 01/01  04:00:00,8.9,18.292203863694635,9.512031869503781,18.629115945481484,18.935499621161572,582.732034327988,582.732034327988,0.0,0.0,0.0,0.0,819.6370657790203,213.68967434145225,0.0,150.80231564799033,0.0,0.0
 01/01  05:00:00,8.9,18.92918889669789,9.558034071774077,18.47492718982723,27.484222932420614,896.0128401423444,896.0128401423444,0.0,0.0,0.0,0.0,1207.6507882634803,306.9919707326802,0.0,128.59126236213098,0.0,0.0
 01/01  06:00:00,8.3,19.541269827499132,9.533434904027697,18.341418609866636,43.14986261591874,1414.3640018211972,1414.3640018211972,0.0,0.0,0.0,0.0,1908.1281400154417,483.7763609356303,0.0,87.88923644570158,0.0,0.0
 01/01  07:00:00,8.9,19.783536530412903,9.717506048609852,18.233352909733444,38.140859559811084,1192.746609121221,1192.746609121221,0.0,0.0,0.0,0.0,1694.5384023498007,435.2397253786725,0.0,100.90348778329155,0.0,0.0
 01/01  08:00:00,8.9,19.713316550015527,9.692301338191458,18.120125607954073,32.91097256543768,998.8820051790153,998.8820051790153,0.0,0.0,0.0,0.0,1449.3345222182113,377.11850924812745,0.0,114.49163357788767,0.0,0.0
 01/01  09:00:00,8.9,19.97671504851994,9.811850660412132,18.014126735018692,20.329867170156458,572.9383712357758,572.9383712357758,0.0,0.0,0.0,0.0,878.9660474610492,232.65991410125005,0.0,147.17950896643484,0.0,0.0
 01/01  10:00:00,9.4,20.16440929331428,11.352901298364882,17.917060625390064,0.0,-249.4424292171243,-249.4424292171243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  11:00:00,10.0,20.295495784844455,12.69092545997865,17.84734482452838,0.0,-430.7890183247564,-430.7890183247564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,10.6,20.42670479677928,14.12043385939973,17.79333387250261,0.0,-477.39969086434576,-477.39969086434576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,10.0,20.29357625820303,13.706717241730233,17.750670101871933,0.0,-365.4619216560077,-365.4619216560077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,10.6,20.640993683497836,14.3099807339242,17.715685900797414,0.0,-576.5582014423017,-576.5582014423017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,10.0,21.151355822754343,14.764873245584779,17.687367309901635,0.0,-965.2277987673478,-965.2277987673478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,9.4,21.281248284554678,14.381709693128895,17.668029615956172,0.0,-1039.88129064261,-1039.88129064261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,8.9,21.99241836083471,14.843165839095425,17.65559030973591,0.0,-1466.8812725478783,-1466.8812725478783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,8.3,21.84875084568277,12.500012291994086,17.641745503995793,0.0,-1317.2507773055167,-1317.2507773055167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,7.8,21.858135968044163,10.054548974565511,17.62676466603295,0.0,-1252.7035707423292,-1252.7035707423292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,8.3,22.02408304099001,9.301850659482295,17.60211664919975,0.0,-1398.99915060688,-1398.99915060688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
