Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.9,22.61360160948745,5.976423466453845,20.858944597214304,0.0,-2680.594742133673,-2680.594742133673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,7.2,21.867833891104116,5.687653299408362,20.718163378060456,0.0,-2148.191021484876,-2148.191021484876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,8.3,21.476340051599696,4.346511472756464,20.61105352397632,0.0,-1995.4314039316196,-1995.4314039316196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,7.2,20.746081365061595,4.996905755607266,20.49658680749671,0.0,-1303.3368032246417,-1303.3368032246417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,7.2,20.403361213062546,3.4219064615712336,20.388487050145613,0.0,-1178.0723227417493,-1178.0723227417493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,5.6,19.99188778777026,2.145804273969234,20.279729288512225,0.0,-155.75999063911058,-155.75999063911058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  07:00:00,5.0,19.685545455932346,2.133317887099402,20.164989195163546,3.482104944864706,110.44955073141682,110.44955073141682,0.0,0.0,0.0,0.0,116.35994470248717,36.91353223551948,1.4324704068670724,196.2025376411475,0.0,0.0
 01/01  08:00:00,8.9,20.25848488079895,4.889044369602422,20.062319570917182,0.0,-118.28830314441257,-118.28830314441257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  09:00:00,13.3,21.43283326968667,9.602566409867658,19.96712082313651,0.0,-1214.8956180089463,-1214.8956180089463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,17.8,22.6650850183915,17.28426650944706,19.895610659519345,0.0,-2390.313326801939,-2390.313326801939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
