Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,22.63506218386036,6.0160825402307445,20.858311718789434,-2650.5122096841205,-2650.5122096841205,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,21.895171146272734,5.711810005632913,20.717517246843844,-2128.4319435832276,-2128.4319435832276,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,8.3,0.0,0.0,0.0,200.0,0.0,0.0,21.512358879856098,4.366261294337146,20.610470450556388,-1992.7938402564105,-1992.7938402564105,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.784700587823764,5.00824672765882,20.496093774103244,-1273.9965733216368,-1273.9965733216368,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.449377710113605,3.433914600048122,20.388081148990224,-1178.822280748569,-1178.822280748569,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,20.043856108149203,2.156204236653868,20.279402986479774,-184.29180486623136,-184.29180486623136,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,5.0,125.75858173603041,39.93789292826151,1.548269767271285,195.88054645855613,3.7623853591833467,0.0,19.752832698272613,2.1479086216960783,20.16467319537605,77.0055985338804,77.0055985338804,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,20.326345492962307,4.896754561625894,20.062249245330893,-150.45128559857585,-150.45128559857585,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,13.3,0.0,0.0,0.0,0.0,0.0,85.44000000000005,20.033172485921416,9.610879325708755,19.967212145210446,-1267.752178724384,-1267.752178724384,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,17.8,0.0,0.0,0.0,0.0,0.0,85.44000000000005,20.544490402036047,17.259348835430377,19.895621123877895,-2056.7805173810502,-2056.7805173810502,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,21.7,0.0,0.0,0.0,0.0,0.0,85.44000000000005,21.37934505462402,24.76336882053151,19.85785557939255,-2847.610346079362,-2847.610346079362,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,22.8,0.0,0.0,0.0,0.0,5.939781530546102,17.7641286884911,23.1721571996815,30.170244279635817,19.861083550810005,-3482.6634070221626,-3482.6634070221626,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,24.4,0.0,0.0,0.0,0.0,37.59324810487298,0.0,23.35281902554381,34.29941158371324,19.944411317282203,-3810.4129800569062,-3810.4129800569062,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,25.6,0.0,0.0,0.0,0.0,70.61286088946613,0.0,23.369104272086712,35.05925830727475,20.067901140562643,-5875.158886344261,-5875.158886344261,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,26.1,0.0,0.0,0.0,0.0,93.4703700466084,0.0,23.349946683045214,34.70992301677763,20.21059385565864,-7212.400686107911,-7212.400686107911,0.0,0.0,0.0,0.0,0.0,0.0
