Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,13.0,22.1895972356028,12.69401216138128,20.213393694273453,0.0,-1819.567742298862,-1819.567742298862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,13.0,21.76216196934761,12.631726260890526,20.036124264552704,0.0,-1636.5903273915583,-1636.5903273915583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,13.3,21.65365635274378,12.024856159771735,19.935349811734476,0.0,-1306.7581859576667,-1306.7581859576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,12.0,21.171184925581272,11.865188643291114,19.83242109097934,0.0,-1585.3505173374342,-1585.3505173374342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,12.8,21.140242071086497,12.131391626551427,19.74280799043623,0.0,-1250.8030934787175,-1250.8030934787175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,13.9,21.204976186072628,12.971487755967212,19.658949958475674,0.0,-906.8234455140919,-906.8234455140919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,13.0,21.06437125807028,12.890121543774269,19.58269697843947,0.0,-876.4637670422471,-876.4637670422471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,13.9,21.046922757177768,13.433359701727596,19.513721725225402,0.0,-785.2844589497054,-785.2844589497054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,14.4,21.08581819661098,14.237737489619652,19.45135735972435,0.0,-779.7864151998965,-779.7864151998965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,14.4,21.109944384757956,14.960188355280195,19.39586606774249,0.0,-801.2266068669787,-801.2266068669787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
