Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2977991295683,12.557639001525146,20.188244539021202,-1381.0570933666122,-1381.0570933666122,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95256105446933,12.527866500174452,20.006985689463722,-1434.3384391877744,-1434.3384391877744,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,20.882284090328366,11.892019597913306,19.90552769665774,-1258.0833527185332,-1258.0833527185332,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.496206915303073,11.766454565257876,19.801826914661177,-1209.3834479114466,-1209.3834479114466,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,20.514050654781055,12.029228683055152,19.71228151078894,-1076.1062155516383,-1076.1062155516383,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,20.628004070845826,12.902484553989222,19.628740743744014,-578.8427443106211,-578.8427443106211,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55051334497954,12.823338231536516,19.552833224773977,-556.0170364378955,-556.0170364378955,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,20.585751561064743,13.375266529187954,19.48424734725601,-542.4431336002781,-542.4431336002781,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,14.4,0.0,0.0,0.0,0.0,0.0,85.44000000000005,19.719428516798892,14.195040999425395,19.42228674553281,-573.1528591122424,-573.1528591122424,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,14.4,0.0,0.0,0.0,0.0,0.0,85.44000000000005,19.299801165340277,14.864950481523156,19.367079988765397,-444.7086996152266,-444.7086996152266,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,16.0,0.0,0.0,0.0,0.0,0.0,65.43598999482975,19.74022070670895,17.86865600382837,19.319642264628598,-757.7379066425947,-757.7379066425947,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,20.83391610521017,18.68465271085887,19.283831117253772,-830.3436237903843,-830.3436237903843,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,21.023651668108023,17.86986742746441,19.261323533947497,-658.5743353691742,-658.5743353691742,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3620716862457,17.395696319877615,19.248273280179465,-857.4167593676484,-857.4167593676484,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.605381421944415,17.512161917051333,19.241651654985386,-994.399551600548,-994.399551600548,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.58462992036973,16.35262481582578,19.236329484787632,-1135.1808888963897,-1135.1808888963897,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09763080402953,16.40137493680781,19.232010801622767,-1282.5766431073862,-1282.5766431073862,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,14.0,0.0,0.0,0.0,0.0,0.0,85.44000000000005,21.07861131964271,14.983676593484217,19.226237390182693,-1412.1600277424268,-1412.1600277424268,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,13.0,0.0,0.0,0.0,0.0,0.0,85.44000000000005,20.89112336367302,13.948967051960091,19.219641097350287,-1883.7765040045633,-1883.7765040045633,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,12.8,0.0,0.0,0.0,0.0,0.0,85.44000000000005,20.74327992013622,13.329213913636073,19.20650033155215,-1804.1283915006388,-1804.1283915006388,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,12.2,0.0,0.0,0.0,0.0,0.0,68.54880456333413,20.7346526825715,12.69523148602261,19.185842123847017,-1594.0143576444352,-1594.0143576444352,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,21.414705458678053,12.467129281110383,19.160273167831686,-1405.035970173636,-1405.035970173636,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,12.2,0.0,0.0,0.0,0.0,0.0,0.0,21.401923535979634,12.453744622936208,19.127862843686326,-1488.8274611831603,-1488.8274611831603,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,21.296310226868524,13.457099044200277,19.091456025203634,-1284.2489544849004,-1284.2489544849004,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  01:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.632158276198407,8.072165614719234,20.120431857839215,-1205.4402144054102,-1205.4402144054102,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  02:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,20.266011047069625,7.651967399573879,19.923968888141896,-884.9556143350446,-884.9556143350446,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  03:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,19.851623531749322,6.373634298754869,19.80309485239898,-659.600360175109,-659.600360175109,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  04:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,19.546710674163563,6.951894807017218,19.67893076797511,-519.4540716993733,-519.4540716993733,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  05:00:00,9.4,0.0,0.0,0.0,200.0,0.0,0.0,19.330379319886884,7.348561760399752,19.566693067310506,-393.79734597987135,-393.79734597987135,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  06:00:00,8.3,510.53507133806875,137.71235793318974,0.0,177.60773869726447,12.176587581120597,0.0,19.710149609521633,7.20577554441683,19.452540687085843,366.3469021656747,366.3469021656747,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  07:00:00,9.0,1928.35827521343,502.8425202984526,0.0,119.43380575838567,43.810730278533555,85.44000000000005,19.698494974349067,8.271996141998395,19.34256347535828,382.8024269035104,382.8024269035104,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  08:00:00,10.6,923.8400593095904,242.01896978907968,0.0,0.0,20.683243815090368,31.18288020688232,19.759859460721422,9.00086598919033,19.262504564180528,295.2509334743354,295.2509334743354,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  09:00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.78742044504575,11.459981695984066,19.180879496651777,-86.16341448209278,-86.16341448209278,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  10:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,20.4120895789157,15.031740633684612,19.11159561684005,-491.9244382691577,-491.9244382691577,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  11:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,20.620865126546118,16.934987202407505,19.062690801799754,-644.1980610586743,-644.1980610586743,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  12:00:00,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.18638243345629,14.919420048024065,19.029170296866738,-327.5878001667643,-327.5878001667643,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  13:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,20.861413177896576,15.620555827103235,19.011023282172562,-709.0236538490844,-709.0236538490844,0.0,0.0,0.0,0.0,0.0,0.0
