Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,6.7,21.235268979019875,4.305141084120197,20.32648958177086,0.0,-1786.8530927478987,-1786.8530927478987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,5.6,20.45097321671895,4.164701678181685,20.14719490792829,0.0,-1227.8913920221803,-1227.8913920221803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,6.1,19.579597504346204,4.800422668647267,20.012292681449082,0.0,-677.0167051870794,-677.0167051870794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,5.6,19.166939738755353,4.317942196538949,19.87968424498162,0.0,-407.39021887590934,-407.39021887590934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,4.4,18.612448829159174,3.0509285902689625,19.751508116146375,0.0,-0.8387772038440744,-0.8387772038440744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,2.8,19.41438105138507,1.6448594681898718,19.57621450742329,35.807334479417015,932.7245834774585,932.7245834774585,0.0,0.0,0.0,0.0,1125.5085944870393,350.40030893097037,7.057537838225439,158.51199221122707,0.0,0.0
 01/01  07:00:00,3.3,19.654007035410704,0.509276130396402,19.456923238460753,44.22250836781307,1128.653382110333,1128.653382110333,0.0,0.0,0.0,0.0,1447.4056380517386,452.372146347632,0.9320879095224004,148.83845334141452,0.0,0.0
 01/01  08:00:00,5.0,19.849458840015533,0.9609793654146972,19.351591421202784,26.717501900129168,654.4918222186061,654.4918222186061,0.0,0.0,0.0,0.0,905.103466987511,279.9623197127125,0.012870365405135127,169.09482332917878,0.0,0.0
 01/01  09:00:00,7.2,19.92176218894811,4.613524876354757,19.25769940087906,0.0,-35.11006112026553,-35.11006112026553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  10:00:00,9.4,20.973103424520733,10.711357410708354,19.167341848070578,0.0,-1001.8069438067196,-1001.8069438067196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
