Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,6.7,0.0,0.0,0.0,200.0,0.0,0.0,20.599125011278304,4.225697149722397,20.309681099910666,-1269.5735609693293,-1269.5735609693293,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,19.87338650498002,4.085716931297141,20.12782257111418,-783.9860751614779,-783.9860751614779,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,19.044744480436865,4.743430103020026,19.992249349381947,-284.1296859634276,-284.1296859634276,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,18.68720029976614,4.255406187677165,19.85928431119748,-53.765995991725504,-53.765995991725504,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,4.4,339.6075467418727,104.77294444942969,0.004934976428648889,188.09808764333303,10.24447774432259,0.0,18.618299382829672,3.145844191798732,19.718098211478377,253.30747996449372,253.30747996449372,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,2.8,1318.4691494226245,408.85844100548394,8.234449412266853,151.38220664188577,41.778547116094614,0.0,19.415952853532694,1.7359502900308146,19.55043969253325,1022.368192379663,1022.368192379663,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,3.3,1787.7486414505245,554.9651853931073,1.1435111346511797,136.95966677137685,54.253392047938554,0.0,19.67774398411592,0.7169504206810298,19.427759776525487,1352.606700980239,1352.606700980239,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,5.0,1026.4160721533574,316.902834021704,0.014562427610436973,164.8791155083226,30.23004204095959,0.0,19.821868346808746,1.0735910908740185,19.33125504491534,766.4218932415679,766.4218932415679,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,7.2,1343.9336820693738,368.9140226511362,0.0,161.9829500866866,32.7229563155747,85.44000000000007,19.81150649645689,5.423112907451234,19.222127563862667,18.582364630214215,18.582364630214215,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,9.4,0.0,0.0,0.0,200.0,0.0,85.44000000000007,19.504345260327216,10.706048712703083,19.15306710843054,-918.4719980508416,-918.4719980508416,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,11.1,0.0,0.0,0.0,0.0,0.0,85.44000000000007,19.886807583005673,15.92532925575293,19.096988400776468,-1359.6998180032933,-1359.6998180032933,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,12.2,0.0,0.0,0.0,0.0,0.0,57.63899422442408,20.841629674298694,21.22390963348737,19.075075079875052,-1796.7077195908478,-1796.7077195908478,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,22.604425621687415,23.830308159723376,19.076200898814413,-2221.4733512552248,-2221.4733512552248,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,13.3,0.0,0.0,0.0,0.0,2.8105175833129197,0.0,23.323454544264806,23.725254389876916,19.093238608785352,-2792.8474026018357,-2792.8474026018357,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,13.3,0.0,0.0,0.0,0.0,14.034849294576583,0.0,23.341695708743416,23.253337579201485,19.15737945856653,-2923.535632583151,-2923.535632583151,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,12.8,0.0,0.0,0.0,0.0,24.830472964729335,0.0,23.308456927957273,22.01715987713027,19.229296002505112,-3787.5721260617465,-3787.5721260617465,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,10.6,0.0,0.0,0.0,0.0,24.490055042380916,0.0,23.186302907536195,17.50931440551284,19.288683447504326,-4160.971680764551,-4160.971680764551,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,8.9,0.0,0.0,0.0,200.0,0.0,85.44000000000007,22.685567133741557,14.22581789420428,19.324227555391253,-3694.455244995299,-3694.455244995299,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,8.3,0.0,0.0,0.0,200.0,0.0,85.44000000000007,22.263191585096443,10.861181223345564,19.358598632936747,-3478.0563753273873,-3478.0563753273873,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,7.2,0.0,0.0,0.0,200.0,0.0,85.44000000000007,21.918576764097267,8.230237928307089,19.36272558741603,-3202.6783156400525,-3202.6783156400525,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,7.2,0.0,0.0,0.0,200.0,0.0,85.44000000000007,21.669474114347327,6.730359150128822,19.338476722549203,-2786.126607964552,-2786.126607964552,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,7.2,0.0,0.0,0.0,200.0,0.0,39.840531788381654,21.78481078046242,4.889143771839029,19.29726147446681,-2272.984960832733,-2272.984960832733,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,6.7,0.0,0.0,0.0,200.0,0.0,0.0,21.724880366859907,4.560595426160603,19.239476342801307,-2392.2446960817197,-2392.2446960817197,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,21.085436522488454,3.019245318553907,19.172880206221716,-1542.560983319564,-1542.560983319564,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  01:00:00,8.9,0.0,0.0,0.0,200.0,0.0,0.0,18.704703333437532,3.438591568983511,19.753901175724113,-51.708548876875284,-51.708548876875284,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  02:00:00,8.9,154.2701217926342,41.14834144447188,0.0,195.75599019583544,3.6530069466519537,0.0,18.602779740377407,4.661923701881505,19.5259962274184,123.02709464227428,123.02709464227428,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  03:00:00,8.9,403.1852164536456,106.87141888993095,0.0,188.95500318414017,9.506917268308966,0.0,18.604084322077203,5.464043565663433,19.380099718018972,309.70620747494286,309.70620747494286,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  04:00:00,9.4,560.7315864554321,147.3785056959386,0.0,184.8597358206756,13.031895017524592,0.0,18.620770692131426,6.078817474587756,19.241888339891446,452.9487316751347,452.9487316751347,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  05:00:00,8.9,581.6181654492318,153.77244995817395,0.0,184.1093319439231,13.677800823840464,0.0,18.596647236967893,6.3752316809315355,19.120903956723662,459.2825972752289,459.2825972752289,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  06:00:00,8.3,1572.1072217528147,412.2025704526472,0.0,157.0716804913594,36.9503032766976,0.0,19.533866092595712,6.650266195319364,18.992792397500562,1276.2315277701618,1276.2315277701618,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  07:00:00,8.9,2717.2054737110684,709.9708842559772,0.0,127.81236352070752,62.1350915029639,85.44000000000007,19.656599390474042,7.120176161853133,18.893690334910968,1125.3322331148174,1125.3322331148174,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  08:00:00,8.9,1636.8291418152269,435.74856490912015,0.0,155.79464361876967,38.04950539496867,34.35498761569912,19.709768780940838,7.875137272173588,18.809441619658593,880.5632724928982,880.5632724928982,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  09:00:00,10.6,934.5567205869313,246.71723819821955,0.0,0.0,21.082793080657183,0.0,19.755305291204692,9.465366278647293,18.72887107535433,747.9691893910822,747.9691893910822,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  10:00:00,11.1,675.6262165666648,178.21436041339774,0.0,0.0,15.120736532869921,0.0,19.81147721554967,11.21329592018824,18.65156598313075,553.977795701041,553.977795701041,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  11:00:00,10.6,395.45204216244554,105.43795496075164,0.0,0.0,8.994478696982767,0.0,19.70691590433745,13.307168936999705,18.580794405525904,319.84125733020846,319.84125733020846,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  12:00:00,11.7,102.38110489796443,27.02424710316532,0.0,0.0,2.2770392235226296,0.0,19.76374842411914,16.183689697377325,18.52034842116839,85.90598975942885,85.90598975942885,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  13:00:00,10.6,0.0,0.0,0.0,0.0,0.0,0.0,19.490998624523655,15.251092333298889,18.468838816607544,-36.906499767175774,-36.906499767175774,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  14:00:00,8.9,1276.3461067308417,340.2259101445884,0.0,165.3704576868967,29.80717869808171,64.39036625751184,19.609106593996234,14.103374243899962,18.422459328023187,309.1185726342201,309.1185726342201,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  15:00:00,8.9,432.77396958383326,117.14750572965428,0.0,188.10241204066244,10.240780174733409,0.0,19.857677463991063,12.854299121641736,18.392937938274923,365.6546260898649,365.6546260898649,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  16:00:00,9.0,287.73543715740436,78.39370851936323,0.0,192.08346349971282,6.81411310609957,0.0,19.748844491395534,11.688235811489383,18.355133991020107,234.0746642707618,234.0746642707618,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  17:00:00,8.3,144.33112546114685,39.670084608078774,0.0,195.95330629042928,3.4831682569462146,0.0,19.56412926264404,10.117535103269377,18.312048943140958,119.74380579242461,119.74380579242461,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  18:00:00,9.4,111.63566500171304,30.144209172115147,0.0,196.95397840249973,2.6218455113844295,0.0,19.980604588134565,9.751707821214783,18.268809379080597,82.83044085437359,82.83044085437359,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  19:00:00,8.9,0.0,0.0,0.0,200.0,0.0,75.52048984758825,18.975087533976374,9.199465954062036,18.2214284500656,-256.756646759859,-256.756646759859,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  20:00:00,8.3,1065.5989079960427,283.73374593330453,0.0,170.6374525604914,25.273643256589224,68.37973548477173,19.518363427051927,9.089217089309958,18.16415016294478,43.79526967003221,43.79526967003221,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  21:00:00,7.8,0.0,0.0,0.0,200.0,0.0,0.0,19.936466353245162,8.20411064168495,18.124135285762247,-45.87152760254321,-45.87152760254321,0.0,0.0,0.0,0.0,0.0,0.0
 02/15  22:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,19.765538823442984,6.022239134408232,18.068699693319697,-23.775579343608115,-23.775579343608115,0.0,0.0,0.0,0.0,0.0,0.0
