Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,2.2,19.82524278473625,-2.088315774221085,19.412685335180033,0.0,-987.5527205915005,-987.5527205915005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,1.1,18.825996995852318,-1.0654428603788835,19.12757670831105,0.0,-155.32695618764046,-155.32695618764046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,-0.6,18.519204136232688,-2.042664308753651,18.932500709351903,23.030093073238213,500.41024296415344,500.41024296415344,0.0,0.0,0.0,0.0,625.467211349947,210.82409556152646,11.70327207382764,172.57332422920356,0.0,0.0
 01/01  04:00:00,-1.1,18.453276676314026,-2.6795658749611286,18.727368156684832,43.93913755458367,893.5935016967824,893.5935016967824,0.0,0.0,0.0,0.0,1181.5722391499937,394.11261640219885,25.769405560039417,147.55911270050467,0.0,0.0
 01/01  05:00:00,-1.7,18.440367184429878,-3.0568356875971827,18.536594147674094,65.60637247971351,1301.6013150281851,1301.6013150281851,0.0,0.0,0.0,0.0,1770.1641437796372,587.4571552952851,36.48458342169101,121.67618695748357,0.0,0.0
 01/01  06:00:00,-3.0,19.029956523090707,-2.5975093401779845,18.303807058170815,127.37221589622115,2547.5594580958405,2547.5594580958405,0.0,0.0,0.0,0.0,3461.2003280985737,1129.2490361569335,71.2694868615321,47.61607830241863,0.0,0.0
 01/01  07:00:00,-3.3,19.384440910789028,-2.2781211986044605,18.155675070656148,149.79196906900788,2896.330923677311,2896.330923677311,0.0,0.0,0.0,0.0,4108.71076916593,1345.865323492555,79.22472142288704,20.840723132058024,0.0,0.0
 01/01  08:00:00,-3.0,19.58821211916047,-2.2712302089487277,18.019520855086206,152.36578886438735,2876.51156477318,2876.51156477318,0.0,0.0,0.0,0.0,4195.391190885476,1375.933649247016,85.25980015555736,17.70287281430565,0.0,0.0
 01/01  09:00:00,-1.0,19.861264319908003,-0.1517779060995637,17.933086867749807,102.18276549880186,1804.9945752619242,1804.9945752619242,0.0,0.0,0.0,0.0,2818.669754059459,925.9731424497429,68.119711754898,77.86651045895583,0.0,0.0
 01/01  10:00:00,3.3,20.101648240596294,4.1530357996907785,17.85172524922954,34.267284558949456,556.6509113705633,556.6509113705633,0.0,0.0,0.0,0.0,1025.5847439402319,326.7544515235136,19.49676673372795,159.35917827170684,0.0,0.0
 01/01  11:00:00,5.6,20.33617773691378,9.580469600846591,17.764157069234013,0.0,-497.9050884026419,-497.9050884026419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  12:00:00,7.2,20.8859934992194,13.837850263108026,17.709885225804616,0.0,-976.1640158687478,-976.1640158687478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  13:00:00,8.3,21.85301096378851,20.381200994929923,17.687274209235373,0.0,-1599.9456769587614,-1599.9456769587614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,8.9,22.677695934667597,20.589827401856233,17.68621406886273,0.0,-2411.0010066227424,-2411.0010066227424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,10.0,23.79978250961245,23.004513413377786,17.70657923169412,0.0,-3153.041011069652,-3153.041011069652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
